sample_id,p_uva_mw_cm2,p_uvb_mw_cm2,uva_uvb_ratio,dry_biomass_g,auc_total_320_480,predicted_total_mg_ml,auc_oxidized_320_480,predicted_oxidized_mg_ml,auc_reduced_320_480,predicted_reduced_mg_ml,predicted_total_mg_per_gDW,predicted_oxidized_mg_per_gDW,predicted_reduced_mg_per_gDW
1D,3.185,0.707,4.504950495049505,0.06,3042167.0,0.1136753245322129,2799392.0,0.0499708839627223,3745622.0,0.1547867546086958,1.8945887422035486,0.8328480660453716,2.579779243478263
1F,3.185,0.707,4.504950495049505,0.094,3880172.0,0.1516043511670099,4371307.0,0.0972309249655724,4572922.0,0.1937643569248731,1.6128122464575523,1.0343715421869404,2.0613229460092883
1G,3.185,0.707,4.504950495049505,0.081,2763010.5,0.101040394759984,4116574.0,0.0895723098211282,2347179.5,0.0889002132971513,1.2474122809874568,1.105830985446027,1.097533497495695
1I,3.185,0.707,4.504950495049505,0.074,1692987.5,0.0526099786325797,2002129.0,0.0260009606080528,2066435.5,0.0756731759652851,0.710945657197023,0.35136433254125404,1.0226104860173661
1J,3.185,0.707,4.504950495049505,0.08,4998317.0,0.2022128218641598,2278817.0,0.0343196586451582,8121247.0,0.3609409563912697,2.5276602733019975,0.4289957330644775,4.511761954890871
2B,2.488,0.768,3.239583333333333,0.08,4962412.0,0.2005877221316732,2538857.0,0.0421378301508574,8019382.0,0.3561416653723679,2.507346526645915,0.5267228768857175,4.451770817154599
2E,2.488,0.768,3.239583333333333,0.073,2835542.0,0.1043232501073408,3294387.0,0.0648530398020684,2855622.0,0.1128550900838586,1.429085617908778,0.8883978055077864,1.5459601381350494
2G,2.488,0.768,3.239583333333333,0.081,1968644.5,0.0650865171915003,2410886.0,0.0382903481259542,1855176.0,0.0657198473341786,0.8035372492777815,0.47272034723400247,0.8113561399281308
2I,2.488,0.768,3.239583333333333,0.087,2763805.5,0.1010763773330887,1436237.5,0.0089872827099702,3817018.0,0.1581505221597242,1.1617974406102152,0.1033021001146,1.8178220937899334
2J,2.488,0.768,3.239583333333333,0.065,3012137.0,0.1123161337519157,1291396.0,0.0046325846322025,4480672.0,0.1894180692255291,1.7279405192602415,0.07127053280311538,2.9141241419312167
3A,1.692,0.584,2.897260273972603,0.043,2154700.5,0.0735076160865711,2475510.5,0.0402333008427287,2203420.5,0.0821271187348748,1.7094794438737466,0.9356581591332256,1.9099329938342977
3C,1.692,0.584,2.897260273972603,0.074,3870907.0,0.15118500709177,5244612.0,0.1234870711999388,3043612.0,0.1217120941445599,2.0430406363752702,1.6687442054045785,1.6447580289805392
3D,1.692,0.584,2.897260273972603,0.069,4032567.0,0.1585019162340559,4923252.0,0.1138252976455952,3680802.0,0.1517328102328532,2.2971292207834186,1.6496419948636982,2.1990262352587417
3E,1.692,0.584,2.897260273972603,0.08,2792897.0,0.102393090572683,1847385.0,0.0213485412438091,3801597.0,0.1574239736219293,1.2799136321585376,0.26685676554761373,1.9677996702741163
3H,1.692,0.584,2.897260273972603,0.052,2575044.5,0.0925328471672652,1207080.5,0.002097616782684,3999562.0,0.1667509421249174,1.7794778301397156,0.04033878428238462,3.206748887017642
4A,1.095,0.338,3.2396449704142007,0.07,2548557.0,0.0913339938275009,1839178.0,0.0211017956141088,3123332.0,0.1254680405444701,1.30477134039287,0.3014542230586971,1.7924005792067157
4B,1.095,0.338,3.2396449704142007,0.071,2969712.0,0.1103959316588718,3256272.0,0.0637071022273118,2956677.0,0.1176162185766198,1.5548722768855183,0.8972831299621381,1.6565664588256312
4F,1.095,0.338,3.2396449704142007,0.08,3389427.0,0.1293926935087699,4277962.0,0.0944244828059066,3132372.0,0.1258939531818909,1.6174086688596236,1.1803060350738324,1.5736744147736361
4G,1.095,0.338,3.2396449704142007,0.062,3162562.0,0.1191245344554191,4148967.0,0.0905462139496627,2659002.0,0.1035914902199559,1.9213634589583726,1.4604228056397208,1.6708304874186435
4H,1.095,0.338,3.2396449704142007,0.07,2458022.0,0.0872362802978903,1615597.5,0.01437978863699,3335732.0,0.1354751029546672,1.246232575684147,0.205425551957,1.9353586136381025
