sample_id,dry_biomass_g,p_uva_mw_cm2,p_uvb_mw_cm2,uva_pct_mdv,uvb_pct_mdv
1A,,3.185,0.707,140.4878479114287,92.05729166666666
1B,,3.185,0.707,140.4878479114287,92.05729166666666
1C,,3.185,0.707,140.4878479114287,92.05729166666666
1D,0.06,3.185,0.707,140.4878479114287,92.05729166666666
1E,,3.185,0.707,140.4878479114287,92.05729166666666
1F,0.094,3.185,0.707,140.4878479114287,92.05729166666666
1G,0.081,3.185,0.707,140.4878479114287,92.05729166666666
1H,,3.185,0.707,140.4878479114287,92.05729166666666
1I,0.074,3.185,0.707,140.4878479114287,92.05729166666666
1J,0.08,3.185,0.707,140.4878479114287,92.05729166666666
2A,,2.488,0.768,109.74372546424948,100.0
2B,0.08,2.488,0.768,109.74372546424948,100.0
2C,,2.488,0.768,109.74372546424948,100.0
2D,,2.488,0.768,109.74372546424948,100.0
2E,0.073,2.488,0.768,109.74372546424948,100.0
2F,,2.488,0.768,109.74372546424948,100.0
2G,0.081,2.488,0.768,109.74372546424948,100.0
2H,,2.488,0.768,109.74372546424948,100.0
2I,0.087,2.488,0.768,109.74372546424948,100.0
2J,0.065,2.488,0.768,109.74372546424948,100.0
