grid,time_min,distance_mm,theta_deg,hyp_mm,irr_corr_mW_cm2,lower_mW_cm2,upper_mW_cm2,dose_mJ_cm2_t0_60,avg_mW_cm2_t0_60
1,0,45.0,11.674415618537305,221.01830495439606,0.36869626782643883,0.3502614544351169,0.38713108121776074,1990.9598462627696,0.5530444017396582
1,30,45.0,11.674415618537305,221.01830495439606,0.6144937797107314,0.5837690907251948,0.645218468696268,1990.9598462627696,0.5530444017396582
1,60,45.0,11.674415618537305,221.01830495439606,0.6144937797107314,0.5837690907251948,0.645218468696268,1990.9598462627696,0.5530444017396582
2,0,115.0,27.892545087964457,244.82053631474164,0.4915950237685851,0.46701527258015585,0.5161747749570144,2544.004248002428,0.7066678466673412
2,30,115.0,27.892545087964457,244.82053631474164,0.7373925356528777,0.7005229088702337,0.7742621624355216,2544.004248002428,0.7066678466673412
2,60,115.0,27.892545087964457,244.82053631474164,0.8602912915950239,0.8172767270152728,0.9033058561747751,2544.004248002428,0.7066678466673412
3,0,185.0,40.4910357589912,284.27152210406115,0.7373925356528777,0.7005229088702337,0.7742621624355216,2765.2220086982916,0.7681172246384144
3,30,185.0,40.4910357589912,284.27152210406115,0.7373925356528777,0.7005229088702337,0.7742621624355216,2765.2220086982916,0.7681172246384144
3,60,185.0,40.4910357589912,284.27152210406115,0.8602912915950239,0.8172767270152728,0.9033058561747751,2765.2220086982916,0.7681172246384144
4,0,255.0,49.705736810345336,333.93194599535013,0.6144937797107314,0.5837690907251948,0.645218468696268,2544.0042480024276,0.7066678466673411
4,30,255.0,49.705736810345336,333.93194599535013,0.7373925356528777,0.7005229088702337,0.7742621624355216,2544.0042480024276,0.7066678466673411
4,60,255.0,49.705736810345336,333.93194599535013,0.7373925356528777,0.7005229088702337,0.7742621624355216,2544.0042480024276,0.7066678466673411
5,0,325.0,56.40514043346487,389.9240993250145,0.4915950237685851,0.46701527258015585,0.5161747749570144,2101.5687266107016,0.5837690907251949
5,30,325.0,56.40514043346487,389.9240993250145,0.6144937797107314,0.5837690907251948,0.645218468696268,2101.5687266107016,0.5837690907251949
5,60,325.0,56.40514043346487,389.9240993250145,0.6144937797107314,0.5837690907251948,0.645218468696268,2101.5687266107016,0.5837690907251949
6,0,395.0,61.365908145555565,449.88130347456774,0.36869626782643883,0.3502614544351169,0.38713108121776074,1659.1332052189746,0.4608703347830485
6,30,395.0,61.365908145555565,449.88130347456774,0.4915950237685851,0.46701527258015585,0.5161747749570144,1659.1332052189746,0.4608703347830485
6,60,395.0,61.365908145555565,449.88130347456774,0.4915950237685851,0.46701527258015585,0.5161747749570144,1659.1332052189746,0.4608703347830485
7,0,465.0,65.13374700113941,512.4063785705948,0.24579751188429255,0.23350763629007792,0.2580873874785072,1216.697683827248,0.33797157884090223
7,30,465.0,65.13374700113941,512.4063785705948,0.36869626782643883,0.3502614544351169,0.38713108121776074,1216.697683827248,0.33797157884090223
7,60,465.0,65.13374700113941,512.4063785705948,0.36869626782643883,0.3502614544351169,0.38713108121776074,1216.697683827248,0.33797157884090223
8,0,535.0,68.06900770435004,576.6602492067441,0.24579751188429255,0.23350763629007792,0.2580873874785072,884.8710427834532,0.24579751188429255
8,30,535.0,68.06900770435004,576.6602492067441,0.24579751188429255,0.23350763629007792,0.2580873874785072,884.8710427834532,0.24579751188429255
8,60,535.0,68.06900770435004,576.6602492067441,0.24579751188429255,0.23350763629007792,0.2580873874785072,884.8710427834532,0.24579751188429255
9,0,605.0,70.40877625520038,642.1216199414481,0.24579751188429255,0.23350763629007792,0.2580873874785072,884.8710427834532,0.24579751188429255
9,30,605.0,70.40877625520038,642.1216199414481,0.24579751188429255,0.23350763629007792,0.2580873874785072,884.8710427834532,0.24579751188429255
9,60,605.0,70.40877625520038,642.1216199414481,0.24579751188429255,0.23350763629007792,0.2580873874785072,884.8710427834532,0.24579751188429255
10,0,675.0,72.31170386415295,708.4543975478867,0.24579751188429255,0.23350763629007792,0.2580873874785072,553.0444017396583,0.15362344492768285
10,30,675.0,72.31170386415295,708.4543975478867,0.12289875594214628,0.11675381814503896,0.1290436937392536,553.0444017396583,0.15362344492768285
10,60,675.0,72.31170386415295,708.4543975478867,0.12289875594214628,0.11675381814503896,0.1290436937392536,553.0444017396583,0.15362344492768285
1,ALL,,,,,,,1990.9598462627696,0.5530444017396582
2,ALL,,,,,,,2544.004248002428,0.7066678466673412
3,ALL,,,,,,,2765.2220086982916,0.7681172246384144
4,ALL,,,,,,,2544.0042480024276,0.7066678466673411
5,ALL,,,,,,,2101.5687266107016,0.5837690907251949
6,ALL,,,,,,,1659.1332052189746,0.4608703347830485
7,ALL,,,,,,,1216.697683827248,0.33797157884090223
8,ALL,,,,,,,884.8710427834532,0.24579751188429255
9,ALL,,,,,,,884.8710427834532,0.24579751188429255
10,ALL,,,,,,,553.0444017396583,0.15362344492768285
