sample_id,form,conc_mg_ml,conc_se_mg_ml,amount_mg_per_gDW,amount_se_mg_per_gDW,loq_flag,dry_biomass_g,p_uva_mw_cm2,p_uvb_mw_cm2,uva_pct_mdv,uvb_pct_mdv
1D,oxidized,0.02214567689442471,0.006490567340438742,0.3690946149070785,0.1081761223406457,False,0.06,3.185,0.707,140.4878479114287,92.05729166666666
1D,reduced,0.1298097030020263,0.0017730864031946887,2.1634950500337715,0.029551440053244813,False,0.06,3.185,0.707,140.4878479114287,92.05729166666666
1D,total,0.05968609613139571,0.0038012726653747666,0.9947682688565952,0.06335454442291277,False,0.06,3.185,0.707,140.4878479114287,92.05729166666666
1F,oxidized,0.05177831927982599,0.005869336280310218,0.5508331838279361,0.06243974766287466,False,0.094,3.185,0.707,140.4878479114287,92.05729166666666
1F,reduced,0.12571771182160849,0.0017458364276964219,1.3374224661873244,0.018572727954217255,False,0.094,3.185,0.707,140.4878479114287,92.05729166666666
1F,total,0.07760435730925694,0.0037370749110592805,0.8255782692474143,0.03975611607509873,False,0.094,3.185,0.707,140.4878479114287,92.05729166666666
1G,oxidized,0.058358444042008996,0.005786388424212035,0.7204746178025802,0.07143689412607451,False,0.081,3.185,0.707,140.4878479114287,92.05729166666666
1G,reduced,0.059238277217132276,0.0016162737189793273,0.7313367557670651,0.01995399653060898,False,0.081,3.185,0.707,140.4878479114287,92.05729166666666
1G,total,0.05859008981387663,0.0038088106522644752,0.723334442146625,0.04702235373166019,False,0.081,3.185,0.707,140.4878479114287,92.05729166666666
1I,oxidized,0.01924203123594463,0.006570580988798891,0.2600274491343869,0.08879163498376881,False,0.074,3.185,0.707,140.4878479114287,92.05729166666666
1I,reduced,0.048792390183703904,0.0016541193511620553,0.6593566241041069,0.02235296420489264,False,0.074,3.185,0.707,140.4878479114287,92.05729166666666
1I,total,0.029380079338417537,0.004149122931709512,0.39702809916780457,0.05606922880688531,False,0.074,3.185,0.707,140.4878479114287,92.05729166666666
1J,oxidized,0.008576929691869503,0.006889078555900724,0.10721162114836878,0.08611348194875905,False,0.08,3.185,0.707,140.4878479114287,92.05729166666666
1J,reduced,0.2005045054054254,0.0024627584634051704,2.5063063175678173,0.030784480792564628,False,0.08,3.185,0.707,140.4878479114287,92.05729166666666
1J,total,0.0756142405748144,0.003738615906534353,0.9451780071851801,0.04673269883167941,False,0.08,3.185,0.707,140.4878479114287,92.05729166666666
2B,oxidized,0.016393587966409037,0.006651954304460242,0.20491984958011297,0.08314942880575302,False,0.08,2.488,0.768,109.74372546424948,100.0
2B,reduced,0.2584298277935508,0.003200161301274719,3.230372847419385,0.04000201626593399,False,0.08,2.488,0.768,109.74372546424948,100.0
2B,total,0.10103149234622723,0.003824054947752614,1.2628936543278404,0.04780068684690768,False,0.08,2.488,0.768,109.74372546424948,100.0
2E,oxidized,0.04805767826496749,0.005925750191855111,0.6583243597940752,0.08117466016239878,False,0.073,2.488,0.768,109.74372546424948,100.0
2E,reduced,0.0734677138847158,0.001589883734356224,1.0064070395166549,0.021779229237756496,False,0.073,2.488,0.768,109.74372546424948,100.0
2E,total,0.05685234295517862,0.0038215902678717974,0.7787992185640907,0.05235055161468216,False,0.073,2.488,0.768,109.74372546424948,100.0
2G,oxidized,0.02982984943549747,0.006293953840028809,0.3682697461172527,0.07770313382751616,False,0.081,2.488,0.768,109.74372546424948,100.0
2G,reduced,0.05921771444738143,0.0016163332257625646,0.7310828944121164,0.019954731182253885,False,0.081,2.488,0.768,109.74372546424948,100.0
2G,total,0.0399507718481739,0.003996583408890762,0.49321940553301113,0.04934053591223163,False,0.081,2.488,0.768,109.74372546424948,100.0
2I,oxidized,0.011105199105527066,0.006810244126615598,0.12764596673019618,0.07827866812201838,False,0.087,2.488,0.768,109.74372546424948,100.0
2I,reduced,0.13947420478492262,0.0018444818277220099,1.6031517791370418,0.021200940548528852,False,0.087,2.488,0.768,109.74372546424948,100.0
2I,total,0.055864495155835775,0.0038293044005116407,0.6421206339751239,0.04401499310932921,False,0.087,2.488,0.768,109.74372546424948,100.0
2J,oxidized,0.0037080789869656412,0.007046329814924065,0.05704736903024063,0.10840507407575485,False,0.065,2.488,0.768,109.74372546424948,100.0
2J,reduced,0.17940710364106022,0.00222330001775338,2.760109286785542,0.034204615657744304,False,0.065,2.488,0.768,109.74372546424948,100.0
2J,total,0.06503633749717963,0.0037703568272575995,1.0005590384181482,0.05800548965011691,False,0.065,2.488,0.768,109.74372546424948,100.0
3A,oxidized,0.02957591844635283,0.00630008526577344,0.6878120568919264,0.14651361083194048,False,0.043,1.692,0.584,74.63279078999602,76.04166666666667
3A,reduced,0.06516035490537513,0.0016016737690642245,1.5153570908226774,0.03724822718754011,False,0.043,1.692,0.584,74.63279078999602,76.04166666666667
3A,total,0.041868782903832294,0.003972296050506145,0.9736926256705185,0.09237897791874758,False,0.043,1.692,0.584,74.63279078999602,76.04166666666667
