grid,reading,distance_mm,distance_cm,waveband,time_min,irradiance_mW_cm2
1,1,20,2.0,UVB,0,0.1
1,2,70,7.0,UVB,0,0.2
2,1,90,9.0,UVB,0,0.2
2,2,140,14.0,UVB,0,0.2
3,1,160,16.0,UVB,0,0.3
3,2,210,21.0,UVB,0,0.3
4,1,230,23.0,UVB,0,0.3
4,2,280,28.0,UVB,0,0.2
5,1,300,30.0,UVB,0,0.2
5,2,350,35.0,UVB,0,0.2
6,1,370,37.0,UVB,0,0.2
6,2,420,42.0,UVB,0,0.1
7,1,440,44.0,UVB,0,0.1
7,2,490,49.0,UVB,0,0.1
8,1,510,51.0,UVB,0,0.1
8,2,560,56.0,UVB,0,0.1
9,1,580,58.0,UVB,0,0.1
9,2,630,63.0,UVB,0,0.1
10,1,650,65.0,UVB,0,0.1
10,2,700,70.0,UVB,0,0.1
1,1,20,2.0,UVB,30,0.2
1,2,70,7.0,UVB,30,0.3
2,1,90,9.0,UVB,30,0.3
2,2,140,14.0,UVB,30,0.3
3,1,160,16.0,UVB,30,0.3
3,2,210,21.0,UVB,30,0.3
4,1,230,23.0,UVB,30,0.3
4,2,280,28.0,UVB,30,0.3
5,1,300,30.0,UVB,30,0.3
5,2,350,35.0,UVB,30,0.2
6,1,370,37.0,UVB,30,0.2
6,2,420,42.0,UVB,30,0.2
7,1,440,44.0,UVB,30,0.2
7,2,490,49.0,UVB,30,0.1
8,1,510,51.0,UVB,30,0.1
8,2,560,56.0,UVB,30,0.1
9,1,580,58.0,UVB,30,0.1
9,2,630,63.0,UVB,30,0.1
10,1,650,65.0,UVB,30,0.1
10,2,700,70.0,UVB,30,0.0
1,1,20,2.0,UVB,60,0.2
1,2,70,7.0,UVB,60,0.3
2,1,90,9.0,UVB,60,0.3
2,2,140,14.0,UVB,60,0.4
3,1,160,16.0,UVB,60,0.4
3,2,210,21.0,UVB,60,0.3
4,1,230,23.0,UVB,60,0.3
4,2,280,28.0,UVB,60,0.3
5,1,300,30.0,UVB,60,0.3
5,2,350,35.0,UVB,60,0.2
6,1,370,37.0,UVB,60,0.2
6,2,420,42.0,UVB,60,0.2
7,1,440,44.0,UVB,60,0.2
7,2,490,49.0,UVB,60,0.1
8,1,510,51.0,UVB,60,0.1
8,2,560,56.0,UVB,60,0.1
9,1,580,58.0,UVB,60,0.1
9,2,630,63.0,UVB,60,0.1
10,1,650,65.0,UVB,60,0.1
10,2,700,70.0,UVB,60,0.0
