sample_id,p_uva_mw_cm2,p_uvb_mw_cm2,uva_uvb_ratio,dry_biomass_g,auc_total_320_480,predicted_total_mg_ml,auc_oxidized_320_480,predicted_oxidized_mg_ml,auc_reduced_320_480,predicted_reduced_mg_ml
1D,3.185,0.707,4.504950495049505,0.06,3042167.0,0.11367532453221295,2799392.0,0.049970883962722305,3745622.0,0.15478675460869587
1F,3.185,0.707,4.504950495049505,0.094,3880172.0,0.15160435116700996,4371307.0,0.09723092496557245,4572922.0,0.19376435692487318
1G,3.185,0.707,4.504950495049505,0.081,2763010.5,0.10104039475998401,4116574.0,0.08957230982112824,2347179.5,0.08890021329715135
1I,3.185,0.707,4.504950495049505,0.074,1692987.5,0.05260997863257978,2002129.0,0.026000960608052806,2066435.5,0.07567317596528518
1J,3.185,0.707,4.504950495049505,0.08,4998317.0,0.20221282186415984,2278817.0,0.03431965864515824,8121247.0,0.3609409563912697
2B,2.488,0.768,3.239583333333333,0.08,4962412.0,0.20058772213167328,2538857.0,0.042137830150857446,8019382.0,0.35614166537236797
2E,2.488,0.768,3.239583333333333,0.073,2835542.0,0.10432325010734085,3294387.0,0.06485303980206847,2855622.0,0.11285509008385869
2G,2.488,0.768,3.239583333333333,0.081,1968644.5,0.06508651719150035,2410886.0,0.03829034812595423,1855176.0,0.06571984733417861
2I,2.488,0.768,3.239583333333333,0.087,2763805.5,0.10107637733308879,1436237.5,0.008987282709970297,3817018.0,0.15815052215972428
2J,2.488,0.768,3.239583333333333,0.065,3012137.0,0.11231613375191575,1291396.0,0.0046325846322025285,4480672.0,0.18941806922552912
3A,1.692,0.584,2.897260273972603,0.043,2154700.5,0.07350761608657112,2475510.5,0.040233300842728796,2203420.5,0.08212711873487487
3C,1.692,0.584,2.897260273972603,0.074,3870907.0,0.15118500709177007,5244612.0,0.12348707119993885,3043612.0,0.12171209414455997
3D,1.692,0.584,2.897260273972603,0.069,4032567.0,0.15850191623405596,4923252.0,0.11382529764559529,3680802.0,0.15173281023285323
3E,1.692,0.584,2.897260273972603,0.08,2792897.0,0.10239309057268305,1847385.0,0.021348541243809166,3801597.0,0.1574239736219293
3H,1.692,0.584,2.897260273972603,0.052,2575044.5,0.09253284716726529,1207080.5,0.002097616782684067,3999562.0,0.1667509421249174
4A,1.095,0.338,3.2396449704142007,0.07,2548557.0,0.09133399382750099,1839178.0,0.021101795614108833,3123332.0,0.1254680405444701
4B,1.095,0.338,3.2396449704142007,0.071,2969712.0,0.11039593165887183,3256272.0,0.0637071022273118,2956677.0,0.11761621857661983
4F,1.095,0.338,3.2396449704142007,0.08,3389427.0,0.1293926935087699,4277962.0,0.09442448280590665,3132372.0,0.12589395318189092
4G,1.095,0.338,3.2396449704142007,0.062,3162562.0,0.11912453445541911,4148967.0,0.09054621394966275,2659002.0,0.1035914902199559
4H,1.095,0.338,3.2396449704142007,0.07,2458022.0,0.08723628029789036,1615597.5,0.014379788636990014,3335732.0,0.1354751029546672
5B,0.647,0.246,2.6300813008130084,0.068,2823437.0,0.10377536451308521,1965050.0,0.024886170647816605,3759797.0,0.15545459881615606
5D,0.647,0.246,2.6300813008130084,0.072,2886492.0,0.10662930306292336,2732972.0,0.04797394906267408,3306467.0,0.13409630501947692
5E,0.647,0.246,2.6300813008130084,0.079,2641082.0,0.09552177694261914,1962897.0,0.024821440132312182,3268652.0,0.13231468041946937
5F,0.647,0.246,2.6300813008130084,0.068,3514732.0,0.135064135424359,2157104.0,0.030660325048507096,4759927.0,0.20257495346921833
5I,0.647,0.246,2.6300813008130084,0.058,1875822.5,0.06088529153020343,1536225.0,0.011993433392273392,2304419.0,0.08688558527365213
6C,0.0,0.0,,0.074,2521082.0,0.09009044515321975,2137344.0,0.0300662354124795,2339640.0,0.08854499556155021
6D,0.0,0.0,,0.071,3366627.0,0.128360740468784,4562057.0,0.10296587426072751,2743117.0,0.10755450365985103
6F,0.0,0.0,,0.077,831018.5,0.013596315039439723,357580.0,-0.023442840851438447,1847014.0,0.065335300990525
6H,0.0,0.0,,0.046,700098.5,0.007670732057204987,255653.0,-0.026507303115172496,1538313.5,0.050791114693165995
6J,0.0,0.0,,0.071,450407.0,-0.003630579455235171,87702.0,-0.031556794434022234,1061326.0,0.028318216004917934
