sample_id,p_uva_mw_cm2,delta_p_uva_from_zero,p_uvb_mw_cm2,uva_uvb_ratio,dry_biomass_g,area_total,conc_total_mg_ml,oxidized_mg_per_gDW,reduced_mg_per_gDW,total_mg_per_gDW,delta_oxidized_from_uva0,delta_reduced_from_uva0,delta_total_from_uva0
1D,3.185,3.185,0.707,4.504950495049505,0.06,10495.0,0.0596860961313957,0.3690946149070785,2.1634950500337715,0.9947682688565952,0.1193848048306087,1.4528609606135905,0.6398755137621212
1F,3.185,3.185,0.707,4.504950495049505,0.094,12980.0,0.0776043573092569,0.5508331838279361,1.3374224661873244,0.8255782692474143,0.3011233737514663,0.6267883767671432,0.4706855141529402
1G,3.185,3.185,0.707,4.504950495049505,0.081,10343.0,0.0585900898138766,0.7204746178025802,0.7313367557670651,0.723334442146625,0.4707648077261103,0.0207026663468838,0.3684416870521509
1I,3.185,3.185,0.707,4.504950495049505,0.074,6292.0,0.0293800793384175,0.2600274491343869,0.6593566241041069,0.3970280991678045,0.0103176390579171,-0.0512774653160743,0.0421353440733304
1J,3.185,3.185,0.707,4.504950495049505,0.08,12704.0,0.0756142405748144,0.1072116211483687,2.5063063175678173,0.94517800718518,-0.1424981889281011,1.795672228147636,0.5902852520907059
2B,2.488,2.488,0.768,3.239583333333333,0.08,16229.0,0.1010314923462272,0.2049198495801129,3.230372847419385,1.2628936543278404,-0.0447899604963569,2.5197387579992037,0.9080008992333664
2E,2.488,2.488,0.768,3.239583333333333,0.073,10102.0,0.0568523429551786,0.6583243597940752,1.0064070395166549,0.7787992185640907,0.4086145497176054,0.2957729500964736,0.4239064634696167
2G,2.488,2.488,0.768,3.239583333333333,0.081,7758.0,0.0399507718481739,0.3682697461172527,0.7310828944121164,0.4932194055330111,0.1185599360407829,0.0204488049919351,0.138326650438537
2I,2.488,2.488,0.768,3.239583333333333,0.087,9965.0,0.0558644951558357,0.1276459667301961,1.6031517791370418,0.6421206339751239,-0.1220638433462737,0.8925176897168605,0.2872278788806498
2J,2.488,2.488,0.768,3.239583333333333,0.065,11237.0,0.0650363374971796,0.0570473690302406,2.760109286785542,1.0005590384181482,-0.1926624410462292,2.0494751973653607,0.6456662833236742
3A,1.692,1.692,0.584,2.897260273972603,0.043,8024.0,0.0418687829038322,0.6878120568919264,1.5153570908226774,0.9736926256705184,0.4381022468154565,0.8047230014024962,0.6187998705760444
3C,1.692,1.692,0.584,2.897260273972603,0.074,13291.0,0.079846843919444,1.0985069785074244,1.04254661716374,1.0790114043168109,0.8487971684309545,0.3319125277435588,0.7241186492223368
3D,1.692,1.692,0.584,2.897260273972603,0.069,14236.0,0.0866608305645461,1.072664370241534,1.5961033673981058,1.255954066152843,0.8229545601650641,0.8854692779779245,0.901061311058369
3E,1.692,1.692,0.584,2.897260273972603,0.08,8320.0,0.0440031109958431,0.0731241459751473,1.4429540868273356,0.5500388874480391,-0.1765856641013225,0.7323199974071544,0.195146132353565
3H,1.692,1.692,0.584,2.897260273972603,0.052,8737.0,0.0470099178011421,0.0390370454433307,2.5216484666553898,0.9040368807911956,-0.2106727646331391,1.8110143772352083,0.5491441256967216
4A,1.095,1.095,0.338,3.2396449704142007,0.07,7266.0,0.0364031724519937,0.0586505169623707,1.3858869321347331,0.5200453207427675,-0.1910592931140991,0.6752528427145519,0.1651525656482935
4B,1.095,1.095,0.338,3.2396449704142007,0.071,10753.0,0.0615464226440267,0.7250736109792361,1.1335157516866672,0.8668510231553068,0.4753638009027662,0.4228816622664859,0.5119582680608328
4F,1.095,1.095,0.338,3.2396449704142007,0.08,11191.0,0.0647046513747725,0.769364276537505,0.8841608188481707,0.8088081421846567,0.5196544664610352,0.1735267294279894,0.4539153870901826
4G,1.095,1.095,0.338,3.2396449704142007,0.062,11137.0,0.0643152807093381,1.0335066376880315,1.04699357529621,1.0373432372473892,0.7837968276115617,0.3363594858760288,0.6824504821529151
4H,1.095,1.095,0.338,3.2396449704142007,0.07,7704.0,0.0395614011827395,0.1390882837100536,1.3647366546767228,0.5651628740391357,-0.1106215263664162,0.6541025652565415,0.2102701189446616
5B,0.647,0.647,0.246,2.6300813008130084,0.068,9002.0,0.0489207182889221,0.2441670153587955,1.609294090866774,0.7194223277782666,-0.0055427947176742,0.8986600014465929,0.3645295726837926
5D,0.647,0.647,0.246,2.6300813008130084,0.072,9690.0,0.0538815889892716,0.5007872070616076,1.2131608814796528,0.7483554026287729,0.2510773969851378,0.5025267920594716,0.3934626475342988
5E,0.647,0.647,0.246,2.6300813008130084,0.079,8165.0,0.0428854729746887,0.1929794718527047,1.1993693743903615,0.5428540882871999,-0.0567303382237651,0.4887352849701802,0.1879613331927259
5F,0.647,0.647,0.246,2.6300813008130084,0.068,11432.0,0.0664423982334705,0.3389852363693281,2.1675128108676067,0.9770940916686844,0.0892754262928582,1.4568787214474257,0.6222013365742104
5I,0.647,0.647,0.246,2.6300813008130084,0.058,6278.0,0.0292791313881197,0.2230675589393805,1.0387216023262689,0.5048126101399952,-0.0266422511370893,0.3280875129060876,0.1499198550455212
6C,0.0,0.0,0.0,,0.074,7811.0,0.0403329319457299,0.270321948694305,1.0622757611138731,0.5450396208882419,0.0206121386178351,0.3516416716936918,0.1901468657937678
6D,0.0,0.0,0.0,,0.071,11602.0,0.0676681947728011,0.978227101688044,0.9079045173781192,0.9530731658141,0.7285172916115743,0.1972704279579379,0.5981804107196259
6F,0.0,0.0,0.0,,0.077,3507.0,0.0092986477970318,0.0,0.5353933885116051,0.1207616597017118,-0.2497098100764698,-0.1752407009085761,-0.2341310953927622
6H,0.0,0.0,0.0,,0.046,3210.0,0.0071571091371425,0.0,0.7768485085199663,0.1555893290683165,-0.2497098100764698,0.0662144190997851,-0.1993034260261575
6J,0.0,0.0,0.0,,0.071,2012.0,0.0,0.0,0.2707482715773425,0.0,-0.2497098100764698,-0.4398858178428387,-0.354892755094474
