treatment,sample_label,sample_id,has_concentration,note
treatment_1,sample_A,1A,False,no matching concentration ID available (destructive sampling; treatment-level only)
treatment_1,sample_B,1B,False,no matching concentration ID available (destructive sampling; treatment-level only)
treatment_1,sample_C,1C,False,no matching concentration ID available (destructive sampling; treatment-level only)
treatment_1,sample_E,1E,False,no matching concentration ID available (destructive sampling; treatment-level only)
treatment_1,sample_H,1H,False,no matching concentration ID available (destructive sampling; treatment-level only)
treatment_2,sample_A,2A,False,no matching concentration ID available (destructive sampling; treatment-level only)
treatment_2,sample_C,2C,False,no matching concentration ID available (destructive sampling; treatment-level only)
treatment_2,sample_D,2D,False,no matching concentration ID available (destructive sampling; treatment-level only)
treatment_2,sample_F,2F,False,no matching concentration ID available (destructive sampling; treatment-level only)
treatment_2,sample_H,2H,False,no matching concentration ID available (destructive sampling; treatment-level only)
treatment_3,sample_B,3B,False,no matching concentration ID available (destructive sampling; treatment-level only)
treatment_3,sample_F,3F,False,no matching concentration ID available (destructive sampling; treatment-level only)
treatment_3,sample_G,3G,False,no matching concentration ID available (destructive sampling; treatment-level only)
treatment_3,sample_I,3I,False,no matching concentration ID available (destructive sampling; treatment-level only)
treatment_3,sample_J,3J,False,no matching concentration ID available (destructive sampling; treatment-level only)
treatment_4,sample_C,4C,False,no matching concentration ID available (destructive sampling; treatment-level only)
treatment_4,sample_D,4D,False,no matching concentration ID available (destructive sampling; treatment-level only)
treatment_4,sample_E,4E,False,no matching concentration ID available (destructive sampling; treatment-level only)
treatment_4,sample_I,4I,False,no matching concentration ID available (destructive sampling; treatment-level only)
treatment_4,sample_J,4J,False,no matching concentration ID available (destructive sampling; treatment-level only)
treatment_5,sample_A,5A,False,no matching concentration ID available (destructive sampling; treatment-level only)
treatment_5,sample_C,5C,False,no matching concentration ID available (destructive sampling; treatment-level only)
treatment_5,sample_G,5G,False,no matching concentration ID available (destructive sampling; treatment-level only)
treatment_5,sample_H,5H,False,no matching concentration ID available (destructive sampling; treatment-level only)
treatment_5,sample_J,5J,False,no matching concentration ID available (destructive sampling; treatment-level only)
treatment_6,sample_A,6A,False,no matching concentration ID available (destructive sampling; treatment-level only)
treatment_6,sample_B,6B,False,no matching concentration ID available (destructive sampling; treatment-level only)
treatment_6,sample_E,6E,False,no matching concentration ID available (destructive sampling; treatment-level only)
treatment_6,sample_G,6G,False,no matching concentration ID available (destructive sampling; treatment-level only)
treatment_6,sample_I,6I,False,no matching concentration ID available (destructive sampling; treatment-level only)
