epoch,val_loss,psnr,sam
1,39.997845,22.16,11.36
2,39.794362,22.24,11.233
3,39.406421,22.34,11.095
4,38.871773,22.47,10.923
5,38.327624,22.6,10.745
6,37.814256,22.72,10.576
7,37.38824,22.84,10.419
8,36.870017,22.97,10.243
9,36.333974,23.12,10.058
10,35.796888,23.27,9.874
11,35.259714,23.42,9.688
12,34.729112,23.57,9.505
13,34.205398,23.73,9.324
14,33.6887,23.88,9.146
15,33.178828,24.03,8.97
16,32.6771,24.18,8.797
17,32.183116,24.34,8.626
18,31.692854,24.49,8.456
19,31.212732,24.64,8.289
20,30.740611,24.8,8.126
21,30.269336,24.95,7.963
22,29.810836,25.11,7.805
23,29.355668,25.26,7.649
24,28.910897,25.42,7.496
25,28.472049,25.57,7.347
26,28.037482,25.73,7.199
27,27.609994,25.88,7.054
28,27.188005,26.04,6.912
29,26.770997,26.2,6.771
30,26.36387,26.35,6.635
31,25.966671,26.51,6.501
32,25.576643,26.66,6.369
33,25.190326,26.82,6.24
34,24.812402,26.97,6.113
35,24.44099,27.12,5.989
36,24.072217,27.28,5.867
37,23.706175,27.43,5.746
38,23.351788,27.59,5.63
39,23.00635,27.74,5.517
40,22.667417,27.89,5.408
41,22.336276,28.04,5.3
42,22.009812,28.19,5.195
43,21.694113,28.34,5.092
44,21.382037,28.49,4.992
45,21.077593,28.64,4.894
46,20.780489,28.78,4.799
47,20.488097,28.93,4.707
48,20.198602,29.07,4.616
49,19.916688,29.22,4.528
50,19.639392,29.36,4.441
51,19.367764,29.5,4.356
52,19.101919,29.64,4.274
53,18.837551,29.79,4.193
54,18.582105,29.93,4.114
55,18.334097,30.06,4.039
56,18.084697,30.2,3.964
57,17.843276,30.34,3.892
58,17.603727,30.48,3.82
59,17.375823,30.61,3.751
60,17.150134,30.75,3.683
61,16.928696,30.88,3.617
62,16.714161,31.01,3.553
63,16.503075,31.14,3.49
64,16.29375,31.27,3.429
65,16.088229,31.4,3.369
66,15.889735,31.53,3.311
67,15.694743,31.66,3.254
68,15.507143,31.78,3.2
69,15.322184,31.91,3.147
70,15.137571,32.03,3.093
71,14.960244,32.15,3.043
72,14.780825,32.28,2.993
73,14.608532,32.4,2.944
74,14.437591,32.52,2.897
75,14.266114,32.64,2.849
76,14.103681,32.76,2.805
77,13.938229,32.88,2.76
78,13.784998,32.99,2.718
79,13.631763,33.11,2.676
80,13.478374,33.22,2.634
81,13.334449,33.33,2.595
82,13.188173,33.45,2.555
83,13.043071,33.56,2.517
84,12.90801,33.67,2.481
85,12.766446,33.78,2.443
86,12.630703,33.89,2.408
87,12.496499,34.0,2.373
88,12.368752,34.1,2.34
89,12.239874,34.21,2.307
90,12.117234,34.31,2.275
91,11.993955,34.41,2.244
92,11.871857,34.52,2.214
93,11.754856,34.62,2.184
94,11.635786,34.72,2.155
95,11.520031,34.82,2.128
96,11.412836,34.91,2.101
97,11.297712,35.01,2.073
98,11.187358,35.11,2.047
99,11.079173,35.2,2.021
100,10.971473,35.3,1.996
101,10.868416,35.39,1.971
102,10.768081,35.48,1.948
103,10.661399,35.58,1.925
104,10.567494,35.67,1.903
105,10.469386,35.76,1.88
106,10.367918,35.85,1.858
107,10.272887,35.94,1.836
108,10.181578,36.03,1.815
109,10.085273,36.12,1.795
110,9.995559,36.21,1.775
111,9.900844,36.3,1.756
112,9.812965,36.38,1.738
113,9.721622,36.47,1.718
114,9.633114,36.56,1.701
115,9.543985,36.65,1.682
116,9.460867,36.73,1.665
117,9.377573,36.81,1.647
118,9.292798,36.9,1.63
119,9.2062,36.98,1.614
120,9.128456,37.06,1.599
121,9.046855,37.15,1.584
122,8.969016,37.23,1.569
123,8.89507,37.31,1.556
124,8.824222,37.38,1.542
125,8.753112,37.46,1.528
126,8.679542,37.54,1.514
127,8.610068,37.61,1.501
128,8.547709,37.68,1.489
129,8.482367,37.75,1.476
130,8.417623,37.83,1.464
131,8.359515,37.9,1.453
132,8.301947,37.96,1.442
133,8.243152,38.03,1.431
134,8.187767,38.1,1.422
135,8.124101,38.17,1.41
136,8.067459,38.23,1.4
137,8.007954,38.31,1.391
138,7.953828,38.38,1.382
139,7.898505,38.45,1.374
140,7.846689,38.52,1.365
141,7.793853,38.59,1.357
142,7.743464,38.65,1.349
143,7.693358,38.72,1.341
144,7.643131,38.79,1.333
145,7.594037,38.85,1.325
146,7.544291,38.92,1.318
147,7.498032,38.98,1.31
148,7.450661,39.05,1.303
149,7.398659,39.11,1.296
150,7.3512,39.18,1.289
151,7.305336,39.24,1.282
