sample_id,area,concentration_mg_ml,sample_type,uva_dose,uvb_dose,uva_uvb_ratio
Youssef Pig 29_09_25 Scyt Std1,38231.0,0.473,standard,,,
Youssef Pig 29_09_25 Scyt Std2,37155.0,0.378,standard,,,
Youssef Pig 29_09_25 Scyt Std3,29296.0,0.284,standard,,,
Youssef Pig 29_09_25 Scyt Std4,19923.0,0.189,standard,,,
Youssef Pig 29_09_25 Scyt Std5,10436.0,0.095,standard,,,
Youssef Pig 29_09_25 Scyt Std6,5148.0,0.047,standard,,,
Youssef Pig 29_09_25 Scyt Std7,3604.0,0.023,standard,,,
1D,3466.0,0.0221456768944247,treatment,3.185,0.707,4.504950495049505
1F,6150.0,0.0517783192798259,treatment,3.185,0.707,4.504950495049505
1G,6746.0,0.0583584440420089,treatment,3.185,0.707,4.504950495049505
1I,3203.0,0.0192420312359446,treatment,3.185,0.707,4.504950495049505
1J,2237.0,0.0085769296918695,treatment,3.185,0.707,4.504950495049505
2B,2945.0,0.016393587966409,treatment,2.488,0.768,3.239583333333333
2E,5813.0,0.0480576782649674,treatment,2.488,0.768,3.239583333333333
2G,4162.0,0.0298298494354974,treatment,2.488,0.768,3.239583333333333
2I,2466.0,0.011105199105527,treatment,2.488,0.768,3.239583333333333
2J,1796.0,0.0037080789869656,treatment,2.488,0.768,3.239583333333333
3A,4139.0,0.0295759184463528,treatment,1.692,0.584,2.897260273972603
3C,8823.0,0.0812895164095494,treatment,1.692,0.584,2.897260273972603
3D,8164.0,0.0740138415466658,treatment,1.692,0.584,2.897260273972603
3E,1990.0,0.0058499316780117,treatment,1.692,0.584,2.897260273972603
3H,1644.0,0.0020299263630532,treatment,1.692,0.584,2.897260273972603
4A,1832.0,0.0041055361873659,treatment,1.095,0.338,3.2396449704142007
4B,6123.0,0.0514802263795257,treatment,1.095,0.338,3.2396449704142007
4F,7035.0,0.0615491421230004,treatment,1.095,0.338,3.2396449704142007
4G,7264.0,0.0640774115366579,treatment,1.095,0.338,3.2396449704142007
4H,2342.0,0.0097361798597037,treatment,1.095,0.338,3.2396449704142007
5B,2964.0,0.016603357044398,treatment,0.647,0.246,2.6300813008130084
5D,4726.0,0.0360566789084357,treatment,0.647,0.246,2.6300813008130084
5E,2841.0,0.0152453782763636,treatment,0.647,0.246,2.6300813008130084
5F,3548.0,0.0230509960731143,treatment,0.647,0.246,2.6300813008130084
5I,2632.0,0.012937918418484,treatment,0.647,0.246,2.6300813008130084
6C,3272.0,0.0200038242033785,treatment,0.0,0.0,
6D,7751.0,0.0694541242198511,treatment,0.0,0.0,
6F,786.0,0.0,treatment,0.0,0.0,
6H,756.0,0.0,treatment,0.0,0.0,
6J,361.0,0.0,treatment,0.0,0.0,
