sample_id,area,concentration_mg_ml,sample_type,uva_dose,uvb_dose,uva_uvb_ratio
Youssef Pig 29_09_25 Scyt Std1,23954.0,0.473,standard,,,
Youssef Pig 29_09_25 Scyt Std2,18864.0,0.378,standard,,,
Youssef Pig 29_09_25 Scyt Std3,14572.0,0.284,standard,,,
Youssef Pig 29_09_25 Scyt Std4,10057.0,0.189,standard,,,
Youssef Pig 29_09_25 Scyt Std5,5198.0,0.095,standard,,,
Youssef Pig 29_09_25 Scyt Std6,2757.0,0.047,standard,,,
Youssef Pig 29_09_25 Scyt Std7,1969.0,0.023,standard,,,
1D,7029.0,0.1298097030020263,treatment,3.185,0.707,4.504950495049505
1F,6830.0,0.1257177118216084,treatment,3.185,0.707,4.504950495049505
1G,3597.0,0.0592382772171322,treatment,3.185,0.707,4.504950495049505
1I,3089.0,0.0487923901837039,treatment,3.185,0.707,4.504950495049505
1J,10467.0,0.2005045054054254,treatment,3.185,0.707,4.504950495049505
2B,13284.0,0.2584298277935508,treatment,2.488,0.768,3.239583333333333
2E,4289.0,0.0734677138847158,treatment,2.488,0.768,3.239583333333333
2G,3596.0,0.0592177144473814,treatment,2.488,0.768,3.239583333333333
2I,7499.0,0.1394742047849226,treatment,2.488,0.768,3.239583333333333
2J,9441.0,0.1794071036410602,treatment,2.488,0.768,3.239583333333333
3A,3885.0,0.0651603549053751,treatment,1.692,0.584,2.897260273972603
3C,4468.0,0.0771484496701167,treatment,1.692,0.584,2.897260273972603
3D,6072.0,0.1101311323504693,treatment,1.692,0.584,2.897260273972603
3E,6330.0,0.1154363269461868,treatment,1.692,0.584,2.897260273972603
3H,7093.0,0.1311257202660802,treatment,1.692,0.584,2.897260273972603
4A,5434.0,0.0970120852494313,treatment,1.095,0.338,3.2396449704142007
4B,4630.0,0.0804796183697533,treatment,1.095,0.338,3.2396449704142007
4F,4156.0,0.0707328655078536,treatment,1.095,0.338,3.2396449704142007
4G,3873.0,0.064913601668365,treatment,1.095,0.338,3.2396449704142007
4H,5362.0,0.0955315658273706,treatment,1.095,0.338,3.2396449704142007
5B,6038.0,0.1094319981789406,treatment,0.647,0.246,2.6300813008130084
5D,4964.0,0.087347583466535,treatment,0.647,0.246,2.6300813008130084
5E,5324.0,0.0947501805768385,treatment,0.647,0.246,2.6300813008130084
5F,7884.0,0.1473908711389972,treatment,0.647,0.246,2.6300813008130084
5I,3646.0,0.0602458529349236,treatment,0.647,0.246,2.6300813008130084
6C,4539.0,0.0786084063224266,treatment,0.0,0.0,
6D,3851.0,0.0644612207338464,treatment,0.0,0.0,
6F,2721.0,0.0412252909153935,treatment,0.0,0.0,
6H,2454.0,0.0357350313919184,treatment,0.0,0.0,
6J,1651.0,0.0192231272819913,treatment,0.0,0.0,
