sample_id,area,concentration_mg_ml,sample_type,uva_dose,uvb_dose,uva_uvb_ratio
Youssef Pig 29_09_25 Scyt Std1,62185.0,0.473,standard,,,
Youssef Pig 29_09_25 Scyt Std2,56019.0,0.378,standard,,,
Youssef Pig 29_09_25 Scyt Std3,43868.0,0.284,standard,,,
Youssef Pig 29_09_25 Scyt Std4,29980.0,0.189,standard,,,
Youssef Pig 29_09_25 Scyt Std5,15634.0,0.095,standard,,,
Youssef Pig 29_09_25 Scyt Std6,7905.0,0.047,standard,,,
Youssef Pig 29_09_25 Scyt Std7,5573.0,0.023,standard,,,
1D,10495.0,0.0596860961313957,treatment,3.185,0.707,4.504950495049505
1F,12980.0,0.0776043573092569,treatment,3.185,0.707,4.504950495049505
1G,10343.0,0.0585900898138766,treatment,3.185,0.707,4.504950495049505
1I,6292.0,0.0293800793384175,treatment,3.185,0.707,4.504950495049505
1J,12704.0,0.0756142405748144,treatment,3.185,0.707,4.504950495049505
2B,16229.0,0.1010314923462272,treatment,2.488,0.768,3.239583333333333
2E,10102.0,0.0568523429551786,treatment,2.488,0.768,3.239583333333333
2G,7758.0,0.0399507718481739,treatment,2.488,0.768,3.239583333333333
2I,9965.0,0.0558644951558357,treatment,2.488,0.768,3.239583333333333
2J,11237.0,0.0650363374971796,treatment,2.488,0.768,3.239583333333333
3A,8024.0,0.0418687829038322,treatment,1.692,0.584,2.897260273972603
3C,13291.0,0.079846843919444,treatment,1.692,0.584,2.897260273972603
3D,14236.0,0.0866608305645461,treatment,1.692,0.584,2.897260273972603
3E,8320.0,0.0440031109958431,treatment,1.692,0.584,2.897260273972603
3H,8737.0,0.0470099178011421,treatment,1.692,0.584,2.897260273972603
4A,7266.0,0.0364031724519937,treatment,1.095,0.338,3.2396449704142007
4B,10753.0,0.0615464226440267,treatment,1.095,0.338,3.2396449704142007
4F,11191.0,0.0647046513747725,treatment,1.095,0.338,3.2396449704142007
4G,11137.0,0.0643152807093381,treatment,1.095,0.338,3.2396449704142007
4H,7704.0,0.0395614011827395,treatment,1.095,0.338,3.2396449704142007
5B,9002.0,0.0489207182889221,treatment,0.647,0.246,2.6300813008130084
5D,9690.0,0.0538815889892716,treatment,0.647,0.246,2.6300813008130084
5E,8165.0,0.0428854729746887,treatment,0.647,0.246,2.6300813008130084
5F,11432.0,0.0664423982334705,treatment,0.647,0.246,2.6300813008130084
5I,6278.0,0.0292791313881197,treatment,0.647,0.246,2.6300813008130084
6C,7811.0,0.0403329319457299,treatment,0.0,0.0,
6D,11602.0,0.0676681947728011,treatment,0.0,0.0,
6F,3507.0,0.0092986477970318,treatment,0.0,0.0,
6H,3210.0,0.0071571091371425,treatment,0.0,0.0,
6J,2012.0,0.0,treatment,0.0,0.0,
