form,feature,dose_metric,pearson_r,pearson_p,spearman_r,spearman_p,n
total,auc_320_480,UVA_mW_cm2,0.4480866163356308,,0.35967214974131534,,30
total,auc_320_480,UVB_mW_cm2,0.47994064207768783,,0.3393771695051283,,30
total,auc_320_480,UVA_div_UVB,0.1770262304213929,,0.12943664919120149,,25
total,auc_320_480,UVA_times_UVB,0.38577196610727427,,0.35967214974131534,,30
total,abs_max,UVA_mW_cm2,0.428268348571035,,0.3078072002488373,,30
total,abs_max,UVB_mW_cm2,0.386930410621793,,0.28976721781667103,,30
total,abs_max,UVA_div_UVB,0.32143583327809433,,0.027456258919345763,,25
total,abs_max,UVA_times_UVB,0.39819117337874554,,0.3078072002488373,,30
total,lambda_max_nm,UVA_mW_cm2,0.4231706472651447,,0.43161217625822035,,30
total,lambda_max_nm,UVB_mW_cm2,0.42316512879776425,,0.4504408953567333,,30
total,lambda_max_nm,UVA_div_UVB,0.2616708981443364,,0.20834603847656646,,25
total,lambda_max_nm,UVA_times_UVB,0.41351479727575596,,0.43161217625822035,,30
total,centroid_nm,UVA_mW_cm2,0.13231553472885696,,0.04171745937438454,,30
total,centroid_nm,UVB_mW_cm2,0.13838844911974482,,-0.019167481334176683,,30
total,centroid_nm,UVA_div_UVB,0.0025485790579966036,,-0.023533936216582084,,25
total,centroid_nm,UVA_times_UVB,0.04994511803828255,,0.04171745937438454,,30
total,fwhm_nm,UVA_mW_cm2,,,,,2
total,fwhm_nm,UVB_mW_cm2,,,,,2
total,fwhm_nm,UVA_div_UVB,,,,,2
total,fwhm_nm,UVA_times_UVB,,,,,2
total,abs_384_nm,UVA_mW_cm2,0.47953229777748724,,0.4092821014297726,,30
total,abs_384_nm,UVB_mW_cm2,0.5350063115314769,,0.4002621102136895,,30
total,abs_384_nm,UVA_div_UVB,0.14306063578031009,,0.1647375535160746,,25
total,abs_384_nm,UVA_times_UVB,0.4245235254540326,,0.4092821014297726,,30
total,abs_400_nm,UVA_mW_cm2,0.47178275471390285,,0.4002621102136895,,30
total,abs_400_nm,UVB_mW_cm2,0.5202942851912052,,0.37771213217348165,,30
total,abs_400_nm,UVA_div_UVB,0.1559207225974282,,0.1804268443271293,,25
total,abs_400_nm,UVA_times_UVB,0.40902485389765414,,0.4002621102136895,,30
total,ratio_abs_384_400,UVA_mW_cm2,-0.13923165210830937,,-0.046227454982426114,,30
total,ratio_abs_384_400,UVB_mW_cm2,-0.09051352115499031,,0.062012439610571624,,30
total,ratio_abs_384_400,UVA_div_UVB,-0.1420992817803409,,-0.05491251783869153,,25
total,ratio_abs_384_400,UVA_times_UVB,-0.026843823010629687,,-0.046227454982426114,,30
total,auc_320_380,UVA_mW_cm2,0.45314387730827055,,0.34388716511316986,,30
total,auc_320_380,UVB_mW_cm2,0.4793264097290245,,0.352907156329253,,30
total,auc_320_380,UVA_div_UVB,0.1901589032532019,,0.0823687767580373,,25
total,auc_320_380,UVA_times_UVB,0.4021731969171306,,0.34388716511316986,,30
total,auc_380_440,UVA_mW_cm2,0.4660278089240651,,0.41153709923379345,,30
total,auc_380_440,UVB_mW_cm2,0.5093410674910853,,0.38447712558554403,,30
total,auc_380_440,UVA_div_UVB,0.16573627119502365,,0.20788310324647505,,25
total,auc_380_440,UVA_times_UVB,0.4002424177372557,,0.41153709923379345,,30
total,auc_ratio_320_380_over_380_440,UVA_mW_cm2,-0.16543446743348167,,-0.3574171519372946,,30
total,auc_ratio_320_380_over_380_440,UVB_mW_cm2,-0.19347357713472013,,-0.26270724416842156,,30
total,auc_ratio_320_380_over_380_440,UVA_div_UVB,-0.007744786043536677,,-0.2863295573017487,,25
total,auc_ratio_320_380_over_380_440,UVA_times_UVB,-0.10392913697025578,,-0.3574171519372946,,30
total,second_derivative_384,UVA_mW_cm2,0.01106932418440616,,0.0011278753414740042,,30
total,second_derivative_384,UVB_mW_cm2,0.0035132736895731194,,-0.023685382170954086,,30
total,second_derivative_384,UVA_div_UVB,-0.058048148656941384,,-0.1334359764072979,,25
total,second_derivative_384,UVA_times_UVB,-0.055943406770297445,,0.0011278753414740042,,30
total,second_derivative_400,UVA_mW_cm2,-0.04228496047753189,,-0.12742155041416575,,30
total,second_derivative_400,UVB_mW_cm2,-0.14473460267608643,,-0.21875912194998368,,30
total,second_derivative_400,UVA_div_UVB,0.17225795506164965,,0.01961538606622683,,25
total,second_derivative_400,UVA_times_UVB,-0.0386946246277747,,-0.12742155041416575,,30
oxidized,auc_320_480,UVA_mW_cm2,0.2907974486293961,,0.31682719146492044,,30
oxidized,auc_320_480,UVB_mW_cm2,0.2892697129978723,,0.2469222595402761,,30
oxidized,auc_320_480,UVA_div_UVB,0.20236372935596428,,0.270640266490694,,25
oxidized,auc_320_480,UVA_times_UVB,0.2193297010577075,,0.31682719146492044,,30
oxidized,abs_max,UVA_mW_cm2,0.33600535617852706,,0.38447712558554403,,30
oxidized,abs_max,UVB_mW_cm2,0.32835520105017907,,0.2987872090327542,,30
oxidized,abs_max,UVA_div_UVB,0.2548920527027732,,0.30594117081556715,,25
oxidized,abs_max,UVA_times_UVB,0.26757511052833755,,0.38447712558554403,,30
oxidized,lambda_max_nm,UVA_mW_cm2,-0.18645032255006908,,-0.007929625338301853,,30
oxidized,lambda_max_nm,UVB_mW_cm2,-0.17457809622286366,,-0.004531214479029631,,30
oxidized,lambda_max_nm,UVA_div_UVB,-0.18126860395779398,,-0.10259384144315417,,25
oxidized,lambda_max_nm,UVA_times_UVB,-0.22278562505078947,,-0.007929625338301853,,30
oxidized,centroid_nm,UVA_mW_cm2,0.1921143174638052,,0.06652243521861319,,30
oxidized,centroid_nm,UVB_mW_cm2,0.21981855518856813,,0.05073745059046769,,30
oxidized,centroid_nm,UVA_div_UVB,-0.03800146188022638,,-0.0392232270276368,,25
oxidized,centroid_nm,UVA_times_UVB,0.11465360573508912,,0.06652243521861319,,30
oxidized,fwhm_nm,UVA_mW_cm2,0.004044559482151708,,-0.028426762180748057,,16
oxidized,fwhm_nm,UVB_mW_cm2,-0.09697321993430058,,-0.028426762180748057,,16
oxidized,fwhm_nm,UVA_div_UVB,0.1682367093939485,,0.1889822365046136,,15
oxidized,fwhm_nm,UVA_times_UVB,0.02347831822291298,,-0.028426762180748057,,16
oxidized,abs_384_nm,UVA_mW_cm2,0.25902226036384296,,0.2739822331885255,,30
oxidized,abs_384_nm,UVB_mW_cm2,0.2578964427593079,,0.21986228589202664,,30
oxidized,abs_384_nm,UVA_div_UVB,0.1764410316161167,,0.14120361729949252,,25
oxidized,abs_384_nm,UVA_times_UVB,0.1981581771946417,,0.2739822331885255,,30
oxidized,abs_400_nm,UVA_mW_cm2,0.2743148544543167,,0.2942772134247126,,30
oxidized,abs_400_nm,UVB_mW_cm2,0.2727445396204485,,0.2288822771081098,,30
oxidized,abs_400_nm,UVA_div_UVB,0.18869995781694396,,0.1804268443271293,,25
oxidized,abs_400_nm,UVA_times_UVB,0.2092006745916812,,0.2942772134247126,,30
oxidized,ratio_abs_384_400,UVA_mW_cm2,-0.3077550424798755,,-0.2446672617362553,,30
oxidized,ratio_abs_384_400,UVB_mW_cm2,-0.3268429742541198,,-0.226627279304089,,30
oxidized,ratio_abs_384_400,UVA_div_UVB,-0.09108451403285003,,-0.0392232270276368,,25
oxidized,ratio_abs_384_400,UVA_times_UVB,-0.22689122522896754,,-0.2446672617362553,,30
oxidized,auc_320_380,UVA_mW_cm2,0.2883753339943721,,0.32359218487698277,,30
oxidized,auc_320_380,UVB_mW_cm2,0.28563871573714467,,0.25819724856037995,,30
oxidized,auc_320_380,UVA_div_UVB,0.19926015625014504,,0.19611613513818404,,25
oxidized,auc_320_380,UVA_times_UVB,0.223480152811568,,0.32359218487698277,,30
oxidized,auc_380_440,UVA_mW_cm2,0.28760220382246615,,0.3055522024448165,,30
oxidized,auc_380_440,UVB_mW_cm2,0.28533414824518266,,0.23339227271615134,,30
oxidized,auc_380_440,UVA_div_UVB,0.20131130677690975,,0.2667179437879303,,25
oxidized,auc_380_440,UVA_times_UVB,0.21845390702755058,,0.3055522024448165,,30
oxidized,auc_ratio_320_380_over_380_440,UVA_mW_cm2,-0.3100651506981772,,-0.131917371535216,,30
oxidized,auc_ratio_320_380_over_380_440,UVB_mW_cm2,-0.3504281467215038,,-0.10936739349500814,,30
oxidized,auc_ratio_320_380_over_380_440,UVA_div_UVB,-0.02718096103376651,,-0.05491251783869153,,25
oxidized,auc_ratio_320_380_over_380_440,UVA_times_UVB,-0.2101989648272606,,-0.131917371535216,,30
