form,feature,data,slope,intercept,r_squared,max_abs_rel_residual,n
total,auc_320_480,standards,4.452762492442878e-08,-0.02291297647184016,0.8414899630618047,0.3111942534380045,7
total,abs_max,standards,4.850253446714264e-06,-0.022199425257125267,0.8336910807955524,0.3198053982042638,7
total,lambda_max_nm,standards,-0.13655882352941132,52.481579411764514,0.5088012018192538,2.471207430340347,7
total,centroid_nm,standards,-0.2034977752280776,79.59246973384454,0.5736604740568146,2.8549623473771617,7
total,fwhm_nm,standards,0.001337772780182399,8.413665284166033e-06,1.1102230246251565e-16,8.24844720496894,7
total,abs_384_nm,standards,4.8546179046556524e-06,-0.022193115358406977,0.833464472881444,0.3200512066232325,7
total,abs_400_nm,standards,5.258863935684621e-06,-0.022546101059246152,0.8316174299737622,0.32210972406004973,7
total,ratio_abs_384_400,standards,21.83222067682553,-23.341851764055427,0.6274812911365617,3.391747436013587,7
total,auc_320_380,standards,1.0285492144174302e-07,-0.022150519329872602,0.8482153765650857,0.3034703692513347,7
total,auc_380_440,standards,1.0195849082214644e-07,-0.022947435633735826,0.8326549435081714,0.32100849749796495,7
total,auc_ratio_320_380_over_380_440,standards,6.193878182128341,-5.837264352876565,0.7950878880056602,3.2620077714918803,7
total,second_derivative_384,standards,-0.012205136182497831,-0.08696539733811373,0.8164875187045736,2.051118739632353,7
total,second_derivative_400,standards,-0.007838322138674556,0.013033029231552954,0.48703804433325537,2.914980184523069,7
oxidized,auc_320_480,standards,2.9622414848340602e-08,-0.032374734078941286,0.8852781502943194,0.25817208059635277,7
oxidized,abs_max,standards,2.9833706785248274e-06,-0.033102672321823595,0.8815256929626969,0.2606240268759907,7
oxidized,lambda_max_nm,standards,0.297899999999995,-114.23620999999808,0.7121486979898086,4.54782608695595,7
oxidized,centroid_nm,standards,0.43201304710519484,-168.3233810690389,0.07750989057833846,10.166661187321898,7
oxidized,fwhm_nm,standards,0.001337772780182399,8.413665284166033e-06,1.1102230246251565e-16,8.24844720496894,7
oxidized,abs_384_nm,standards,2.9847509451522127e-06,-0.033138796851917666,0.8812921578846119,0.26113398611808963,7
oxidized,abs_400_nm,standards,3.2058970112651335e-06,-0.03288078259827686,0.8800850805851911,0.2623067765386285,7
oxidized,ratio_abs_384_400,standards,31.303293572637518,-33.447156462847026,0.032586616948554914,7.217150289963958,7
oxidized,auc_320_380,standards,7.142620946458435e-08,-0.03277333105041123,0.8888601045322929,0.25470151496410187,7
oxidized,auc_380_440,standards,6.294726035929549e-08,-0.03261578679599061,0.8803998298277531,0.26223893152328903,7
oxidized,auc_ratio_320_380_over_380_440,standards,17.699080516935638,-15.343175197823966,0.6887650413827134,1.8824934555484454,7
oxidized,second_derivative_384,standards,-0.006924450931696542,-0.14537874818202057,0.9160345941042289,1.3347485262718715,7
oxidized,second_derivative_400,standards,-0.005319662574583412,-0.006721795487278548,0.5794596619229061,1.0851075119387472,7
reduced,auc_320_480,standards,4.739753466850038e-08,-0.02600374973958832,0.969216095046362,0.42198920213905944,7
reduced,abs_max,standards,5.7662392975657635e-06,-0.02341568476644554,0.9705110140714573,0.3418228583278692,7
reduced,lambda_max_nm,standards,-0.046872093023255804,17.664533720930223,0.9097206932234987,1.0677451971691128,7
reduced,centroid_nm,standards,-0.05502540438111722,21.70826162514747,0.5359191506922512,2.980799508528595,7
reduced,abs_384_nm,standards,5.944807979143171e-06,-0.023991152701197258,0.9705877840505134,0.34108456782674706,7
reduced,abs_400_nm,standards,6.541455617279975e-06,-0.026588327506127097,0.9695745221969767,0.4018939947392959,7
reduced,ratio_abs_384_400,standards,5.1752502874838635,-5.3621624870351114,0.559451334161607,3.3598018991991685,7
reduced,auc_320_380,standards,1.0259298664274453e-07,-0.020751825398940688,0.9705672362715153,0.29823023805064036,7
reduced,auc_380_440,standards,1.2339627629845934e-07,-0.028493748048252863,0.9687386795584723,0.4543751030578424,7
reduced,auc_ratio_320_380_over_380_440,standards,1.795105766499075,-1.8157767845731332,0.5932629718719813,3.247646658164826,7
reduced,second_derivative_384,standards,-0.017106974636371598,0.17373482207855653,0.24355834634759066,5.586771958750928,7
reduced,second_derivative_400,standards,-0.014854707064296653,0.01764015044493502,0.47710114865299413,2.963954365791411,7
total,auc_320_480,treatments_conc_mg_ml,2.093494304332603e-08,-0.007829641197535835,0.920331463191244,0.29730431759469167,30
total,auc_320_480,treatments_mg_per_gDW,2.569612600794292e-07,-0.001131421006057687,0.747690990965284,0.8894955889288747,30
total,abs_max,treatments_conc_mg_ml,9.195487961325732e-07,0.028417779638096115,0.4000820089498728,3.973742324755399,30
total,abs_max,treatments_mg_per_gDW,1.05519838207822e-05,0.46239480758215207,0.28408861821415454,3.58953012178901,30
total,lambda_max_nm,treatments_conc_mg_ml,0.00027321827319218744,-0.04037954224913958,0.11926083124711462,5.608282857220274,30
total,lambda_max_nm,treatments_mg_per_gDW,0.0045253944430731765,-0.7956454271070061,0.17643200329103992,4.436772327383551,30
total,centroid_nm,treatments_conc_mg_ml,0.001999552186021883,-0.7322819551744819,0.13811205887547817,4.562792620048831,30
total,centroid_nm,treatments_mg_per_gDW,0.029189448746856323,-10.715042010820351,0.1587099075683256,3.1815249201063835,30
total,fwhm_nm,treatments_conc_mg_ml,-0.0003054658755764892,0.10825517034805744,1.0,6.975387254644663e-16,2
total,fwhm_nm,treatments_mg_per_gDW,-0.001276411143336598,1.1977176406471137,1.0,6.173556758622627e-16,2
total,abs_384_nm,treatments_conc_mg_ml,3.1438793278341294e-06,-0.011460991682687757,0.9847423447185532,0.2507043034975376,30
total,abs_384_nm,treatments_mg_per_gDW,3.935681331971189e-05,-0.06113551974880429,0.832179225643771,0.8874241013536909,30
total,abs_400_nm,treatments_conc_mg_ml,3.2382917923498795e-06,-0.010946755120564687,0.9804501870985872,0.2138609148545162,30
