sample_id,sample_category,spectrum_state,auc_320_480,abs_max,lambda_max_nm,centroid_nm,fwhm_nm,abs_384_nm,abs_400_nm,ratio_abs_384_400,auc_320_380,auc_380_440,auc_ratio_320_380_over_380_440,second_derivative_384,second_derivative_400
Blank 1,blank,blank,127299.5,1385.0,458.9,425.7718722160573,,705.0999999999998,932.0999999999996,0.7564638987233131,14592.0,62313.0,0.23417264455250109,1.7750000000004036,0.7500000000001705
Blank 2,blank,blank,61373.0,564.0,322.9,394.61829891902386,,409.5000000000001,382.8000000000002,1.0697492163009403,25050.5,23546.5,1.0638736117894378,-1.1368683772161603e-13,10.699999999999875
Blank 3,blank,blank,10098.0,407.0,320.9,338.60182950564416,,,,,10098.0,,,,
1D,sample,oxidized,2860765.0,21760.0,420.9,404.6840948229376,159.0,20002.000000000004,21034.0,0.9509365788723022,895260.0,1233790.0,0.7256178117832046,7.999999999999545,-5.0
1D,sample,reduced,3806995.0,26360.0,394.9,397.33154273714126,,26252.0,26296.0,0.9983267417097658,1469705.0,1493390.0,0.9841401107547258,16.999999999999886,-14.499999999999886
1D,sample,total,3103540.0,22370.0,417.9,402.1221250028044,159.0,20949.000000000004,21824.0,0.9599065249266864,1056540.0,1277410.0,0.8270954509515347,13.499999999999659,-10.0
1F,sample,oxidized,4432680.0,38580.0,386.9,395.07431652364613,159.0,38484.0,37174.99999999999,1.0352118359112308,1696630.0,1992585.0,0.8514718318164596,-31.249999999999716,-29.499999999999318
1F,sample,reduced,4634295.0,46600.0,320.9,387.93044769080717,,33376.0,30925.999999999993,1.0792213671344502,2180465.0,1685495.0,1.2936644724546795,-8.999999999999773,-9.749999999999375
1F,sample,total,3941545.0,31010.0,320.9,391.65864226497735,,30315.0,28740.999999999996,1.0547649699036221,1691465.0,1563580.0,1.0817898668440373,-16.499999999999773,-14.999999999999432
1G,sample,oxidized,4177947.0,38800.0,385.9,392.85335803805043,159.0,38744.0,36893.99999999999,1.0501436547948177,1655020.0,1930240.0,0.8574166942970822,-24.749999999999943,-16.74999999999983
1G,sample,reduced,2408552.5,23380.0,320.9,386.7920259290265,,17550.999999999996,16209.999999999998,1.0827267119062307,1157070.0,878955.0,1.316415516152704,8.25000000000017,11.999999999999886
1G,sample,total,2824383.5,23800.0,382.9,390.6918487782648,,23778.0,22465.999999999996,1.0583993590314253,1209125.0,1192145.0,1.0142432338348104,-4.749999999999943,0.0
1I,sample,oxidized,2063502.0,15730.0,419.9,405.33674367648837,,14180.000000000002,15146.000000000002,0.936220784365509,631992.0,886500.0,0.712906937394247,-1.2500000000002842,11.249999999999716
1I,sample,reduced,2127808.5,22090.0,320.9,390.0937705559011,,13248.0,12816.0,1.0337078651685394,978950.0,732135.0,1.3371167885704138,11.249999999999716,6.999999999999886
1I,sample,total,1754360.5,14870.0,320.9,396.62001329395724,,11113.0,11362.0,0.9780848442175674,693775.0,660135.0,1.0509592734819393,6.249999999999716,9.499999999999886
1J,sample,oxidized,2340190.0,22390.0,320.9,405.89228106743263,,11137.000000000002,12510.000000000002,0.8902478017585932,764060.0,822485.0,0.9289652698833414,-2.5,9.499999999999886
1J,sample,reduced,8182620.0,180500.0,320.9,378.2015350744845,,47612.99999999999,44038.99999999999,1.0811553395853675,4559440.0,2415730.0,1.8873963563808869,-2.750000000000057,5.500000000000114
1J,sample,total,5059690.0,96840.0,320.9,384.44928757451015,,28165.0,27069.999999999996,1.0404506834133729,2559430.0,1551235.0,1.6499305392155283,-2.750000000000057,7.5
2B,sample,oxidized,2600230.0,21050.0,446.9,407.63865181067007,,14209.000000000002,15625.000000000002,0.909376,794970.0,984215.0,0.8077198579578649,8.499999999999659,-11.74999999999983
2B,sample,reduced,8080755.0,92660.0,320.9,386.82394490791364,,58991.99999999999,54647.99999999999,1.0794905577514273,3847305.0,2944175.0,1.3067514668795164,-5.250000000000057,-20.749999999999602
