sample_id,form,feature,feature_value,known_concentration_mg_ml
Standard 1,total,auc_320_480,7831500.0,0.473
Standard 2,total,auc_320_480,10428655.0,0.378
Standard 3,total,auc_320_480,7809625.0,0.284
Standard 4,total,auc_320_480,5198824.0,0.189
Standard 5,total,auc_320_480,3137137.5,0.095
Standard 6,total,auc_320_480,1588693.5,0.047
Standard 7,total,auc_320_480,1047532.5,0.023
Standard 1,total,abs_max,70910.0,0.473
Standard 2,total,abs_max,95540.0,0.378
Standard 3,total,abs_max,71830.0,0.284
Standard 4,total,abs_max,47630.0,0.189
Standard 5,total,abs_max,29020.0,0.095
Standard 6,total,abs_max,14540.0,0.047
Standard 7,total,abs_max,9563.0,0.023
Standard 1,total,lambda_max_nm,381.9,0.473
Standard 2,total,lambda_max_nm,381.9,0.378
Standard 3,total,lambda_max_nm,382.9,0.284
Standard 4,total,lambda_max_nm,382.9,0.189
Standard 5,total,lambda_max_nm,381.9,0.095
Standard 6,total,lambda_max_nm,383.9,0.047
Standard 7,total,lambda_max_nm,383.9,0.023
Standard 1,total,centroid_nm,389.4713540566741,0.473
Standard 2,total,centroid_nm,389.76083170178674,0.378
Standard 3,total,centroid_nm,389.79729124823587,0.284
Standard 4,total,centroid_nm,389.88038579773047,0.189
Standard 5,total,centroid_nm,389.76187915859896,0.095
Standard 6,total,centroid_nm,390.5339507555158,0.047
Standard 7,total,centroid_nm,391.33171740369255,0.023
Standard 1,total,fwhm_nm,159.0,0.473
Standard 2,total,fwhm_nm,159.0,0.378
Standard 3,total,fwhm_nm,159.0,0.284
Standard 4,total,fwhm_nm,159.0,0.189
Standard 5,total,fwhm_nm,159.0,0.095
Standard 6,total,fwhm_nm,159.0,0.047
Standard 7,total,fwhm_nm,159.0,0.023
Standard 1,total,abs_384_nm,70821.0,0.473
Standard 2,total,abs_384_nm,95458.0,0.378
Standard 3,total,abs_384_nm,71773.0,0.284
Standard 4,total,abs_384_nm,47573.0,0.189
Standard 5,total,abs_384_nm,28995.0,0.095
Standard 6,total,abs_384_nm,14537.0,0.047
Standard 7,total,abs_384_nm,9562.1,0.023
Standard 1,total,abs_400_nm,65258.999999999985,0.473
Standard 2,total,abs_400_nm,88194.99999999999,0.378
Standard 3,total,abs_400_nm,66375.99999999999,0.284
Standard 4,total,abs_400_nm,44006.99999999999,0.189
Standard 5,total,abs_400_nm,26823.999999999993,0.095
Standard 6,total,abs_400_nm,13525.999999999996,0.047
Standard 7,total,abs_400_nm,8964.799999999997,0.023
Standard 1,total,ratio_abs_384_400,1.085229623500207,0.473
Standard 2,total,ratio_abs_384_400,1.0823516072339705,0.378
Standard 3,total,ratio_abs_384_400,1.0813095094612513,0.284
Standard 4,total,ratio_abs_384_400,1.0810325630013409,0.189
Standard 5,total,ratio_abs_384_400,1.0809349835967792,0.095
Standard 6,total,ratio_abs_384_400,1.0747449356794323,0.047
Standard 7,total,ratio_abs_384_400,1.066627253257184,0.023
Standard 1,total,auc_320_380,3418495.0,0.473
Standard 2,total,auc_320_380,4504360.0,0.378
Standard 3,total,auc_320_380,3364860.0,0.284
Standard 4,total,auc_320_380,2238585.0,0.189
Standard 5,total,auc_320_380,1349585.0,0.095
Standard 6,total,auc_320_380,672879.0,0.047
Standard 7,total,auc_320_380,435436.0,0.023
Standard 1,total,auc_380_440,3375005.0,0.473
Standard 2,total,auc_380_440,4553785.0,0.378
Standard 3,total,auc_380_440,3425190.0,0.284
Standard 4,total,auc_380_440,2274410.0,0.189
Standard 5,total,auc_380_440,1383210.0,0.095
Standard 6,total,auc_380_440,701654.5,0.047
Standard 7,total,auc_380_440,466193.0,0.023
Standard 1,total,auc_ratio_320_380_over_380_440,1.0128859068356937,0.473
Standard 2,total,auc_ratio_320_380_over_380_440,0.9891463914084656,0.378
Standard 3,total,auc_ratio_320_380_over_380_440,0.9823863785658604,0.284
Standard 4,total,auc_ratio_320_380_over_380_440,0.9842486622904402,0.189
Standard 5,total,auc_ratio_320_380_over_380_440,0.9756906037405744,0.095
Standard 6,total,auc_ratio_320_380_over_380_440,0.958989075107478,0.047
Standard 7,total,auc_ratio_320_380_over_380_440,0.9340251784132324,0.023
Standard 1,total,second_derivative_384,-34.499999999999886,0.473
Standard 2,total,second_derivative_384,-46.24999999999971,0.378
Standard 3,total,second_derivative_384,-29.499999999999886,0.284
Standard 4,total,second_derivative_384,-20.499999999999545,0.189
Standard 5,total,second_derivative_384,-16.499999999999773,0.095
Standard 6,total,second_derivative_384,-11.74999999999983,0.047
Standard 7,total,second_derivative_384,-12.874999999999858,0.023
Standard 1,total,second_derivative_400,-24.749999999999943,0.473
Standard 2,total,second_derivative_400,-51.99999999999932,0.378
Standard 3,total,second_derivative_400,-38.74999999999971,0.284
Standard 4,total,second_derivative_400,-19.499999999999886,0.189
Standard 5,total,second_derivative_400,-23.749999999999716,0.095
Standard 6,total,second_derivative_400,-9.749999999999943,0.047
Standard 7,total,second_derivative_400,-9.825000000000015,0.023
Standard 1,oxidized,auc_320_480,13252375.0,0.473
Standard 2,oxidized,auc_320_480,15134580.0,0.378
Standard 3,oxidized,auc_320_480,13155430.0,0.284
Standard 4,oxidized,auc_320_480,6719743.0,0.189
Standard 5,oxidized,auc_320_480,4951668.0,0.095
Standard 6,oxidized,auc_320_480,2745842.5,0.047
Standard 7,oxidized,auc_320_480,1956745.0,0.023
Standard 1,oxidized,abs_max,131100.0,0.473
Standard 2,oxidized,abs_max,150600.0,0.378
Standard 3,oxidized,abs_max,131100.0,0.284
Standard 4,oxidized,abs_max,66890.0,0.189
Standard 5,oxidized,abs_max,49740.0,0.095
Standard 6,oxidized,abs_max,27630.0,0.047
Standard 7,oxidized,abs_max,19710.0,0.023
Standard 1,oxidized,lambda_max_nm,384.9,0.473
Standard 2,oxidized,lambda_max_nm,384.9,0.378
Standard 3,oxidized,lambda_max_nm,383.9,0.284
Standard 4,oxidized,lambda_max_nm,383.9,0.189
Standard 5,oxidized,lambda_max_nm,383.9,0.095
Standard 6,oxidized,lambda_max_nm,383.9,0.047
Standard 7,oxidized,lambda_max_nm,383.9,0.023
