sample_id,form,feature,feature_value,conc_mg_ml,amount_mg_per_gDW
1D,total,auc_320_480,3103540.0,0.0596860961313957,0.9947682688565952
1F,total,auc_320_480,3941545.0,0.0776043573092569,0.8255782692474143
1G,total,auc_320_480,2824383.5,0.0585900898138766,0.723334442146625
1I,total,auc_320_480,1754360.5,0.0293800793384175,0.3970280991678045
1J,total,auc_320_480,5059690.0,0.0756142405748144,0.94517800718518
2B,total,auc_320_480,5023785.0,0.1010314923462272,1.2628936543278404
2E,total,auc_320_480,2896915.0,0.0568523429551786,0.7787992185640907
2G,total,auc_320_480,2030017.5,0.0399507718481739,0.4932194055330111
2I,total,auc_320_480,2825178.5,0.0558644951558357,0.6421206339751239
2J,total,auc_320_480,3073510.0,0.0650363374971796,1.0005590384181482
3A,total,auc_320_480,2216073.5,0.0418687829038322,0.9736926256705184
3C,total,auc_320_480,3932280.0,0.079846843919444,1.0790114043168109
3D,total,auc_320_480,4093940.0,0.0866608305645461,1.255954066152843
3E,total,auc_320_480,2854270.0,0.0440031109958431,0.5500388874480391
3H,total,auc_320_480,2636417.5,0.0470099178011421,0.9040368807911956
4A,total,auc_320_480,2609930.0,0.0364031724519937,0.5200453207427675
4B,total,auc_320_480,3031085.0,0.0615464226440267,0.8668510231553068
4F,total,auc_320_480,3450800.0,0.0647046513747725,0.8088081421846567
4G,total,auc_320_480,3223935.0,0.0643152807093381,1.0373432372473892
4H,total,auc_320_480,2519395.0,0.0395614011827395,0.5651628740391357
5B,total,auc_320_480,2884810.0,0.0489207182889221,0.7194223277782666
5D,total,auc_320_480,2947865.0,0.0538815889892716,0.7483554026287729
5E,total,auc_320_480,2702455.0,0.0428854729746887,0.5428540882871999
5F,total,auc_320_480,3576105.0,0.0664423982334705,0.9770940916686844
5I,total,auc_320_480,1937195.5,0.0292791313881197,0.5048126101399952
6C,total,auc_320_480,2582455.0,0.0403329319457299,0.5450396208882419
6D,total,auc_320_480,3428000.0,0.0676681947728011,0.9530731658141
6F,total,auc_320_480,892391.5,0.0092986477970318,0.1207616597017118
6H,total,auc_320_480,761471.5,0.0071571091371425,0.1555893290683165
6J,total,auc_320_480,511780.0,0.0,0.0
