form,measurement,dose_metric,pearson_r,pearson_p,spearman_r,spearman_p,n
total,mg_mL,UVA_mW_cm2,0.4480866163356306,,0.3596721497413154,,30
total,mg_mL,UVB_mW_cm2,0.4799406420776875,,0.3393771695051283,,30
total,mg_mL,UVA_div_UVB,0.1770262304213928,,0.12943664919120146,,25
total,mg_mL,UVA_times_UVB,0.38577196610727404,,0.3596721497413154,,30
total,mg_per_gDW,UVA_mW_cm2,0.3860436780819223,,0.321337187072962,,30
total,mg_per_gDW,UVB_mW_cm2,0.45329161504079774,,0.29653221122873336,,30
total,mg_per_gDW,UVA_div_UVB,0.012267583183565125,,0.01568929081105472,,25
total,mg_per_gDW,UVA_times_UVB,0.3059637457156542,,0.321337187072962,,30
oxidized,mg_mL,UVA_mW_cm2,0.2907974486293959,,0.3168271914649205,,30
oxidized,mg_mL,UVB_mW_cm2,0.2892697129978719,,0.24692225954027608,,30
oxidized,mg_mL,UVA_div_UVB,0.20236372935596467,,0.27064026649069395,,25
oxidized,mg_mL,UVA_times_UVB,0.21932970105770733,,0.3168271914649205,,30
oxidized,mg_per_gDW,UVA_mW_cm2,0.2595368634920346,,0.27849222879656704,,30
oxidized,mg_per_gDW,UVB_mW_cm2,0.278577149431229,,0.21309729247996428,,30
oxidized,mg_per_gDW,UVA_div_UVB,0.122477415748078,,0.20788310324647508,,25
oxidized,mg_per_gDW,UVA_times_UVB,0.18015295760317443,,0.27849222879656704,,30
reduced,mg_mL,UVA_mW_cm2,0.4418093337032439,,0.40477210582173107,,30
reduced,mg_mL,UVB_mW_cm2,0.45528128013485025,,0.41153709923379345,,30
reduced,mg_mL,UVA_div_UVB,0.17887594579439847,,-0.05491251783869153,,25
reduced,mg_mL,UVA_times_UVB,0.4179850697552647,,0.40477210582173107,,30
reduced,mg_per_gDW,UVA_mW_cm2,0.3857673893854243,,0.34388716511316986,,30
reduced,mg_per_gDW,UVB_mW_cm2,0.42846420603701263,,0.3393771695051283,,30
reduced,mg_per_gDW,UVA_div_UVB,0.06526800512277932,,-0.1215920037856741,,25
reduced,mg_per_gDW,UVA_times_UVB,0.34968571910806295,,0.34388716511316986,,30
