auc,concentration_mg_ml,sample_type,sample_id,p_uva_mw_cm2
13191002.0,0.473,standard,,
15073207.0,0.378,standard,,
13094057.0,0.284,standard,,
6658370.0,0.189,standard,,
4890295.0,0.095,standard,,
2684469.5,0.047,standard,,
1895372.0,0.023,standard,,
2799392.0,0.049970883962722305,treatment,1D,3.185
4371307.0,0.09723092496557245,treatment,1F,3.185
4116574.0,0.08957230982112824,treatment,1G,3.185
2002129.0,0.026000960608052806,treatment,1I,3.185
2278817.0,0.03431965864515824,treatment,1J,3.185
2538857.0,0.042137830150857446,treatment,2B,2.488
3294387.0,0.06485303980206847,treatment,2E,2.488
2410886.0,0.03829034812595423,treatment,2G,2.488
1436237.5,0.008987282709970297,treatment,2I,2.488
1291396.0,0.0046325846322025285,treatment,2J,2.488
2475510.5,0.040233300842728796,treatment,3A,1.692
5244612.0,0.12348707119993885,treatment,3C,1.692
4923252.0,0.11382529764559529,treatment,3D,1.692
1847385.0,0.021348541243809166,treatment,3E,1.692
1207080.5,0.002097616782684067,treatment,3H,1.692
1839178.0,0.021101795614108833,treatment,4A,1.095
3256272.0,0.0637071022273118,treatment,4B,1.095
4277962.0,0.09442448280590665,treatment,4F,1.095
4148967.0,0.09054621394966275,treatment,4G,1.095
1615597.5,0.014379788636990014,treatment,4H,1.095
1965050.0,0.024886170647816605,treatment,5B,0.647
2732972.0,0.04797394906267408,treatment,5D,0.647
1962897.0,0.024821440132312182,treatment,5E,0.647
2157104.0,0.030660325048507096,treatment,5F,0.647
1536225.0,0.011993433392273392,treatment,5I,0.647
2137344.0,0.0300662354124795,treatment,6C,0.0
4562057.0,0.10296587426072751,treatment,6D,0.0
357580.0,-0.023442840851438447,treatment,6F,0.0
255653.0,-0.026507303115172496,treatment,6H,0.0
87702.0,-0.031556794434022234,treatment,6J,0.0
