auc,concentration_mg_ml,sample_type,sample_id,p_uva_mw_cm2
9309087.0,0.473,standard,,
9413562.0,0.378,standard,,
6686532.0,0.284,standard,,
4650532.0,0.189,standard,,
2355560.5,0.095,standard,,
1233379.0,0.047,standard,,
1177288.5,0.023,standard,,
3745622.0,0.15478675460869587,treatment,1D,3.185
4572922.0,0.19376435692487318,treatment,1F,3.185
2347179.5,0.08890021329715135,treatment,1G,3.185
2066435.5,0.07567317596528518,treatment,1I,3.185
8121247.0,0.3609409563912697,treatment,1J,3.185
8019382.0,0.35614166537236797,treatment,2B,2.488
2855622.0,0.11285509008385869,treatment,2E,2.488
1855176.0,0.06571984733417861,treatment,2G,2.488
3817018.0,0.15815052215972428,treatment,2I,2.488
4480672.0,0.18941806922552912,treatment,2J,2.488
2203420.5,0.08212711873487487,treatment,3A,1.692
3043612.0,0.12171209414455997,treatment,3C,1.692
3680802.0,0.15173281023285323,treatment,3D,1.692
3801597.0,0.1574239736219293,treatment,3E,1.692
3999562.0,0.1667509421249174,treatment,3H,1.692
3123332.0,0.1254680405444701,treatment,4A,1.095
2956677.0,0.11761621857661983,treatment,4B,1.095
3132372.0,0.12589395318189092,treatment,4F,1.095
2659002.0,0.1035914902199559,treatment,4G,1.095
3335732.0,0.1354751029546672,treatment,4H,1.095
3759797.0,0.15545459881615606,treatment,5B,0.647
3306467.0,0.13409630501947692,treatment,5D,0.647
3268652.0,0.13231468041946937,treatment,5E,0.647
4759927.0,0.20257495346921833,treatment,5F,0.647
2304419.0,0.08688558527365213,treatment,5I,0.647
2339640.0,0.08854499556155021,treatment,6C,0.0
2743117.0,0.10755450365985103,treatment,6D,0.0
1847014.0,0.065335300990525,treatment,6F,0.0
1538313.5,0.050791114693165995,treatment,6H,0.0
1061326.0,0.028318216004917934,treatment,6J,0.0
