auc,concentration_mg_ml,sample_type,sample_id,p_uva_mw_cm2
13252375.0,0.473,standard,,
15134580.0,0.378,standard,,
13155430.0,0.284,standard,,
6719743.0,0.189,standard,,
4951668.0,0.095,standard,,
2745842.5,0.047,standard,,
1956745.0,0.023,standard,,
2860765.0,0.04997662686270394,treatment,1D,3.185
4432680.0,0.09723500015008488,treatment,1F,3.185
4177947.0,0.08957665526336112,treatment,1G,3.185
2063502.0,0.026007549360283516,treatment,1I,3.185
2340190.0,0.034325953846619524,treatment,1J,3.185
2600230.0,0.042143849464162796,treatment,2B,2.488
3355760.0,0.06485825753954533,treatment,2E,2.488
2472259.0,0.03829650320946109,treatment,2G,2.488
1497610.5,0.008994471841997899,treatment,2I,2.488
1352769.0,0.004639927433105442,treatment,2J,2.488
2536883.5,0.040239387363191,treatment,3A,1.692
5305985.0,0.12349021985581721,treatment,3C,1.692
4984625.0,0.11382878724678125,treatment,3D,1.692
1908758.0,0.021355294170923737,treatment,3E,1.692
1268453.5,0.0021050490377010067,treatment,3H,1.692
1900551.0,0.021108557248399593,treatment,4A,1.095
3317645.0,0.06371236040270997,treatment,4B,1.095
4339335.0,0.09442865702433662,treatment,4F,1.095
4210340.0,0.09055052502470198,treatment,4G,1.095
1676970.5,0.014386787477909925,treatment,4H,1.095
2026423.0,0.02489279873882956,treatment,5B,0.647
2794345.0,0.04797976243062723,treatment,5D,0.647
2024270.0,0.024828070507539872,treatment,5E,0.647
2218477.0,0.030666749380775633,treatment,5F,0.647
1597598.0,0.012000516443055845,treatment,5I,0.647
2198717.0,0.030072680709022616,treatment,6C,0.0
4623430.0,0.10296974706996789,treatment,6D,0.0
418953.0,-0.023434507323054354,treatment,6F,0.0
317026.0,-0.026498861447840284,treatment,6H,0.0
149075.0,-0.03154817457990462,treatment,6J,0.0
