auc,concentration_mg_ml,sample_type,sample_id,p_uva_mw_cm2
9370460.0,0.473,standard,,
9474935.0,0.378,standard,,
6747905.0,0.284,standard,,
4711905.0,0.189,standard,,
2416933.5,0.095,standard,,
1294752.0,0.047,standard,,
1238661.5,0.023,standard,,
3806995.0,0.15478941261829324,treatment,1D,3.185
4634295.0,0.19376522644393657,treatment,1F,3.185
2408552.5,0.08890589451619334,treatment,1G,3.185
2127808.5,0.0756794641080386,treatment,1I,3.185
8182620.0,0.36093415499812,treatment,1J,3.185
8080755.0,0.35613508419508705,treatment,2B,2.488
2916995.0,0.1128596721313809,treatment,2E,2.488
1916549.0,0.06572659218624662,treatment,2G,2.488
3878391.0,0.15815302582256693,treatment,2I,2.488
4542045.0,0.18941913817436618,treatment,2J,2.488
2264793.5,0.08213311073792588,treatment,3A,1.692
3104985.0,0.12171626978771197,treatment,3C,1.692
3742175.0,0.15173560837294306,treatment,3D,1.692
3862970.0,0.15742651062251223,treatment,3E,1.692
4060935.0,0.16675305115677247,treatment,3H,1.692
3184705.0,0.1254720438457082,treatment,4A,1.095
3018050.0,0.11762058215936394,treatment,4B,1.095
3193745.0,0.1258979369400921,treatment,4F,1.095
2720375.0,0.10359649732853066,treatment,4G,1.095
3397105.0,0.13547864708101176,treatment,4H,1.095
3821170.0,0.15545722618166624,treatment,5B,0.647
3367840.0,0.13409991241207975,treatment,5D,0.647
3330025.0,0.1323183695620656,treatment,5E,0.647
4821300.0,0.20257541871332427,treatment,5F,0.647
2365792.0,0.08689135893406905,treatment,5I,0.647
2401013.0,0.08855069307978763,treatment,6C,0.0
2804490.0,0.10755932892522349,treatment,6D,0.0
1908387.0,0.06534206348753406,treatment,6F,0.0
1599686.5,0.05079854455137667,treatment,6H,0.0
1122699.0,0.0283266770339597,treatment,6J,0.0
