auc,concentration_mg_ml,sample_type,sample_id,p_uva_mw_cm2
7831500.0,0.473,standard,,
10428655.0,0.378,standard,,
7809625.0,0.284,standard,,
5198824.0,0.189,standard,,
3137137.5,0.095,standard,,
1588693.5,0.047,standard,,
1047532.5,0.023,standard,,
3103540.0,0.11364548341925848,treatment,1D,3.185
3941545.0,0.1515859383278838,treatment,1F,3.185
2824383.5,0.10100674665670972,treatment,1G,3.185
1754360.5,0.05256173811536213,treatment,1I,3.185
5059690.0,0.20220965770164037,treatment,1J,3.185
5023785.0,0.2005840683155458,treatment,2B,2.488
2896915.0,0.10429059115072226,treatment,2E,2.488
2030017.5,0.06504203594025211,treatment,2G,2.488
2825178.5,0.10104274007160863,treatment,2I,2.488
3073510.0,0.11228588310553003,treatment,2J,2.488
2216073.5,0.07346567216972472,treatment,3A,1.692
3932280.0,0.15116646790142046,treatment,3C,1.692
4093940.0,0.15848558167822177,treatment,3D,1.692
2854270.0,0.1023598500458621,treatment,3E,1.692
2636417.5,0.0924966356820083,treatment,3H,1.692
2609930.0,0.09129742111957466,treatment,4A,1.095
3031085.0,0.1103651024425287,treatment,4B,1.095
3450800.0,0.1293675881460432,treatment,4F,1.095
3223935.0,0.11909633522649585,treatment,4G,1.095
2519395.0,0.08719847292099303,treatment,4H,1.095
2884810.0,0.10374254047480871,treatment,5B,0.647
2947865.0,0.10659733893575271,treatment,5D,0.647
2702455.0,0.09548646604224284,treatment,5E,0.647
3576105.0,0.13504073890567506,treatment,5F,0.647
1937195.5,0.06083954442107452,treatment,5I,0.647
2582455.0,0.09005349775561564,treatment,6C,0.0
3428000.0,0.12833532417158403,treatment,6D,0.0
892391.5,0.013536319439897353,treatment,6F,0.0
761471.5,0.007608951039187059,treatment,6H,0.0
511780.0,-0.003695765635316102,treatment,6J,0.0
