sample_id,p_uva_mw_cm2,p_uvb_mw_cm2,uva_uvb_ratio,dry_biomass_g,auc_total_320_480,predicted_total_mg_ml,auc_oxidized_320_480,predicted_oxidized_mg_ml,auc_reduced_320_480,predicted_reduced_mg_ml,predicted_total_mg_per_gDW,predicted_oxidized_mg_per_gDW,predicted_reduced_mg_per_gDW,predicted_total_mg_ml_delta,predicted_oxidized_mg_ml_delta,predicted_reduced_mg_ml_delta,predicted_total_mg_per_gDW_delta,predicted_oxidized_mg_per_gDW_delta,predicted_reduced_mg_per_gDW_delta
1D,3.185,0.707,4.504950495049505,0.06,3042167.0,0.1136753245322129,2799392.0,0.0499708839627223,3745622.0,0.1547867546086958,1.8945887422035488,0.8328480660453716,2.579779243478263,0.10007900949277321,0.0734137248141607,0.08945145361817079,1.7180132222108255,1.1373005446354807,1.4756245762355262
1F,3.185,0.707,4.504950495049505,0.094,3880172.0,0.1516043511670099,4371307.0,0.0972309249655724,4572922.0,0.1937643569248731,1.6128122464575525,1.0343715421869404,2.0613229460092883,0.1380080361275702,0.1206737658170108,0.1284290559343481,1.4362367264648292,1.3388240207770494,0.9571682787665514
1G,3.185,0.707,4.504950495049505,0.081,2763010.5,0.101040394759984,4116574.0,0.0895723098211282,2347179.5,0.0889002132971513,1.2474122809874568,1.105830985446027,1.097533497495695,0.0874440797205443,0.1130151506725666,0.0235649123066263,1.0708367609947336,1.4102834640361361,-0.006621169747041966
1I,3.185,0.707,4.504950495049505,0.074,1692987.5,0.0526099786325797,2002129.0,0.0260009606080528,2066435.5,0.0756731759652851,0.710945657197023,0.351364332541254,1.022610486017366,0.03901366359314,0.0494438014594912,0.010337874974760103,0.5343701372042997,0.6558168111313631,-0.08154418122537099
1J,3.185,0.707,4.504950495049505,0.08,4998317.0,0.2022128218641598,2278817.0,0.0343196586451582,8121247.0,0.3609409563912697,2.5276602733019975,0.4289957330644775,4.511761954890871,0.1886165068247201,0.0577624994965966,0.29560565540074474,2.3510847533092742,0.7334482116545866,3.4076072876481343
2B,2.488,0.768,3.239583333333333,0.08,4962412.0,0.2005877221316732,2538857.0,0.0421378301508574,8019382.0,0.3561416653723679,2.507346526645915,0.5267228768857175,4.451770817154599,0.1869914070922335,0.0655806710022958,0.29080636438184293,2.3307710066531917,0.8311753554758265,3.347616149911862
2E,2.488,0.768,3.239583333333333,0.073,2835542.0,0.1043232501073408,3294387.0,0.0648530398020684,2855622.0,0.1128550900838586,1.429085617908778,0.8883978055077864,1.5459601381350494,0.0907269350679011,0.0882958806535068,0.04751978909333361,1.2525100979160548,1.1928502840978954,0.4418054708923125
2G,2.488,0.768,3.239583333333333,0.081,1968644.5,0.0650865171915003,2410886.0,0.0382903481259542,1855176.0,0.0657198473341786,0.8035372492777815,0.4727203472340024,0.8113561399281308,0.0514902021520606,0.0617331889773926,0.00038454634365360507,0.6269617292850582,0.7771728258241115,-0.2927985273146061
2I,2.488,0.768,3.239583333333333,0.087,2763805.5,0.1010763773330887,1436237.5,0.0089872827099702,3817018.0,0.1581505221597242,1.1617974406102152,0.1033021001146,1.8178220937899336,0.087480062293649,0.0324301235614086,0.0928152211691992,0.9852219206174919,0.4077545787047091,0.7136674265471967
2J,2.488,0.768,3.239583333333333,0.065,3012137.0,0.1123161337519157,1291396.0,0.0046325846322025,4480672.0,0.1894180692255291,1.7279405192602415,0.0712705328031153,2.9141241419312167,0.098719818712476,0.0280754254836409,0.1240827682350041,1.5513649992675183,0.3757230113932244,1.8099694746884798
3A,1.692,0.584,2.897260273972603,0.043,2154700.5,0.0735076160865711,2475510.5,0.0402333008427287,2203420.5,0.0821271187348748,1.7094794438737466,0.9356581591332256,1.9099329938342977,0.059911301047131396,0.0636761416941671,0.016791817744349805,1.5329039238810234,1.2401106377233346,0.8057783265915608
3C,1.692,0.584,2.897260273972603,0.074,3870907.0,0.15118500709177,5244612.0,0.1234870711999388,3043612.0,0.1217120941445599,2.0430406363752702,1.6687442054045785,1.6447580289805392,0.1375886920523303,0.1469299120513772,0.056376793154034904,1.866465116382547,1.9731966839946875,0.5406033617378023
3D,1.692,0.584,2.897260273972603,0.069,4032567.0,0.1585019162340559,4923252.0,0.1138252976455952,3680802.0,0.1517328102328532,2.297129220783418,1.6496419948636982,2.1990262352587417,0.1449056011946162,0.1372681384970336,0.08639750924232821,2.120553700790695,1.9540944734538073,1.0948715680160048
