form,p_uva_mw_cm2,p_uvb_mw_cm2,pct_conc_mg_ml_median,pct_conc_mg_ml_mean,pct_conc_mg_ml_std,pct_conc_mg_ml_count,pct_amount_mg_per_gDW_median,pct_amount_mg_per_gDW_mean,pct_amount_mg_per_gDW_std,pct_amount_mg_per_gDW_count
oxidized,0.0,0.0,,,,0,,,,0
oxidized,0.647,0.246,,,,0,,,,0
oxidized,1.095,0.338,,,,0,,,,0
oxidized,1.692,0.584,,,,0,,,,0
oxidized,2.488,0.768,,,,0,,,,0
oxidized,3.185,0.707,,,,0,,,,0
reduced,0.0,0.0,0.0,16.07101918897035,57.30200781786527,5,0.0,-8.523466077824523,40.25420556086124,5
reduced,0.647,0.246,129.8350805365908,142.16517347114532,77.68623148564292,5,56.16440891299883,86.08669980460908,58.57214770650593,5
reduced,1.095,0.338,95.21904292906336,98.2616629493216,34.92742308278276,5,45.912071562860426,49.715000257171525,27.492280972981888,5
reduced,1.692,0.584,167.14458504729774,142.08536704438438,66.93255385640983,5,95.06468432432217,109.0139722179459,70.18829413434923,5
reduced,2.488,0.768,238.32194191464876,244.4470851685456,197.47886168252407,5,106.3660754387402,140.23020563039194,140.37795057933903,5
reduced,3.185,0.707,204.95287972525978,173.64880882830857,149.1068345861555,5,72.1600095152851,90.45971338104064,107.21253992351802,5
total,0.0,0.0,0.0,167.68813352073167,306.33179403971246,5,0.0,128.09581943672174,251.90588978056067,5
total,0.647,0.246,426.1057237218725,419.2353020436634,147.43476623172506,5,362.3853911359057,348.94319442298104,121.21593742533905,5
total,1.095,0.338,561.8857277686417,473.26814431653,151.48401626500015,5,419.83522715077936,388.23535908449475,138.69071423549678,5
total,1.692,0.584,405.5564940974324,543.9419853720558,231.77884530177423,5,525.809386479832,512.2185747440528,167.8656818474523,5
total,2.488,0.768,511.40441272898096,585.5522367549781,244.51006648656568,5,400.547963814494,437.00237359901564,194.86016406308195,5
total,3.185,0.707,541.8793079833388,547.1368089966859,207.78474927931865,5,430.6136829505304,399.50560361339376,152.5439783789731,5
