sample_id,p_uva_mw_cm2,p_uvb_mw_cm2,uva_uvb_ratio,dry_biomass_g,auc_total_320_480,predicted_total_mg_ml,auc_oxidized_320_480,predicted_oxidized_mg_ml,auc_reduced_320_480,predicted_reduced_mg_ml,predicted_total_mg_per_gDW,predicted_oxidized_mg_per_gDW,predicted_reduced_mg_per_gDW,predicted_total_mg_ml_pct,predicted_oxidized_mg_ml_pct,predicted_reduced_mg_ml_pct,predicted_total_mg_per_gDW_pct,predicted_oxidized_mg_per_gDW_pct,predicted_reduced_mg_per_gDW_pct
1D,3.185,0.707,4.504950495049505,0.06,3042167.0,0.1136753245322129,2799392.0,0.0499708839627223,3745622.0,0.1547867546086958,1.8945887422035488,0.8328480660453716,2.579779243478263,736.0745113839127,-313.16053066860366,136.9113668446146,972.9622896093553,-373.55601435804135,133.64292340677355
1F,3.185,0.707,4.504950495049505,0.094,3880172.0,0.1516043511670099,4371307.0,0.0972309249655724,4572922.0,0.1937643569248731,1.6128122464575525,1.0343715421869404,2.0613229460092883,1015.0399996413844,-514.7574331188898,196.56916550055087,813.383829493475,-439.7481101080267,86.68788052644511
1G,3.185,0.707,4.504950495049505,0.081,2763010.5,0.101040394759984,4116574.0,0.0895723098211282,2347179.5,0.0889002132971513,1.2474122809874568,1.105830985446027,1.097533497495695,643.1454365899118,-482.08811973243525,36.06765706955833,606.446896511398,-463.21957060984585,-0.5996596259087651
1I,3.185,0.707,4.504950495049505,0.074,1692987.5,0.0526099786325797,2002129.0,0.0260009606080528,2066435.5,0.0756731759652851,0.710945657197023,0.351364332541254,1.022610486017366,286.9429215193277,-210.91215767246672,15.822801484084867,302.62979671605734,-215.40859649702617,-7.385213652087416
1J,3.185,0.707,4.504950495049505,0.08,4998317.0,0.2022128218641598,2278817.0,0.0343196586451582,8121247.0,0.3609409563912697,2.5276602733019975,0.4289957330644775,4.511761954890871,1387.2619623595667,-246.39718310015496,452.44400946987884,1331.4896387710837,-240.90728873389918,308.61684406565183
2B,2.488,0.768,3.239583333333333,0.08,4962412.0,0.2005877221316732,2538857.0,0.0421378301508574,8019382.0,0.3561416653723679,2.507346526645915,0.5267228768857175,4.451770817154599,1375.3094610548194,-279.74711519773814,445.0983770994122,1319.9853562652643,-273.0065983778229,303.18362537663603
2E,2.488,0.768,3.239583333333333,0.073,2835542.0,0.1043232501073408,3294387.0,0.0648530398020684,2855622.0,0.1128550900838586,1.429085617908778,0.8883978055077864,1.5459601381350494,667.2906210596303,-376.64326270461015,72.73218057145706,709.3339427615283,-391.8017976473285,40.01300578618902
2G,2.488,0.768,3.239583333333333,0.081,1968644.5,0.0650865171915003,2410886.0,0.0382903481259542,1855176.0,0.0657198473341786,0.8035372492777815,0.4727203472340024,0.8113561399281308,378.7070393904501,-263.33493183956324,0.5885736161365086,355.06718559339106,-255.2690092795848,-26.51789065437491
2I,2.488,0.768,3.239583333333333,0.087,2763805.5,0.1010763773330887,1436237.5,0.0089872827099702,3817018.0,0.1581505221597242,1.1617974406102152,0.1033021001146,1.8178220937899336,643.4100860408869,-138.33700346696148,142.05983558973637,557.9606508637737,-133.93045134432222,64.63473349520375
2J,2.488,0.768,3.239583333333333,0.065,3012137.0,0.1123161337519157,1291396.0,0.0046325846322025,4480672.0,0.1894180692255291,1.7279405192602415,0.0712705328031153,2.9141241419312167,726.0777528772546,-119.76119132301433,189.9168846761703,878.5844149469021,-123.40941125957076,163.92354516856622
