form,p_uva_mw_cm2,p_uvb_mw_cm2,ratio_conc_mg_ml_median,ratio_conc_mg_ml_mean,ratio_conc_mg_ml_std,ratio_conc_mg_ml_count,ratio_amount_mg_per_gDW_median,ratio_amount_mg_per_gDW_mean,ratio_amount_mg_per_gDW_std,ratio_amount_mg_per_gDW_count
oxidized,0.0,0.0,,,,0,,,,0
oxidized,0.647,0.246,,,,0,,,,0
oxidized,1.095,0.338,,,,0,,,,0
oxidized,1.692,0.584,,,,0,,,,0
oxidized,2.488,0.768,,,,0,,,,0
oxidized,3.185,0.707,,,,0,,,,0
reduced,0.0,0.0,1.0,1.1607101918897036,0.5730200781786527,5,1.0,0.9147653392217547,0.4025420556086124,5
reduced,0.647,0.246,2.298350805365908,2.4216517347114532,0.7768623148564293,5,1.5616440891299883,1.860866998046091,0.5857214770650592,5
reduced,1.095,0.338,1.9521904292906336,1.9826166294932157,0.34927423082782766,5,1.4591207156286043,1.4971500025717153,0.2749228097298189,5
reduced,1.692,0.584,2.6714458504729772,2.420853670443844,0.6693255385640984,5,1.9506468432432218,2.090139722179459,0.7018829413434923,5
reduced,2.488,0.768,3.383219419146488,3.4444708516854563,1.9747886168252407,5,2.063660754387402,2.4023020563039195,1.4037795057933904,5
reduced,3.185,0.707,3.049528797252598,2.736488088283086,1.491068345861555,5,1.721600095152851,1.9045971338104066,1.0721253992351802,5
total,0.0,0.0,1.0,2.676881335207317,3.0633179403971256,5,1.0,2.280958194367218,2.519058897805607,5
total,0.647,0.246,5.261057237218725,5.192353020436634,1.4743476623172511,5,4.623853911359057,4.48943194422981,1.2121593742533905,5
total,1.095,0.338,6.618857277686417,5.7326814431653,1.5148401626500012,5,5.198352271507794,4.882353590844947,1.3869071423549677,5
total,1.692,0.584,5.055564940974325,6.4394198537205565,2.317788453017742,5,6.258093864798321,6.122185747440527,1.6786568184745234,5
total,2.488,0.768,6.11404412728981,6.855522367549781,2.4451006648656564,5,5.00547963814494,5.3700237359901575,1.9486016406308195,5
total,3.185,0.707,6.418793079833389,6.471368089966859,2.0778474927931856,5,5.306136829505304,4.995056036133938,1.5254397837897309,5
