dataset,variant,measurement,term,F_obs,p_perm,n_permutations
chromatogram,raw,conc_mg_ml,C(p_uva_mw_cm2),2.3342599380310127,0.12743628185907047,2000
chromatogram,raw,conc_mg_ml,C(p_uvb_mw_cm2),2.3014379574010007,0.1329335332333833,2000
chromatogram,raw,conc_mg_ml,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),1.9203362809332787,0.09895052473763119,2000
chromatogram,raw,conc_mg_ml,Residual,,0.0004997501249375312,2000
chromatogram,raw,amount_mg_per_gDW,C(p_uva_mw_cm2),1.1072865338630289,0.30334832583708143,2000
chromatogram,raw,amount_mg_per_gDW,C(p_uvb_mw_cm2),1.1008905415731693,0.30484757621189407,2000
chromatogram,raw,amount_mg_per_gDW,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),1.8469975892200168,0.11944027986006997,2000
chromatogram,raw,amount_mg_per_gDW,Residual,,0.0004997501249375312,2000
chromatogram,delta,delta_conc_mg_ml,C(p_uva_mw_cm2),3.5819906783898006,0.05647176411794103,2000
chromatogram,delta,delta_conc_mg_ml,C(p_uvb_mw_cm2),3.487188260063574,0.05647176411794103,2000
chromatogram,delta,delta_conc_mg_ml,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),3.0873548525241916,0.01199400299850075,2000
chromatogram,delta,delta_conc_mg_ml,Residual,,0.0004997501249375312,2000
chromatogram,delta,delta_amount_mg_per_gDW,C(p_uva_mw_cm2),2.622317552703003,0.10744627686156921,2000
chromatogram,delta,delta_amount_mg_per_gDW,C(p_uvb_mw_cm2),2.6320963907957227,0.10594702648675662,2000
chromatogram,delta,delta_amount_mg_per_gDW,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),3.3342860496214564,0.009495252373813094,2000
chromatogram,delta,delta_amount_mg_per_gDW,Residual,,0.0004997501249375312,2000
chromatogram,zscore,z_conc_mg_ml,C(p_uva_mw_cm2),4.945813836561668,0.028985507246376812,2000
chromatogram,zscore,z_conc_mg_ml,C(p_uvb_mw_cm2),3.470415499665152,0.06346826586706647,2000
chromatogram,zscore,z_conc_mg_ml,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),2.549853255415961,0.031484257871064465,2000
chromatogram,zscore,z_conc_mg_ml,Residual,,0.0004997501249375312,2000
chromatogram,zscore,z_amount_mg_per_gDW,C(p_uva_mw_cm2),1.8401806223665755,0.17341329335332334,2000
chromatogram,zscore,z_amount_mg_per_gDW,C(p_uvb_mw_cm2),1.860391835084332,0.16991504247876063,2000
chromatogram,zscore,z_amount_mg_per_gDW,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),2.4569918261241215,0.0384807596201899,2000
chromatogram,zscore,z_amount_mg_per_gDW,Residual,,0.0004997501249375312,2000
