dataset,variant,measurement,term,sum_sq,df,F,PR(>F)
chromatogram,raw,conc_mg_ml,C(p_uva_mw_cm2),764.9089365094502,5.0,0.23707400743159104,0.6275955716390462
chromatogram,raw,conc_mg_ml,C(p_uvb_mw_cm2),1131.3399349756048,5.0,0.35064473605970037,0.5553389520759433
chromatogram,raw,conc_mg_ml,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),32665.16666666667,25.0,2.024832393886359,0.08335234981987868
chromatogram,raw,conc_mg_ml,Residual,54204.46666666667,84.0,,
chromatogram,raw,amount_mg_per_gDW,C(p_uva_mw_cm2),148.07718746838293,5.0,0.0467164325452824,0.8294027548467537
chromatogram,raw,amount_mg_per_gDW,C(p_uvb_mw_cm2),147.9790158435413,5.0,0.04668546067062579,0.8294584302478393
chromatogram,raw,amount_mg_per_gDW,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),37432.49999999998,25.0,2.3618936733582454,0.04675904520384861
chromatogram,raw,amount_mg_per_gDW,Residual,53251.0,84.0,,
chromatogram,delta,delta_conc_mg_ml,C(p_uva_mw_cm2),1942.5289194990446,5.0,0.6504296905867869,0.4222365934376662
chromatogram,delta,delta_conc_mg_ml,C(p_uvb_mw_cm2),2835.647944202281,5.0,0.9494785876527359,0.33264981606421207
chromatogram,delta,delta_conc_mg_ml,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),52793.833333333336,25.0,3.535461051333633,0.005980159713841665
chromatogram,delta,delta_conc_mg_ml,Residual,50173.73333333332,84.0,,
chromatogram,delta,delta_amount_mg_per_gDW,C(p_uva_mw_cm2),1462.5658433156027,5.0,0.4995751904623887,0.48164295250069544
chromatogram,delta,delta_amount_mg_per_gDW,C(p_uvb_mw_cm2),780.7928604126627,5.0,0.26669892759703834,0.6069117164906653
chromatogram,delta,delta_amount_mg_per_gDW,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),57742.49999999996,25.0,3.9446730644111887,0.0029150600488062183
chromatogram,delta,delta_amount_mg_per_gDW,Residual,49184.0,84.0,,
chromatogram,zscore,z_conc_mg_ml,C(p_uva_mw_cm2),3028.757126416015,5.0,0.9977395315105778,0.3207268643152137
chromatogram,zscore,z_conc_mg_ml,C(p_uvb_mw_cm2),1144.4978332568357,5.0,0.3770228791239498,0.5408602737561857
chromatogram,zscore,z_conc_mg_ml,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),48710.49999999995,25.0,3.209263035703078,0.010616569765535254
chromatogram,zscore,z_conc_mg_ml,Residual,50998.4,84.0,,
chromatogram,zscore,z_amount_mg_per_gDW,C(p_uva_mw_cm2),334.8462299531596,5.0,0.11395756966352928,0.7365248450610185
chromatogram,zscore,z_amount_mg_per_gDW,C(p_uvb_mw_cm2),321.08706785068813,5.0,0.10927494064296804,0.7417942303338947
chromatogram,zscore,z_amount_mg_per_gDW,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),56881.8333333333,25.0,3.871696859528238,0.0033128813678444244
chromatogram,zscore,z_amount_mg_per_gDW,Residual,49364.13333333334,84.0,,
