dataset,measurement,term,sum_sq,df,F,PR(>F),eta_squared
dad,predicted_total_mg_ml_pct,C(p_uva_mw_cm2),349080.2134484145,5.0,0.6712360741861154,0.42068278456672437,0.04175658176580694
dad,predicted_total_mg_ml_pct,C(p_uvb_mw_cm2),200890.87754178853,5.0,0.38628715918578016,0.5401168141323421,0.02403034039429456
dad,predicted_total_mg_ml_pct,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),5313645.875589303,25.0,2.043490670474727,0.10840696319247575,0.6356123318670306
dad,predicted_total_mg_ml_pct,Residual,2496267.8392755687,24.0,,,0.29860074597286784
dad,predicted_total_mg_per_gDW_pct,C(p_uva_mw_cm2),31925.613241477757,5.0,0.06345885422788296,0.8032550147335378,0.0035898731865330485
dad,predicted_total_mg_per_gDW_pct,C(p_uvb_mw_cm2),121085.10753958131,5.0,0.24068205457487876,0.6281695496250039,0.013615405835966125
dad,predicted_total_mg_per_gDW_pct,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),6325392.471455623,25.0,2.5146089175743636,0.05754230024014814,0.7112582820515773
dad,predicted_total_mg_per_gDW_pct,Residual,2414839.4329464645,24.0,,,0.27153643892592366
dad,predicted_oxidized_mg_ml_pct,C(p_uva_mw_cm2),32182.558112441144,5.0,0.2209607637612475,0.6425522514500119,0.018338326014349107
dad,predicted_oxidized_mg_ml_pct,C(p_uvb_mw_cm2),44291.743816636976,5.0,0.30410067179396333,0.5864211943123981,0.02523840507071206
dad,predicted_oxidized_mg_ml_pct,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),979348.2333925334,25.0,1.3448125092019183,0.2797194242813805,0.5580540590583539
dad,predicted_oxidized_mg_ml_pct,Residual,699111.807500051,24.0,,,0.3983692098565851
dad,predicted_oxidized_mg_per_gDW_pct,C(p_uva_mw_cm2),154036.66820704064,5.0,0.9298808098009086,0.34451052126821424,0.06453394319813983
dad,predicted_oxidized_mg_per_gDW_pct,C(p_uvb_mw_cm2),155992.52464464566,5.0,0.9416878255538718,0.34152309950938264,0.06535335282129831
dad,predicted_oxidized_mg_per_gDW_pct,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),1281750.2220094043,25.0,1.5475210523283986,0.21283286705880836,0.5369915941714536
dad,predicted_oxidized_mg_per_gDW_pct,Residual,795129.869979894,24.0,,,0.3331211098091084
dad,predicted_reduced_mg_ml_pct,C(p_uva_mw_cm2),67364.04688625247,5.0,1.1702773529091115,0.290094594491089,0.07284723048737443
dad,predicted_reduced_mg_ml_pct,C(p_uvb_mw_cm2),112710.51689682224,5.0,1.9580558392187275,0.17451384499264405,0.12188473499221339
dad,predicted_reduced_mg_ml_pct,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),468355.99021874095,25.0,1.627296558883461,0.1909834725033146,0.5064784309532023
dad,predicted_reduced_mg_ml_pct,Residual,276299.8226447986,24.0,,,0.29878960356720996
dad,predicted_reduced_mg_per_gDW_pct,C(p_uva_mw_cm2),27942.235632907305,5.0,0.8277763519081017,0.37196349029484177,0.059961165683672456
dad,predicted_reduced_mg_per_gDW_pct,C(p_uvb_mw_cm2),27119.49035939453,5.0,0.8034028876654634,0.37898084830758527,0.05819563889087499
dad,predicted_reduced_mg_per_gDW_pct,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),248916.07858976617,25.0,1.4748057111339192,0.2348475203946659,0.5341483203324512
dad,predicted_reduced_mg_per_gDW_pct,Residual,162027.73941148433,24.0,,,0.3476948750930014
