dataset,measurement,term,sum_sq,df,F,PR(>F),eta_squared
dad,predicted_total_mg_ml_ratio,C(p_uva_mw_cm2),6.742742223703051,5.0,0.1296542068304946,0.7219402684673464,0.00841351047381062
dad,predicted_total_mg_ml_ratio,C(p_uvb_mw_cm2),13.684300718804918,5.0,0.26313139326157275,0.6126664977054186,0.017075101435689972
dad,predicted_total_mg_ml_ratio,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),531.3645875589303,25.0,2.0434906704747275,0.10840696319247575,0.6630301699986814
dad,predicted_total_mg_ml_ratio,Residual,249.62678392755686,24.0,,,0.311481218091818
dad,predicted_total_mg_per_gDW_ratio,C(p_uva_mw_cm2),2.115595780639072,5.0,0.04205190460500764,0.8392501576348481,0.002391008520858762
dad,predicted_total_mg_per_gDW_ratio,C(p_uvb_mw_cm2),8.674363620721236,5.0,0.17242117555061892,0.6816577775859881,0.00980361065189236
dad,predicted_total_mg_per_gDW_ratio,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),632.5392471455622,25.0,2.514608917574363,0.05754230024014825,0.7148845462556949
dad,predicted_total_mg_per_gDW_ratio,Residual,241.48394329464642,24.0,,,0.27292083457155397
dad,predicted_oxidized_mg_ml_ratio,C(p_uva_mw_cm2),13.420813933468501,5.0,0.9214535670768813,0.3466653032297192,0.07052560695886892
dad,predicted_oxidized_mg_ml_ratio,C(p_uvb_mw_cm2),9.030217510701691,5.0,0.6200016018376996,0.43875417694580976,0.04745327474696994
dad,predicted_oxidized_mg_ml_ratio,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),97.93482333925333,25.0,1.3448125092019176,0.27971942428137997,0.5146418758691044
dad,predicted_oxidized_mg_ml_ratio,Residual,69.91118075000512,24.0,,,0.3673792424250567
dad,predicted_oxidized_mg_per_gDW_ratio,C(p_uva_mw_cm2),14.4351317598797,5.0,0.8714127724716794,0.35986181379052706,0.06152417864212224
dad,predicted_oxidized_mg_per_gDW_ratio,C(p_uvb_mw_cm2),12.502205993758361,5.0,0.7547268821828762,0.39358873025705066,0.05328582847566686
dad,predicted_oxidized_mg_per_gDW_ratio,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),128.17502220094042,25.0,1.5475210523283975,0.21283286705880836,0.5462965696832934
dad,predicted_oxidized_mg_per_gDW_ratio,Residual,79.51298699798943,24.0,,,0.3388934231989174
dad,predicted_reduced_mg_ml_ratio,C(p_uva_mw_cm2),16.074791225966248,5.0,2.7925822443914816,0.10769232538536012,0.1733634993510678
dad,predicted_reduced_mg_ml_ratio,C(p_uvb_mw_cm2),2.1826706088513226,5.0,0.37918297674606116,0.5438370363416813,0.023539678330002436
dad,predicted_reduced_mg_ml_ratio,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),46.83559902187408,25.0,1.6272965588834605,0.1909834725033146,0.5051128332864226
dad,predicted_reduced_mg_ml_ratio,Residual,27.629982264479857,24.0,,,0.2979839890325071
dad,predicted_reduced_mg_per_gDW_ratio,C(p_uva_mw_cm2),3.60460385791394,5.0,1.0678479241166625,0.31173332219965766,0.07516080084581206
dad,predicted_reduced_mg_per_gDW_ratio,C(p_uvb_mw_cm2),3.2595754183466923,5.0,0.9656347774086858,0.33557443434664924,0.0679664974342125
dad,predicted_reduced_mg_per_gDW_ratio,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),24.89160785897664,25.0,1.4748057111339203,0.23484752039466536,0.5190232421554659
dad,predicted_reduced_mg_per_gDW_ratio,Residual,16.202773941148436,24.0,,,0.33784945956450957
