form,p_uva_mw_cm2,p_uvb_mw_cm2,z_conc_mg_ml_median,z_conc_mg_ml_mean,z_conc_mg_ml_std,z_conc_mg_ml_count,z_amount_mg_per_gDW_median,z_amount_mg_per_gDW_mean,z_amount_mg_per_gDW_std,z_amount_mg_per_gDW_count
oxidized,0.0,0.0,-0.5944506203336165,2.2204460492503132e-17,0.9999999999999999,5,-0.5892975751273262,0.0,1.0,5
oxidized,0.647,0.246,-0.04280171329809616,0.09593015908055066,0.3099520133685243,5,-0.013080605385722512,0.11867493165053897,0.2945771378987547,5
oxidized,1.095,0.338,1.1159872471570662,0.6744075856832066,0.9635016794410011,5,1.121825110072862,0.6971865834345914,1.0031120987433284,5
oxidized,1.692,0.584,0.3882134904166305,0.6864393292422224,1.239602277337786,5,1.033890465204873,0.8130408479114453,1.2215587273457145,5
oxidized,2.488,0.768,-0.04977132084752388,0.13048473966772267,0.5814086771280672,5,-0.10570115408148728,0.0791323294541533,0.5651834223634881,5
oxidized,3.185,0.707,0.14134265458683568,0.46942775943998305,0.7230689384802503,5,0.2817397361048099,0.3582809437510043,0.5679976574333246,5
reduced,0.0,0.0,-0.2804617115695524,-2.6645352591003756e-16,1.0,5,0.2117410084006677,0.0,1.0,5
reduced,0.647,0.246,1.9853416255364051,2.200518953593492,1.355733148698193,5,1.606984266352501,2.350317552271411,1.4550566056495482,5
reduced,1.095,0.338,1.381243463434395,1.434341428691201,0.609532273176182,5,1.3522944219674795,1.4467672513607055,0.6829666761505376,5
reduced,1.692,0.584,2.636444543767393,2.1991262200785586,1.1680664675687336,5,2.573349764548935,2.919879715873735,1.743626365404975,5
reduced,2.488,0.768,3.8785887473978953,3.9854810446689717,3.446281713377508,5,2.854100333513243,3.695357283434955,3.4872865735009584,5
reduced,3.185,0.707,3.2962520464667038,2.749952325234398,2.6021223385416503,5,2.0043489734537787,2.458952501477399,2.6633873015186196,5
total,0.0,0.0,-0.547406886204547,8.881784197001253e-17,1.0,5,-0.5085066472574663,-4.4408920985006264e-17,1.0,5
total,0.647,0.246,0.8435872319790607,0.8211591921481107,0.4812911003701164,5,0.9300678594822749,0.8767058808297138,0.48119532866393966,5
total,1.095,0.338,1.2868321275094505,0.9975458530307936,0.4945096108612282,5,1.15812856923749,1.0326854202352505,0.5505655876339871,5
total,1.692,0.584,0.7765056230038719,1.2282559602760232,0.7566268007810075,5,1.578818055383957,1.5248661142538054,0.666382520844125,5
total,2.488,0.768,1.1220391937628593,1.3640898899971023,0.7981870352473687,5,1.081563216386523,1.226277616737693,0.7735435016339944,5
total,3.185,0.707,1.2215224855637983,1.238685251935563,0.678299651953142,5,1.200916198415753,1.0774253210716964,0.6055593956610407,5
