sample_id,p_uva_mw_cm2,p_uvb_mw_cm2,uva_uvb_ratio,dry_biomass_g,auc_total_320_480,predicted_total_mg_ml,auc_oxidized_320_480,predicted_oxidized_mg_ml,auc_reduced_320_480,predicted_reduced_mg_ml,predicted_total_mg_per_gDW,predicted_oxidized_mg_per_gDW,predicted_reduced_mg_per_gDW,predicted_total_mg_ml_zscore,predicted_oxidized_mg_ml_zscore,predicted_reduced_mg_ml_zscore,predicted_total_mg_per_gDW_zscore,predicted_oxidized_mg_per_gDW_zscore,predicted_reduced_mg_per_gDW_zscore
1D,3.185,0.707,4.504950495049505,0.06,3042167.0,0.1136753245322129,2799392.0,0.0499708839627223,3745622.0,0.1547867546086958,1.8945887422035488,0.8328480660453716,2.579779243478263,1.1354844538066275,0.6898926070776015,2.7886410059362343,1.5237358065897846,0.8631900208310598,3.7514206769337655
1F,3.185,0.707,4.504950495049505,0.094,3880172.0,0.1516043511670099,4371307.0,0.0972309249655724,4572922.0,0.1937643569248731,1.6128122464575525,1.0343715421869404,2.0613229460092883,1.7835321481056534,1.511868012568644,4.0426458270585295,1.1749752806551035,1.1026050685958015,2.5103835318318692
1G,3.185,0.707,4.504950495049505,0.081,2763010.5,0.101040394759984,4116574.0,0.0895723098211282,2347179.5,0.0889002132971513,1.2474122809874568,1.105830985446027,1.097533497495695,0.9196065936821824,1.3786647153375915,0.6689097874395423,0.722712277680074,1.1875007162328914,0.203345288682325
1I,3.185,0.707,4.504950495049505,0.074,1692987.5,0.0526099786325797,2002129.0,0.0260009606080528,2066435.5,0.0756731759652851,0.710945657197023,0.351364332541254,1.022610486017366,0.09213427788821053,0.2729931069723125,0.24336363791559917,0.058716576533262,0.2911750215768036,0.02400087581391679
1J,3.185,0.707,4.504950495049505,0.08,4998317.0,0.2022128218641598,2278817.0,0.0343196586451582,8121247.0,0.3609409563912697,2.5276602733019975,0.4289957330644775,4.511761954890871,2.648218264706371,0.4176769677373695,9.42112601188721,2.3073013753063374,0.38340311241846187,8.376038644277877
2B,2.488,0.768,3.239583333333333,0.08,4962412.0,0.2005877221316732,2538857.0,0.0421378301508574,8019382.0,0.3561416653723679,2.507346526645915,0.5267228768857175,4.451770817154599,2.6204521386524604,0.5536553663428226,9.266721078847654,2.2821586360273822,0.4995054606601998,8.232436896799646
2E,2.488,0.768,3.239583333333333,0.073,2835542.0,0.1043232501073408,3294387.0,0.0648530398020684,2855622.0,0.1128550900838586,1.429085617908778,0.8883978055077864,1.5459601381350494,0.9756967976058452,0.9487321218357389,1.4395967767583764,0.9475730786679036,0.929184533139741,1.2767513223316724
2G,2.488,0.768,3.239583333333333,0.081,1968644.5,0.0650865171915003,2410886.0,0.0382903481259542,1855176.0,0.0657198473341786,0.8035372492777815,0.4727203472340024,0.8113561399281308,0.3053058977083631,0.48673761658148457,-0.07685929392035346,0.17331908184770192,0.4353490732083491,-0.48168203678806815
2I,2.488,0.768,3.239583333333333,0.087,2763805.5,0.1010763773330887,1436237.5,0.0089872827099702,3817018.0,0.1581505221597242,1.1617974406102152,0.1033021001146,1.8178220937899336,0.9202213846642968,-0.02291913712258891,2.896861637156889,0.6167450404954059,-0.0035292598406871786,1.9275116409059605
2J,2.488,0.768,3.239583333333333,0.065,3012137.0,0.1123161337519157,1291396.0,0.0046325846322025,4480672.0,0.1894180692255291,1.7279405192602415,0.0712705328031153,2.9141241419312167,1.1122615944444518,-0.09865869727337893,3.902815119034197,1.3174718961599394,-0.04158358167300488,4.551747416682292
3A,1.692,0.584,2.897260273972603,0.043,2154700.5,0.0735076160865711,2475510.5,0.0402333008427287,2203420.5,0.0821271187348748,1.7094794438737466,0.9356581591332256,1.9099329938342977,0.4491870938951397,0.5205306331200087,0.451002765706531,1.2946222459644254,0.9853310429025268,2.1479989779908464
3C,1.692,0.584,2.897260273972603,0.074,3870907.0,0.15118500709177,5244612.0,0.1234870711999388,3043612.0,0.1217120941445599,2.0430406363752702,1.6687442054045785,1.6447580289805392,1.7763673198675392,1.9685308928721945,1.7245482651214616,1.7074777491185906,1.8562560296292638,1.513245416425134
3D,1.692,0.584,2.897260273972603,0.069,4032567.0,0.1585019162340559,4923252.0,0.1138252976455952,3680802.0,0.1517328102328532,2.297129220783418,1.6496419948636982,2.1990262352587417,1.9013825527842652,1.800487445033982,2.69038814421117,2.0219683814815754,1.833562114574701,2.8400061013629276
3E,1.692,0.584,2.897260273972603,0.08,2792897.0,0.102393090572683,1847385.0,0.0213485412438091,3801597.0,0.1574239736219293,1.2799136321585376,0.2668567655476137,1.9677996702741165,0.9427184813387803,0.19207539695153686,2.8734867932713275,0.7629398640797282,0.19077786896887902,2.2865153684291464
3H,1.692,0.584,2.897260273972603,0.052,2575044.5,0.0925328471672652,1207080.5,0.002097616782684,3999562.0,0.1667509421249174,1.7794778301397156,0.0403387842823846,3.206748887017642,0.7742483524943473,-0.14274840142511813,3.1735581874614343,1.3812606788261386,-0.07833129063141622,5.252207956945977
4A,1.095,0.338,3.2396449704142007,0.07,2548557.0,0.0913339938275009,1839178.0,0.0211017956141088,3123332.0,0.1254680405444701,1.30477134039287,0.3014542230586971,1.7924005792067157,0.753764986282039,0.18778384673866647,1.8453862493350135,0.7937067574445728,0.23188053403374628,1.8666597541865964
4B,1.095,0.338,3.2396449704142007,0.071,2969712.0,0.1103959316588718,3256272.0,0.0637071022273118,2956677.0,0.1176162185766198,1.5548722768855183,0.8972831299621381,1.6565664588256312,1.0794534090152053,0.9288012778777073,1.5927739279713764,1.1032617965084428,0.939740526016469,1.5415114441204887
4F,1.095,0.338,3.2396449704142007,0.08,3389427.0,0.1293926935087699,4277962.0,0.0944244828059066,3132372.0,0.1258939531818909,1.6174086688596236,1.1803060350738324,1.573674414773636,1.4040282480826525,1.4630566619386405,1.8590889008313807,1.1806643665744958,1.2759789814221876,1.3430914303138188
4G,1.095,0.338,3.2396449704142007,0.062,3162562.0,0.1191245344554191,4148967.0,0.0905462139496627,2659002.0,0.1035914902199559,1.9213634589583728,1.4604228056397208,1.6708304874186437,1.228588554802602,1.3956034488633045,1.1415641067123674,1.5568754205680284,1.608764874603314,1.5756554778782874
4H,1.095,0.338,3.2396449704142007,0.07,2458022.0,0.0872362802978903,1615597.5,0.01437978863699,3335732.0,0.1354751029546672,1.246232575684147,0.205425551957,1.9353586136381025,0.6837522799099265,0.07087060896983702,2.167337928298358,0.7212521323228787,0.1177960148562054,2.208860691442496
5B,0.647,0.246,2.6300813008130084,0.068,2823437.0,0.1037753645130852,1965050.0,0.0248861706478166,3759797.0,0.155454598816156,1.5261083016630177,0.3659730977620088,2.2860970414140587,0.9663357349158984,0.2536040012889884,2.8101271879009504,1.0676600366809859,0.3085306085787562,3.048428884961542
5D,0.647,0.246,2.6300813008130084,0.072,2886492.0,0.1066293030629233,2732972.0,0.047973949062674,3306467.0,0.1340963050194769,1.4809625425406014,0.6663048480926945,1.862448680826068,1.015097553000545,0.6551606995427048,2.1229786256389307,1.0117822082142442,0.6653324151344234,2.0343350172278187
5E,0.647,0.246,2.6300813008130084,0.079,2641082.0,0.0955217769426191,1962897.0,0.0248214401323121,3268652.0,0.1323146804194693,1.2091364169951784,0.3141954447128113,1.6748693723983457,0.8253166034144164,0.252478168754771,2.0656594036991986,0.6753374587789802,0.24701743147768476,1.5853234215585437
5F,0.647,0.246,2.6300813008130084,0.068,3514732.0,0.135064135424359,2157104.0,0.030660325048507,4759927.0,0.2025749534692183,1.986237285652338,0.4508871330662793,2.9790434333708573,1.5009293600499314,0.3540316099867707,4.3261042720893235,1.6371710813444262,0.40941065594349807,4.707145764631013
5I,0.647,0.246,2.6300813008130084,0.058,1875822.5,0.0608852915302034,1536225.0,0.0119934333922733,2304419.0,0.0868855852736521,1.049746405693162,0.2067833343495396,1.4980273323043465,0.2335246039449323,0.029365665717600065,0.6040942753476781,0.47805718519457197,0.11940909509175887,1.1620137971144793
6C,0.0,0.0,,0.074,2521082.0,0.0900904451532197,2137344.0,0.0300662354124795,2339640.0,0.0885449955615502,1.2174384480164826,0.4063004785470203,1.1965539940750027,0.732517964604525,0.3436988413494713,0.6574815638823678,0.6856130521979791,0.3564405691537112,0.44037223768704803
6D,0.0,0.0,,0.071,3366627.0,0.128360740468784,4562057.0,0.1029658742607275,2743117.0,0.107554503659851,1.807897753081465,1.450223581137007,1.5148521642232535,1.3863965067087733,1.6116137422025092,1.2690639441700016,1.416436598116165,1.5966479348391094,1.2022876668184328
6F,0.0,0.0,,0.077,831018.5,0.0135963150394397,357580.0,-0.0234428408514384,1847014.0,0.065335300990525,0.1765755199927233,-0.3044524785901091,0.8485104024743506,-0.5744453045811496,-0.586963589875092,-0.0892310905479369,-0.6026842603312775,-0.487952136053387,-0.3927452833069588
6H,0.0,0.0,,0.046,700098.5,0.0076707320572049,255653.0,-0.0265073031151724,1538313.5,0.0507911146931659,0.1667550447218456,-0.5762457198950521,1.104154667242737,-0.6756886195227423,-0.6402625832401811,-0.5571531445584116,-0.614839263222247,-0.8108494634270215,0.21919448877926417
