form,measurement,p_uva_mw_cm2,n,mean,median,std,iqr
total,conc_mg_ml,0.0,5,0.024891376730541058,0.0092986477970318,0.02848471461808172,0.0331758228085874
total,conc_mg_ml,0.647,5,0.04828186197489452,0.0489207182889221,0.01370943964226529,0.010996116014582905
total,conc_mg_ml,1.095,5,0.0533061856725741,0.0615464226440267,0.014085965141280729,0.024753879526598604
total,conc_mg_ml,1.692,5,0.0598778972369615,0.0470099178011421,0.02155229849263917,0.03584373292360089
total,conc_mg_ml,2.488,5,0.063747087960519,0.0568523429551786,0.02273612991087403,0.009171842341343904
total,conc_mg_ml,3.185,5,0.06017497263355222,0.0596860961313957,0.019321172011429407,0.0170241507609378
oxidized,conc_mg_ml,0.0,5,0.01789158968464592,0.0,0.03009768864334742,0.0200038242033785
oxidized,conc_mg_ml,0.647,5,0.02077886574415912,0.016603357044398,0.009328839192744501,0.007805617796750699
oxidized,conc_mg_ml,1.095,5,0.038189699217250725,0.0514802263795257,0.028999173555157586,0.0518129622632967
oxidized,conc_mg_ml,1.692,5,0.03855182688872658,0.0295759184463528,0.03730916338489708,0.0681639098686541
oxidized,conc_mg_ml,2.488,5,0.02181887875187328,0.016393587966409,0.01749905733874108,0.0187246503299704
oxidized,conc_mg_ml,3.185,5,0.032020280228814715,0.0221456768944247,0.021762703778054306,0.0325362880438813
reduced,conc_mg_ml,0.0,5,0.04785061532911525,0.0412252909153935,0.023622919423276482,0.028726189341928
reduced,conc_mg_ml,0.647,5,0.09983329725924697,0.0947501805768385,0.03202637493116232,0.022084414712405603
reduced,conc_mg_ml,1.095,5,0.08173394732455476,0.0804796183697533,0.014398931775127495,0.024798700319517003
reduced,conc_mg_ml,1.692,5,0.0998003968276456,0.1101311323504693,0.027593140044407386,0.038287877276070095
reduced,conc_mg_ml,2.488,5,0.14199931291032614,0.1394742047849226,0.08141123522502809,0.10593938975634438
reduced,conc_mg_ml,3.185,5,0.11281251752597925,0.1257177118216084,0.06146972633287718,0.07057142578489409
