form,measurement,p_uva_mw_cm2,n,mean,median,std,iqr
total,delta_conc_mg_ml,0.0,5,0.015592728933509242,0.0,0.028484714618081705,0.0331758228085873
total,delta_conc_mg_ml,0.647,5,0.03898321417786273,0.0396220704918903,0.013709439642265286,0.010996116014582905
total,delta_conc_mg_ml,1.095,5,0.04400753787554228,0.0522477748469949,0.014085965141280755,0.024753879526598604
total,delta_conc_mg_ml,1.692,5,0.050579249439929676,0.0377112700041103,0.021552298492639194,0.0358437329236009
total,delta_conc_mg_ml,2.488,5,0.0544484401634872,0.0475536951581468,0.022736129910874033,0.009171842341343904
total,delta_conc_mg_ml,3.185,5,0.0508763248365204,0.0503874483343639,0.019321172011429445,0.017024150760937794
total,delta_amount_mg_per_gDW,0.0,5,0.19930342602615753,0.0,0.3919386837931473,0.4242779611865301
total,delta_amount_mg_per_gDW,0.647,5,0.5429183750322673,0.5638329987099502,0.18859906376395538,0.20550131434157293
total,delta_amount_mg_per_gDW,1.095,5,0.6040527904055347,0.6532188131163402,0.21578795175906557,0.30168814911617114
total,delta_amount_mg_per_gDW,1.692,5,0.796957443807565,0.8181032966022019,0.2611810881224058,0.17497452352561527
total,delta_amount_mg_per_gDW,2.488,5,0.6799290610953264,0.6232098894957743,0.30318162188717,0.3584384044430243
total,delta_amount_mg_per_gDW,3.185,5,0.6215880882524072,0.6699889401790978,0.23734215249396196,0.22184356503855496
oxidized,delta_conc_mg_ml,0.0,5,0.01789158968464592,0.0,0.03009768864334742,0.0200038242033785
oxidized,delta_conc_mg_ml,0.647,5,0.02077886574415912,0.016603357044398,0.009328839192744501,0.007805617796750699
oxidized,delta_conc_mg_ml,1.095,5,0.038189699217250725,0.0514802263795257,0.028999173555157586,0.0518129622632967
oxidized,delta_conc_mg_ml,1.692,5,0.03855182688872658,0.0295759184463528,0.03730916338489708,0.0681639098686541
oxidized,delta_conc_mg_ml,2.488,5,0.02181887875187328,0.016393587966409,0.01749905733874108,0.0187246503299704
oxidized,delta_conc_mg_ml,3.185,5,0.032020280228814715,0.0221456768944247,0.021762703778054306,0.0325362880438813
oxidized,delta_amount_mg_per_gDW,0.0,5,0.2497098100764698,0.0,0.4237414518845024,0.270321948694305
oxidized,delta_amount_mg_per_gDW,0.647,5,0.29999729791636326,0.2441670153587955,0.12482454410519962,0.1159176774299476
oxidized,delta_amount_mg_per_gDW,1.095,5,0.5451366651754395,0.7250736109792361,0.4250601771244083,0.6302759928274515
oxidized,delta_amount_mg_per_gDW,1.692,5,0.5942289194118726,0.6878120568919264,0.5176250686876581,0.9995402242663867
oxidized,delta_amount_mg_per_gDW,2.488,5,0.2832414582503755,0.2049198495801129,0.23949164397335637,0.24062377938705662
oxidized,delta_amount_mg_per_gDW,3.185,5,0.40152829736407003,0.3690946149070785,0.2406841520277932,0.2908057346935492
reduced,delta_conc_mg_ml,0.0,5,0.00662532441372172,0.0,0.023622919423276465,0.028726189341927902
reduced,delta_conc_mg_ml,0.647,5,0.05860800634385342,0.0535248896614449,0.03202637493116236,0.022084414712405707
reduced,delta_conc_mg_ml,1.095,5,0.040508656409161244,0.0392543274543598,0.014398931775127513,0.0247987003195171
reduced,delta_conc_mg_ml,1.692,5,0.058575105912252054,0.0689058414350758,0.02759314004440738,0.03828787727607
reduced,delta_conc_mg_ml,2.488,5,0.1007740219949326,0.098248913869529,0.08141123522502804,0.10593938975634429
reduced,delta_conc_mg_ml,3.185,5,0.07158722661058566,0.0844924209062149,0.061469726332877186,0.0705714257848941
reduced,delta_amount_mg_per_gDW,0.0,5,-0.0662144190997851,0.0,0.3127141955161119,0.372511128866514
reduced,delta_amount_mg_per_gDW,0.647,5,0.6687632434661666,0.4363123729596865,0.45501685586610296,0.40992471647641265
reduced,delta_amount_mg_per_gDW,1.095,5,0.38621023800853443,0.3566672431667008,0.2135733746967283,0.3177430793805127
reduced,delta_amount_mg_per_gDW,1.692,5,0.8468734172534834,0.7385085823027111,0.5452567161382991,0.15314928057077015
reduced,delta_amount_mg_per_gDW,2.488,5,1.0893762609341817,0.8263032706170754,1.0905240153664908,1.753702247268887
reduced,delta_amount_mg_per_gDW,3.185,5,0.7027349342120507,0.5605739576673581,0.8328790173422232,1.4321582942667064
