form,measurement,p_uva_mw_cm2,n,mean,median,std,iqr
total,pct_conc_mg_ml,0.0,5,167.68813352073167,0.0,306.3317940397125,356.78115283791453
total,pct_conc_mg_ml,0.647,5,419.2353020436634,426.1057237218725,147.4347662317251,118.2550006689462
total,pct_conc_mg_ml,1.095,5,473.2681443165301,561.8857277686417,151.48401626500015,266.20945396491123
total,pct_conc_mg_ml,1.692,5,543.9419853720557,405.5564940974324,231.7788453017742,385.4725300493959
total,pct_conc_mg_ml,2.488,5,585.552236754978,511.40441272898096,244.51006648656562,98.63630219731118
total,pct_conc_mg_ml,3.185,5,547.1368089966859,541.8793079833388,207.78474927931865,183.0820043143483
total,pct_amount_mg_per_gDW,0.0,5,128.09581943672174,0.0,251.90588978056067,272.6909124983997
total,pct_amount_mg_per_gDW,0.647,5,348.94319442298104,362.3853911359057,121.21593742533905,132.0793113333248
total,pct_amount_mg_per_gDW,1.095,5,388.23535908449475,419.83522715077936,138.69071423549676,193.90028282961828
total,pct_amount_mg_per_gDW,1.692,5,512.2185747440527,525.809386479832,167.86568184745232,112.4592056366456
total,pct_amount_mg_per_gDW,2.488,5,437.00237359901564,400.547963814494,194.86016406308198,230.37467067271723
total,pct_amount_mg_per_gDW,3.185,5,399.50560361339376,430.6136829505304,152.54397837897307,142.58276346261988
oxidized,pct_conc_mg_ml,0.0,0,,,,
oxidized,pct_conc_mg_ml,0.647,0,,,,
oxidized,pct_conc_mg_ml,1.095,0,,,,
oxidized,pct_conc_mg_ml,1.692,0,,,,
oxidized,pct_conc_mg_ml,2.488,0,,,,
oxidized,pct_conc_mg_ml,3.185,0,,,,
oxidized,pct_amount_mg_per_gDW,0.0,0,,,,
oxidized,pct_amount_mg_per_gDW,0.647,0,,,,
oxidized,pct_amount_mg_per_gDW,1.095,0,,,,
oxidized,pct_amount_mg_per_gDW,1.692,0,,,,
oxidized,pct_amount_mg_per_gDW,2.488,0,,,,
oxidized,pct_amount_mg_per_gDW,3.185,0,,,,
reduced,pct_conc_mg_ml,0.0,5,16.071019188970347,0.0,57.30200781786527,69.68098636558477
reduced,pct_conc_mg_ml,0.647,5,142.1651734711453,129.8350805365908,77.68623148564292,53.57006396323402
reduced,pct_conc_mg_ml,1.095,5,98.2616629493216,95.21904292906336,34.92742308278276,60.15409417100604
reduced,pct_conc_mg_ml,1.692,5,142.08536704438438,167.14458504729774,66.93255385640981,92.87472914296262
reduced,pct_conc_mg_ml,2.488,5,244.4470851685456,238.32194191464876,197.47886168252407,256.97669417000196
reduced,pct_conc_mg_ml,3.185,5,173.64880882830857,204.95287972525975,149.1068345861555,171.18478540206672
reduced,pct_amount_mg_per_gDW,0.0,5,-8.523466077824525,0.0,40.25420556086124,47.95157933381549
reduced,pct_amount_mg_per_gDW,0.647,5,86.08669980460908,56.16440891299883,58.57214770650593,52.7676518627025
reduced,pct_amount_mg_per_gDW,1.095,5,49.71500025717152,45.912071562860426,27.49228097298189,40.901549773953924
reduced,pct_amount_mg_per_gDW,1.692,5,109.0139722179459,95.06468432432216,70.18829413434922,19.714175787316208
reduced,pct_amount_mg_per_gDW,2.488,5,140.23020563039194,106.3660754387402,140.37795057933903,225.7457185069454
reduced,pct_amount_mg_per_gDW,3.185,5,90.45971338104064,72.1600095152851,107.21253992351802,184.35490041619838
