form,measurement,p_uva_mw_cm2,n,mean,median,std,iqr
total,ratio_conc_mg_ml,0.0,5,2.676881335207317,1.0,3.0633179403971256,3.5678115283791447
total,ratio_conc_mg_ml,0.647,5,5.192353020436634,5.261057237218725,1.474347662317251,1.1825500066894623
total,ratio_conc_mg_ml,1.095,5,5.7326814431653,6.618857277686417,1.5148401626500014,2.6620945396491127
total,ratio_conc_mg_ml,1.692,5,6.4394198537205565,5.055564940974325,2.3177884530177417,3.854725300493959
total,ratio_conc_mg_ml,2.488,5,6.855522367549781,6.11404412728981,2.4451006648656564,0.9863630219731112
total,ratio_conc_mg_ml,3.185,5,6.471368089966859,6.418793079833389,2.077847492793186,1.8308200431434818
total,ratio_amount_mg_per_gDW,0.0,5,2.2809581943672175,1.0,2.519058897805607,2.7269091249839974
total,ratio_amount_mg_per_gDW,0.647,5,4.4894319442298105,4.623853911359057,1.21215937425339,1.3207931133332482
total,ratio_amount_mg_per_gDW,1.095,5,4.882353590844947,5.198352271507794,1.386907142354968,1.9390028282961835
total,ratio_amount_mg_per_gDW,1.692,5,6.122185747440528,6.258093864798321,1.6786568184745232,1.1245920563664562
total,ratio_amount_mg_per_gDW,2.488,5,5.370023735990157,5.00547963814494,1.9486016406308195,2.303746706727172
total,ratio_amount_mg_per_gDW,3.185,5,4.995056036133937,5.306136829505304,1.5254397837897309,1.4258276346261987
oxidized,ratio_conc_mg_ml,0.0,0,,,,
oxidized,ratio_conc_mg_ml,0.647,0,,,,
oxidized,ratio_conc_mg_ml,1.095,0,,,,
oxidized,ratio_conc_mg_ml,1.692,0,,,,
oxidized,ratio_conc_mg_ml,2.488,0,,,,
oxidized,ratio_conc_mg_ml,3.185,0,,,,
oxidized,ratio_amount_mg_per_gDW,0.0,0,,,,
oxidized,ratio_amount_mg_per_gDW,0.647,0,,,,
oxidized,ratio_amount_mg_per_gDW,1.095,0,,,,
oxidized,ratio_amount_mg_per_gDW,1.692,0,,,,
oxidized,ratio_amount_mg_per_gDW,2.488,0,,,,
oxidized,ratio_amount_mg_per_gDW,3.185,0,,,,
reduced,ratio_conc_mg_ml,0.0,5,1.1607101918897036,1.0,0.5730200781786525,0.6968098636558476
reduced,ratio_conc_mg_ml,0.647,5,2.4216517347114532,2.298350805365908,0.7768623148564293,0.5357006396323398
reduced,ratio_conc_mg_ml,1.095,5,1.9826166294932157,1.9521904292906336,0.34927423082782755,0.6015409417100606
reduced,ratio_conc_mg_ml,1.692,5,2.420853670443844,2.6714458504729772,0.6693255385640984,0.9287472914296266
reduced,ratio_conc_mg_ml,2.488,5,3.4444708516854563,3.383219419146488,1.9747886168252404,2.5697669417000197
reduced,ratio_conc_mg_ml,3.185,5,2.736488088283086,3.049528797252598,1.491068345861555,1.7118478540206683
reduced,ratio_amount_mg_per_gDW,0.0,5,0.9147653392217547,1.0,0.40254205560861245,0.47951579333815486
reduced,ratio_amount_mg_per_gDW,0.647,5,1.860866998046091,1.5616440891299883,0.5857214770650591,0.5276765186270247
reduced,ratio_amount_mg_per_gDW,1.095,5,1.4971500025717153,1.4591207156286043,0.2749228097298189,0.40901549773953927
reduced,ratio_amount_mg_per_gDW,1.692,5,2.090139722179459,1.9506468432432216,0.7018829413434923,0.19714175787316202
reduced,ratio_amount_mg_per_gDW,2.488,5,2.4023020563039195,2.063660754387402,1.4037795057933904,2.2574571850694536
reduced,ratio_amount_mg_per_gDW,3.185,5,1.9045971338104066,1.721600095152851,1.0721253992351802,1.843549004161984
