form,p_uva_mw_cm2,p_uvb_mw_cm2,uva_uvb_ratio,uva_times_uvb,median,q1,q3,n
total,0.0,0.0,0.0,0.0,0.0092986477970318,0.0071571091371425,0.0403329319457299,5
total,0.647,0.246,2.6300813008130084,0.159162,0.0489207182889221,0.0428854729746887,0.0538815889892716,5
total,1.095,0.338,3.2396449704142007,0.37011,0.0615464226440267,0.0395614011827395,0.0643152807093381,5
total,1.692,0.584,2.897260273972603,0.9881279999999999,0.0470099178011421,0.0440031109958431,0.079846843919444,5
total,2.488,0.768,3.239583333333333,1.910784,0.0568523429551786,0.0558644951558357,0.0650363374971796,5
total,3.185,0.707,4.504950495049505,2.251795,0.0596860961313957,0.0585900898138766,0.0756142405748144,5
oxidized,0.0,0.0,0.0,0.0,0.0,0.0,0.0200038242033785,5
oxidized,0.647,0.246,2.6300813008130084,0.159162,0.016603357044398,0.0152453782763636,0.0230509960731143,5
oxidized,1.095,0.338,3.2396449704142007,0.37011,0.0514802263795257,0.0097361798597037,0.0615491421230004,5
oxidized,1.692,0.584,2.897260273972603,0.9881279999999999,0.0295759184463528,0.0058499316780117,0.0740138415466658,5
oxidized,2.488,0.768,3.239583333333333,1.910784,0.016393587966409,0.011105199105527,0.0298298494354974,5
oxidized,3.185,0.707,4.504950495049505,2.251795,0.0221456768944247,0.0192420312359446,0.0517783192798259,5
reduced,0.0,0.0,0.0,0.0,0.0412252909153935,0.0357350313919184,0.0644612207338464,5
reduced,0.647,0.246,2.6300813008130084,0.159162,0.0947501805768385,0.087347583466535,0.1094319981789406,5
reduced,1.095,0.338,3.2396449704142007,0.37011,0.0804796183697533,0.0707328655078536,0.0955315658273706,5
reduced,1.692,0.584,2.897260273972603,0.9881279999999999,0.1101311323504693,0.0771484496701167,0.1154363269461868,5
reduced,2.488,0.768,3.239583333333333,1.910784,0.1394742047849226,0.0734677138847158,0.1794071036410602,5
reduced,3.185,0.707,4.504950495049505,2.251795,0.1257177118216084,0.0592382772171322,0.1298097030020263,5
