form,p_uva_mw_cm2,p_uvb_mw_cm2,uva_uvb_ratio,uva_times_uvb,median,q1,q3,n
total,0.0,0.0,0.0,0.0,0.1555893290683165,0.1207616597017118,0.5450396208882419,5
total,0.647,0.246,2.6300813008130084,0.159162,0.7194223277782666,0.5428540882871999,0.7483554026287729,5
total,1.095,0.338,3.2396449704142007,0.37011,0.8088081421846567,0.5651628740391357,0.8668510231553068,5
total,1.692,0.584,2.897260273972603,0.9881279999999999,0.9736926256705184,0.9040368807911956,1.0790114043168109,5
total,2.488,0.768,3.239583333333333,1.910784,0.7787992185640907,0.6421206339751239,1.0005590384181482,5
total,3.185,0.707,4.504950495049505,2.251795,0.8255782692474143,0.723334442146625,0.94517800718518,5
oxidized,0.0,0.0,0.0,0.0,0.0,0.0,0.270321948694305,5
oxidized,0.647,0.246,2.6300813008130084,0.159162,0.2441670153587955,0.2230675589393805,0.3389852363693281,5
oxidized,1.095,0.338,3.2396449704142007,0.37011,0.7250736109792361,0.1390882837100536,0.769364276537505,5
oxidized,1.692,0.584,2.897260273972603,0.9881279999999999,0.6878120568919264,0.0731241459751473,1.072664370241534,5
oxidized,2.488,0.768,3.239583333333333,1.910784,0.2049198495801129,0.1276459667301961,0.3682697461172527,5
oxidized,3.185,0.707,4.504950495049505,2.251795,0.3690946149070785,0.2600274491343869,0.5508331838279361,5
reduced,0.0,0.0,0.0,0.0,0.7768485085199663,0.5353933885116051,0.9079045173781192,5
reduced,0.647,0.246,2.6300813008130084,0.159162,1.2131608814796528,1.1993693743903615,1.609294090866774,5
reduced,1.095,0.338,3.2396449704142007,0.37011,1.1335157516866672,1.04699357529621,1.3647366546767228,5
reduced,1.692,0.584,2.897260273972603,0.9881279999999999,1.5153570908226774,1.4429540868273356,1.5961033673981058,5
reduced,2.488,0.768,3.239583333333333,1.910784,1.6031517791370418,1.0064070395166549,2.760109286785542,5
reduced,3.185,0.707,4.504950495049505,2.251795,1.3374224661873244,0.7313367557670651,2.1634950500337715,5
