form,measurement,p_uva_mw_cm2,n,mean,median,std,iqr
total,predicted_total_mg_ml,0.0,5,0.047217530652682645,0.0135963150394397,0.058528140703939566,0.08241971309601481
total,predicted_total_mg_ml,0.647,5,0.100375174294638,0.1037753645130852,0.026631774964488306,0.011107526120304204
total,predicted_total_mg_ml,1.095,5,0.1074966867496904,0.1103959316588718,0.017991416615943747,0.027790540627918192
total,predicted_total_mg_ml,1.692,5,0.11562409543046903,0.102393090572683,0.03736692729965902,0.05865215992450479
total,predicted_total_mg_ml,2.488,5,0.11667800010310374,0.1043232501073408,0.050293137997423035,0.01123975641882699
total,predicted_total_mg_ml,3.185,5,0.12422857419118927,0.1136753245322129,0.056145485178318716,0.050563956407025906
oxidized,predicted_oxidized_mg_ml,0.0,5,0.010305034254514801,-0.0234428408514384,0.057495687446532884,0.0565735385276519
oxidized,predicted_oxidized_mg_ml,0.647,5,0.028067063656716594,0.0248861706478166,0.01305778344021617,0.0058388849161949
oxidized,predicted_oxidized_mg_ml,1.095,5,0.056831876646795974,0.0637071022273118,0.03766944309179243,0.0694444183355539
oxidized,predicted_oxidized_mg_ml,1.692,5,0.06019836554295116,0.0402333008427287,0.055147343031057214,0.0924767564017861
oxidized,predicted_oxidized_mg_ml,2.488,5,0.03178021708421054,0.0382903481259542,0.024999926811311118,0.0331505474408872
oxidized,predicted_oxidized_mg_ml,3.185,5,0.059418947600526774,0.0499708839627223,0.03230701530882946,0.055252651175969995
reduced,predicted_reduced_mg_ml,0.0,5,0.068108826182002,0.065335300990525,0.03108249797739501,0.0377538808683843
reduced,predicted_reduced_mg_ml,0.647,5,0.1422652245995945,0.1340963050194769,0.041963889288918844,0.023139918396686693
reduced,predicted_reduced_mg_ml,1.095,5,0.12160896109552077,0.1254680405444701,0.011896373302456494,0.008277734605271092
reduced,predicted_reduced_mg_ml,1.692,5,0.1359493877718269,0.1517328102328532,0.034491111850367,0.03571187947736941
reduced,predicted_reduced_mg_ml,2.488,5,0.17645703883513167,0.1581505221597242,0.11078990854526435,0.07656297914167048
reduced,predicted_reduced_mg_ml,3.185,5,0.174813091437455,0.1547867546086958,0.11468819927612288,0.1048641436277218
total,predicted_total_mg_per_gDW,0.0,5,0.6635063687815592,0.1765755199927233,0.8079368930610277,1.050683403294637
total,predicted_total_mg_per_gDW,0.647,5,1.4504381905088597,1.4809625425406014,0.3579521003099604,0.3169718846678393
total,predicted_total_mg_per_gDW,1.095,5,1.5289296641561065,1.5548722768855183,0.2704951176427808,0.31263732846675363
total,predicted_total_mg_per_gDW,1.692,5,1.8218081526661376,1.7794778301397156,0.38175030976561847,0.3335611925015236
total,predicted_total_mg_per_gDW,2.488,5,1.525941470740586,1.429085617908778,0.6457184544083501,0.5661430786500263
total,predicted_total_mg_per_gDW,3.185,5,1.5986838400295156,1.6128122464575525,0.6823172513620509,0.647176461216092
oxidized,predicted_oxidized_mg_per_gDW,0.0,5,0.10627279355238675,-0.3044524785901091,0.8417327065406233,0.8507623719839527
oxidized,predicted_oxidized_mg_per_gDW,0.647,5,0.40082877159666674,0.3659730977620088,0.17274060740501126,0.136691688353468
oxidized,predicted_oxidized_mg_per_gDW,1.095,5,0.8089783491382777,0.8972831299621381,0.5458751189840152,0.8788518120151352
oxidized,predicted_oxidized_mg_per_gDW,1.692,5,0.9122479818463001,0.9356581591332256,0.757188875704816,1.3827852293160845
oxidized,predicted_oxidized_mg_per_gDW,2.488,5,0.4124827325090443,0.4727203472340024,0.33733994953101126,0.4234207767711175
oxidized,predicted_oxidized_mg_per_gDW,3.185,5,0.7506821318568141,0.8328480660453716,0.3450719035572403,0.6053758091224628
reduced,predicted_reduced_mg_per_gDW,0.0,5,1.0125838681521333,1.104154667242737,0.4177604993655581,0.3480435916006521
reduced,predicted_reduced_mg_per_gDW,0.647,5,2.060097172062735,1.862448680826068,0.5913810236656671,0.611227669015713
reduced,predicted_reduced_mg_per_gDW,1.095,5,1.7257661107725457,1.6708304874186437,0.14080799708790825,0.13583412038108444
reduced,predicted_reduced_mg_per_gDW,1.692,5,2.1856531630730673,1.9677996702741165,0.6039173409193329,0.28909324142444404
reduced,predicted_reduced_mg_per_gDW,2.488,5,2.3082066661877856,1.8178220937899336,1.4163387265286724,1.3681640037961673
reduced,predicted_reduced_mg_per_gDW,3.185,5,2.254601625578297,2.0613229460092883,1.4225398680144876,1.4822457459825682
