form,measurement,p_uva_mw_cm2,n,mean,median,std,iqr
total,predicted_total_mg_ml_delta,0.0,5,0.033621215613242966,0.0,0.058528140703939545,0.0824197130960147
total,predicted_total_mg_ml_delta,0.647,5,0.0867788592551983,0.0901790494736455,0.02663177496448831,0.011107526120304204
total,predicted_total_mg_ml_delta,1.095,5,0.09390037171025067,0.0967996166194321,0.017991416615943716,0.027790540627918192
total,predicted_total_mg_ml_delta,1.692,5,0.1020277803910293,0.0887967755332433,0.03736692729965905,0.05865215992450479
total,predicted_total_mg_ml_delta,2.488,5,0.10308168506366404,0.0907269350679011,0.050293137997423035,0.01123975641882699
total,predicted_total_mg_ml_delta,3.185,5,0.11063225915174954,0.1000790094927732,0.056145485178318716,0.050563956407025906
total,predicted_total_mg_per_gDW_delta,0.0,5,0.486930848788836,0.0,0.8079368930610276,1.0506834032946368
total,predicted_total_mg_per_gDW_delta,0.647,5,1.2738626705161362,1.3043870225478782,0.35795210030996044,0.3169718846678393
total,predicted_total_mg_per_gDW_delta,1.095,5,1.352354144163383,1.378296756892795,0.2704951176427808,0.31263732846675363
total,predicted_total_mg_per_gDW_delta,1.692,5,1.6452326326734146,1.6029023101469924,0.38175030976561847,0.3335611925015236
total,predicted_total_mg_per_gDW_delta,2.488,5,1.3493659507478628,1.2525100979160548,0.6457184544083501,0.5661430786500264
total,predicted_total_mg_per_gDW_delta,3.185,5,1.4221083200367926,1.4362367264648292,0.6823172513620509,0.647176461216092
oxidized,predicted_oxidized_mg_ml_delta,0.0,5,0.0337478751059532,0.0,0.057495687446532884,0.056573538527651894
oxidized,predicted_oxidized_mg_ml_delta,0.647,5,0.051509904508155,0.048329011499255,0.013057783440216176,0.0058388849161949
oxidized,predicted_oxidized_mg_ml_delta,1.095,5,0.08027471749823438,0.0871499430787502,0.03766944309179244,0.0694444183355539
oxidized,predicted_oxidized_mg_ml_delta,1.692,5,0.08364120639438953,0.0636761416941671,0.05514734303105723,0.0924767564017862
oxidized,predicted_oxidized_mg_ml_delta,2.488,5,0.055223057935648946,0.0617331889773926,0.024999926811311118,0.0331505474408872
oxidized,predicted_oxidized_mg_ml_delta,3.185,5,0.08286178845196518,0.0734137248141607,0.03230701530882946,0.055252651175969995
oxidized,predicted_oxidized_mg_per_gDW_delta,0.0,5,0.4107252721424959,0.0,0.8417327065406233,0.8507623719839525
oxidized,predicted_oxidized_mg_per_gDW_delta,0.647,5,0.7052812501867758,0.6704255763521179,0.17274060740501126,0.136691688353468
oxidized,predicted_oxidized_mg_per_gDW_delta,1.095,5,1.1134308277283869,1.2017356085522473,0.5458751189840152,0.8788518120151352
oxidized,predicted_oxidized_mg_per_gDW_delta,1.692,5,1.2167004604364091,1.2401106377233346,0.757188875704816,1.3827852293160845
oxidized,predicted_oxidized_mg_per_gDW_delta,2.488,5,0.7169352110991534,0.7771728258241115,0.3373399495310112,0.42342077677111745
oxidized,predicted_oxidized_mg_per_gDW_delta,3.185,5,1.0551346104469232,1.1373005446354807,0.3450719035572402,0.6053758091224628
reduced,predicted_reduced_mg_ml_delta,0.0,5,0.00277352519147704,0.0,0.031082497977394964,0.0377538808683842
reduced,predicted_reduced_mg_ml_delta,0.647,5,0.07692992360906951,0.0687610040289519,0.04196388928891884,0.023139918396686693
reduced,predicted_reduced_mg_ml_delta,1.095,5,0.05627366010499578,0.0601327395539451,0.011896373302456494,0.008277734605271099
reduced,predicted_reduced_mg_ml_delta,1.692,5,0.07061408678130192,0.0863975092423282,0.034491111850367,0.0357118794773694
reduced,predicted_reduced_mg_ml_delta,2.488,5,0.11112173784460669,0.0928152211691992,0.11078990854526434,0.0765629791416705
reduced,predicted_reduced_mg_ml_delta,3.185,5,0.10947779044692998,0.0894514536181707,0.11468819927612285,0.10486414362772181
reduced,predicted_reduced_mg_per_gDW_delta,0.0,5,-0.09157079909060366,0.0,0.4177604993655581,0.3480435916006521
reduced,predicted_reduced_mg_per_gDW_delta,0.647,5,0.9559425048199983,0.7582940135833312,0.5913810236656671,0.611227669015713
reduced,predicted_reduced_mg_per_gDW_delta,1.095,5,0.6216114435298089,0.5666758201759068,0.14080799708790825,0.13583412038108444
reduced,predicted_reduced_mg_per_gDW_delta,1.692,5,1.0814984958303306,0.8636450030313796,0.6039173409193329,0.28909324142444404
reduced,predicted_reduced_mg_per_gDW_delta,2.488,5,1.2040519989450489,0.7136674265471967,1.4163387265286724,1.3681640037961675
reduced,predicted_reduced_mg_per_gDW_delta,3.185,5,1.1504469583355599,0.9571682787665514,1.4225398680144876,1.4822457459825682
