form,measurement,p_uva_mw_cm2,n,mean,median,std,iqr
total,predicted_total_mg_ml_pct,0.0,5,247.2818224328852,0.0,430.47061306069514,606.191551585372
total,predicted_total_mg_ml_pct,0.647,5,638.2527839600165,663.2609586645895,195.87494764012027,81.69512171558165
total,predicted_total_mg_ml_pct,1.095,5,690.6310381737103,711.9547931821178,132.3256820966188,204.39759263671374
total,predicted_total_mg_ml_pct,1.692,5,750.4075927563524,653.0944250384374,274.8312847360951,431.3827662448888
total,predicted_total_mg_ml_pct,2.488,5,758.1589920846083,667.2906210596303,369.90271151804376,82.66766683636774
total,predicted_total_mg_ml_pct,3.185,5,813.6929662988207,736.0745113839127,412.9463388826598,371.8945630514726
total,predicted_total_mg_per_gDW_pct,0.0,5,275.7635083328099,0.0,457.55883550240867,595.0334470700898
total,predicted_total_mg_per_gDW_pct,0.647,5,721.4265434804508,738.7133973053751,202.71898410646708,179.5106618861447
total,predicted_total_mg_per_gDW_pct,1.095,5,765.8786134222421,780.5706911975085,153.18947816431634,177.05587302228378
total,predicted_total_mg_per_gDW_pct,1.692,5,931.7444642050125,907.7715360617644,216.19662214861413,188.9056832539809
total,predicted_total_mg_per_gDW_pct,2.488,5,764.1863100861719,709.3339427615283,365.68968022008966,320.62376408312844
total,predicted_total_mg_per_gDW_pct,3.185,5,805.3824902202738,813.383829493475,386.4166739478774,366.51539309795726
oxidized,predicted_oxidized_mg_ml_pct,0.0,5,-143.95812913554167,0.0,245.25904437475668,241.32543869648237
oxidized,predicted_oxidized_mg_ml_pct,0.647,5,-219.72552232292475,-206.15680414129352,55.700516515748895,24.906899949528224
oxidized,predicted_oxidized_mg_ml_pct,1.095,5,-342.4274302203818,-371.755042961881,160.68634057839077,296.22868139418756
oxidized,predicted_oxidized_mg_ml_pct,1.692,5,-356.7878437789997,-271.62297478234206,235.24172424552162,394.4776018735457
oxidized,predicted_oxidized_mg_ml_pct,2.488,5,-235.56470090637748,-263.33493183956324,106.64205319543079,141.41011173077666
oxidized,predicted_oxidized_mg_ml_pct,3.185,5,-353.4630848585101,-313.16053066860366,137.81186125676908,235.69093663228034
oxidized,predicted_oxidized_mg_per_gDW_pct,0.0,5,-134.90620081154407,0.0,276.47424991861084,279.4401201539739
oxidized,predicted_oxidized_mg_per_gDW_pct,0.647,5,-231.6556112313052,-220.20696939528816,56.73811827873987,44.89754492605036
oxidized,predicted_oxidized_mg_per_gDW_pct,1.095,5,-365.7158032953388,-394.7202578600681,179.29731480982244,288.6663350829054
oxidized,predicted_oxidized_mg_per_gDW_pct,1.692,5,-399.635590444471,-407.32486181954266,248.7051112906969,454.1875420819805
oxidized,predicted_oxidized_mg_per_gDW_pct,2.488,5,-235.48345358172583,-255.2690092795848,110.80216889453517,139.0761470335007
oxidized,predicted_oxidized_mg_per_gDW_pct,3.185,5,-346.56791606136784,-373.55601435804135,113.34179480332561,198.8408213741275
reduced,predicted_reduced_mg_ml_pct,0.0,5,4.245063770164961,0.0,47.57381921589774,57.784812032716296
reduced,predicted_reduced_mg_ml_pct,0.647,5,117.74633688490391,105.24326510552648,64.22850840620524,35.4171757776741
reduced,predicted_reduced_mg_ml_pct,1.095,5,86.13055921048968,92.03713557953247,18.208186266994804,12.669620373328584
reduced,predicted_reduced_mg_ml_pct,1.692,5,108.07953083669497,132.23710296346178,52.790928223272346,54.65939382838138
reduced,predicted_reduced_mg_ml_pct,2.488,5,170.07917031058247,142.05983558973637,169.57128361791928,117.18470410471323
reduced,predicted_reduced_mg_ml_pct,3.185,5,167.56300007373753,136.9113668446146,175.5378754476927,160.50150843099254
reduced,predicted_reduced_mg_per_gDW_pct,0.0,5,-8.29329457251416,0.0,37.83532432179791,31.521271604980534
reduced,predicted_reduced_mg_per_gDW_pct,0.647,5,86.57686583050454,68.67643058349073,53.55961815951443,55.357069724846866
reduced,predicted_reduced_mg_per_gDW_pct,1.095,5,56.29749725933586,51.322141452428326,12.752560964989614,12.302091764035694
reduced,predicted_reduced_mg_per_gDW_pct,1.692,5,97.94809802606889,78.21775595877784,54.69499507957683,26.18231394577714
reduced,predicted_reduced_mg_per_gDW_pct,2.488,5,109.04740383444403,64.63473349520375,128.27358055420916,123.91053938237721
reduced,predicted_reduced_mg_per_gDW_pct,3.185,5,104.19255494417484,86.68788052644511,128.83519947135784,134.24258303268232
