form,measurement,p_uva_mw_cm2,n,mean,median,std,iqr
total,predicted_total_mg_ml_ratio,0.0,5,3.472818224328852,1.0,4.3047061306069505,6.0619155158537215
total,predicted_total_mg_ml_ratio,0.647,5,7.382527839600167,7.632609586645894,1.9587494764012028,0.8169512171558164
total,predicted_total_mg_ml_ratio,1.095,5,7.906310381737103,8.11954793182118,1.323256820966188,2.0439759263671364
total,predicted_total_mg_ml_ratio,1.692,5,8.504075927563523,7.530944250384374,2.74831284736095,4.313827662448886
total,predicted_total_mg_ml_ratio,2.488,5,8.581589920846081,7.672906210596303,3.6990271151804377,0.8266766683636781
total,predicted_total_mg_ml_ratio,3.185,5,9.136929662988207,8.360745113839128,4.129463388826599,3.7189456305147255
total,predicted_total_mg_per_gDW_ratio,0.0,5,3.7576350833280996,1.0,4.575588355024087,5.950334470700898
total,predicted_total_mg_per_gDW_ratio,0.647,5,8.214265434804508,8.387133973053752,2.0271898410646707,1.795106618861447
total,predicted_total_mg_per_gDW_ratio,1.095,5,8.65878613422242,8.805706911975085,1.5318947816431625,1.770558730222839
total,predicted_total_mg_per_gDW_ratio,1.692,5,10.317444642050125,10.077715360617644,2.161966221486141,1.8890568325398132
total,predicted_total_mg_per_gDW_ratio,2.488,5,8.641863100861718,8.093339427615282,3.6568968022008947,3.206237640831282
total,predicted_total_mg_per_gDW_ratio,3.185,5,9.053824902202738,9.13383829493475,3.864166739478775,3.6651539309795726
oxidized,predicted_oxidized_mg_ml_ratio,0.0,5,-0.43958129135541635,1.0,2.452590443747567,2.413254386964824
oxidized,predicted_oxidized_mg_ml_ratio,0.647,5,-1.1972552232292473,-1.061568041412935,0.5570051651574889,0.2490689994952826
oxidized,predicted_oxidized_mg_ml_ratio,1.095,5,-2.424274302203818,-2.7175504296188095,1.606863405783908,2.9622868139418754
oxidized,predicted_oxidized_mg_ml_ratio,1.692,5,-2.5678784377899975,-1.7162297478234203,2.3524172424552163,3.944776018735457
oxidized,predicted_oxidized_mg_ml_ratio,2.488,5,-1.3556470090637749,-1.633349318395633,1.066420531954308,1.4141011173077669
oxidized,predicted_oxidized_mg_ml_ratio,3.185,5,-2.534630848585101,-2.1316053066860365,1.3781186125676905,2.356909366322803
oxidized,predicted_oxidized_mg_per_gDW_ratio,0.0,5,-0.3490620081154407,1.0,2.764742499186108,2.7944012015397397
oxidized,predicted_oxidized_mg_per_gDW_ratio,0.647,5,-1.316556112313052,-1.202069693952882,0.5673811827873986,0.44897544926050315
oxidized,predicted_oxidized_mg_per_gDW_ratio,1.095,5,-2.657158032953388,-2.947202578600681,1.7929731480982245,2.8866633508290542
oxidized,predicted_oxidized_mg_per_gDW_ratio,1.692,5,-2.99635590444471,-3.073248618195427,2.4870511129069692,4.541875420819806
oxidized,predicted_oxidized_mg_per_gDW_ratio,2.488,5,-1.3548345358172587,-1.552690092795848,1.1080216889453518,1.3907614703350073
oxidized,predicted_oxidized_mg_per_gDW_ratio,3.185,5,-2.4656791606136785,-2.7355601435804138,1.1334179480332562,1.9884082137412757
reduced,predicted_reduced_mg_ml_ratio,0.0,5,1.0424506377016496,1.0,0.4757381921589774,0.5778481203271629
reduced,predicted_reduced_mg_ml_ratio,0.647,5,2.177463368849039,2.052432651055265,0.6422850840620526,0.35417175777674137
reduced,predicted_reduced_mg_ml_ratio,1.095,5,1.8613055921048969,1.9203713557953248,0.18208186266994802,0.12669620373328527
reduced,predicted_reduced_mg_ml_ratio,1.692,5,2.0807953083669495,2.322371029634618,0.5279092822327235,0.5465939382838136
reduced,predicted_reduced_mg_ml_ratio,2.488,5,2.700791703105825,2.4205983558973636,1.6957128361791927,1.1718470410471324
reduced,predicted_reduced_mg_ml_ratio,3.185,5,2.6756300007373746,2.369113668446146,1.7553787544769264,1.605015084309925
reduced,predicted_reduced_mg_per_gDW_ratio,0.0,5,0.9170670542748584,1.0,0.3783532432179792,0.3152127160498054
reduced,predicted_reduced_mg_per_gDW_ratio,0.647,5,1.8657686583050457,1.686764305834907,0.5355961815951443,0.5535706972484689
reduced,predicted_reduced_mg_per_gDW_ratio,1.095,5,1.5629749725933586,1.5132214145242833,0.12752560964989607,0.12302091764035694
reduced,predicted_reduced_mg_per_gDW_ratio,1.692,5,1.9794809802606887,1.7821775595877785,0.5469499507957684,0.2618231394577708
reduced,predicted_reduced_mg_per_gDW_ratio,2.488,5,2.09047403834444,1.6463473349520374,1.282735805542092,1.2391053938237715
reduced,predicted_reduced_mg_per_gDW_ratio,3.185,5,2.0419255494417485,1.8668788052644512,1.2883519947135784,1.3424258303268228
