form,measurement,p_uva_mw_cm2,n,mean,median,std,iqr
total,predicted_total_mg_ml_zscore,0.0,5,-4.4408920985006264e-17,-0.5744453045811496,1.0,1.4082065841272673
total,predicted_total_mg_ml_zscore,0.647,5,0.9082407710651447,0.9663357349158984,0.45502513225566565,0.18978094958612868
total,predicted_total_mg_ml_zscore,1.095,5,1.0299174956184851,1.0794534090152053,0.3073977132974726,0.47482356852056307
total,predicted_total_mg_ml_zscore,1.692,5,1.1687807600760145,0.9427184813387804,0.6384437785009602,1.0021189673731918
total,predicted_total_mg_ml_zscore,2.488,5,1.1867875626150834,0.9756967976058452,0.8592984057331889,0.192040209780155
total,predicted_total_mg_ml_zscore,3.185,5,1.315795147637809,1.1354844538066275,0.9592904285534485,0.863925554423471
total,predicted_total_mg_per_gDW_zscore,0.0,5,1.7763568394002506e-16,-0.6026842603312775,1.0,1.300452315420226
total,predicted_total_mg_per_gDW_zscore,0.647,5,0.9740015940426417,1.0117822082142442,0.44304462809439055,0.39232257790200586
total,predicted_total_mg_per_gDW_zscore,1.095,5,1.0711520946836837,1.1032617965084428,0.3347973337595179,0.38695760912992305
total,predicted_total_mg_per_gDW_zscore,1.692,5,1.4336537838940915,1.3812606788261386,0.4725001581735947,0.4128555031541652
total,predicted_total_mg_per_gDW_zscore,2.488,5,1.0674535466396666,0.9475730786679036,0.7992189240943299,0.7007268556645335
total,predicted_total_mg_per_gDW_zscore,3.185,5,1.1574882633529122,1.1749752806551037,0.8445180028565821,0.8010235289097106
oxidized,predicted_oxidized_mg_ml_zscore,0.0,5,-6.661338147750939e-17,-0.586963589875092,0.9999999999999999,0.9839614245896524
oxidized,predicted_oxidized_mg_ml_zscore,0.647,5,0.30892802905816696,0.2536040012889884,0.22710891929693042,0.10155344123199966
oxidized,predicted_oxidized_mg_ml_zscore,1.095,5,0.8092231688776312,0.9288012778777072,0.6551698877732783,1.2078196021246381
oxidized,predicted_oxidized_mg_ml_zscore,1.692,5,0.8677751933105208,0.5205306331200087,0.9591561642312829,1.6084120480824453
oxidized,predicted_oxidized_mg_ml_zscore,2.488,5,0.3735094540728156,0.4867376165814845,0.4348139472992538,0.5765745034654115
oxidized,predicted_oxidized_mg_ml_zscore,3.185,5,0.8542190819387038,0.6898926070776015,0.5619032790741534,0.960987747600222
oxidized,predicted_oxidized_mg_per_gDW_zscore,0.0,5,-4.4408920985006264e-17,-0.487952136053387,1.0,1.0107274736661236
oxidized,predicted_oxidized_mg_per_gDW_zscore,0.647,5,0.3499400412452242,0.3085306085787562,0.20522026299173463,0.1623932244658133
oxidized,predicted_oxidized_mg_per_gDW_zscore,1.095,5,0.8348321861863844,0.939740526016469,0.6485136133386905,1.0440984473884414
oxidized,predicted_oxidized_mg_per_gDW_zscore,1.692,5,0.9575191530887908,0.9853310429025268,0.8995597650193875,1.642784245605822
oxidized,predicted_oxidized_mg_per_gDW_zscore,2.488,5,0.36378524509891963,0.4353490732083491,0.40076849445166557,0.5030347205008869
oxidized,predicted_oxidized_mg_per_gDW_zscore,3.185,5,0.7655747879310036,0.8631900208310598,0.4099542537386085,0.7192019561773397
reduced,predicted_reduced_mg_ml_zscore,0.0,5,1.3322676295501878e-16,-0.0892310905479369,1.0,1.2146347084407794
reduced,predicted_reduced_mg_ml_zscore,0.647,5,2.3857927529352163,2.1229786256389307,1.3500809786728662,0.7444677842017522
reduced,predicted_reduced_mg_ml_zscore,1.095,5,1.7212302226296992,1.8453862493350135,0.38273543236802354,0.2663149728600045
reduced,predicted_reduced_mg_ml_zscore,1.692,5,2.182596831154385,2.69038814421117,1.1096634471093967,1.1489385281498659
reduced,predicted_reduced_mg_ml_zscore,2.488,5,3.4858270635753525,2.896861637156889,3.5643823937779127,2.4632183422758205
reduced,predicted_reduced_mg_ml_zscore,3.185,5,3.432937254047423,2.7886410059362343,3.689799943348529,3.3737360396189873
reduced,predicted_reduced_mg_per_gDW_zscore,0.0,5,-1.7763568394002506e-16,0.2191944887792641,1.0,0.8331175209940067
reduced,predicted_reduced_mg_per_gDW_zscore,0.647,5,2.5074493770986797,2.0343350172278187,1.4155982304784247,1.4631054634029985
reduced,predicted_reduced_mg_per_gDW_zscore,1.095,5,1.7071557595883378,1.5756554778782874,0.33705435842246845,0.32514831006610745
reduced,predicted_reduced_mg_per_gDW_zscore,1.692,5,2.8079947642308065,2.2865153684291464,1.445606613924692,0.6920071233720813
reduced,predicted_reduced_mg_per_gDW_zscore,2.488,5,3.1013530479863,1.9275116409059605,3.3903126999312496,3.2749960943506196
reduced,predicted_reduced_mg_per_gDW_zscore,3.185,5,2.9730378035079505,2.5103835318318692,3.4051564716502916,3.5480753882514406
