form,p_uva_mw_cm2,p_uvb_mw_cm2,uva_uvb_ratio,uva_times_uvb,median,q1,q3,n
total,0.0,0.0,0.0,0.0,0.0135963150394397,0.0076707320572049,0.0900904451532197,5
total,0.647,0.246,2.6300813008130084,0.159162,0.1037753645130852,0.0955217769426191,0.1066293030629233,5
total,1.095,0.338,3.2396449704142007,0.37011,0.1103959316588718,0.0913339938275009,0.1191245344554191,5
total,1.692,0.584,2.897260273972603,0.9881279999999999,0.102393090572683,0.0925328471672652,0.15118500709177,5
total,2.488,0.768,3.239583333333333,1.910784,0.1043232501073408,0.1010763773330887,0.1123161337519157,5
total,3.185,0.707,4.504950495049505,2.251795,0.1136753245322129,0.101040394759984,0.1516043511670099,5
oxidized,0.0,0.0,0.0,0.0,-0.0234428408514384,-0.0265073031151724,0.0300662354124795,5
oxidized,0.647,0.246,2.6300813008130084,0.159162,0.0248861706478166,0.0248214401323121,0.030660325048507,5
oxidized,1.095,0.338,3.2396449704142007,0.37011,0.0637071022273118,0.0211017956141088,0.0905462139496627,5
oxidized,1.692,0.584,2.897260273972603,0.9881279999999999,0.0402333008427287,0.0213485412438091,0.1138252976455952,5
oxidized,2.488,0.768,3.239583333333333,1.910784,0.0382903481259542,0.0089872827099702,0.0421378301508574,5
oxidized,3.185,0.707,4.504950495049505,2.251795,0.0499708839627223,0.0343196586451582,0.0895723098211282,5
reduced,0.0,0.0,0.0,0.0,0.065335300990525,0.0507911146931659,0.0885449955615502,5
reduced,0.647,0.246,2.6300813008130084,0.159162,0.1340963050194769,0.1323146804194693,0.155454598816156,5
reduced,1.095,0.338,3.2396449704142007,0.37011,0.1254680405444701,0.1176162185766198,0.1258939531818909,5
reduced,1.692,0.584,2.897260273972603,0.9881279999999999,0.1517328102328532,0.1217120941445599,0.1574239736219293,5
reduced,2.488,0.768,3.239583333333333,1.910784,0.1581505221597242,0.1128550900838586,0.1894180692255291,5
reduced,3.185,0.707,4.504950495049505,2.251795,0.1547867546086958,0.0889002132971513,0.1937643569248731,5
