form,p_uva_mw_cm2,p_uvb_mw_cm2,uva_uvb_ratio,uva_times_uvb,median,q1,q3,n
total,0.0,0.0,0.0,0.0,0.1765755199927233,0.1667550447218456,1.2174384480164826,5
total,0.647,0.246,2.6300813008130084,0.159162,1.4809625425406014,1.2091364169951784,1.5261083016630177,5
total,1.095,0.338,3.2396449704142007,0.37011,1.5548722768855183,1.30477134039287,1.6174086688596236,5
total,1.692,0.584,2.897260273972603,0.9881279999999999,1.7794778301397156,1.7094794438737466,2.0430406363752702,5
total,2.488,0.768,3.239583333333333,1.910784,1.429085617908778,1.1617974406102152,1.7279405192602415,5
total,3.185,0.707,4.504950495049505,2.251795,1.6128122464575525,1.2474122809874568,1.8945887422035488,5
oxidized,0.0,0.0,0.0,0.0,-0.3044524785901091,-0.4444618934369324,0.4063004785470203,5
oxidized,0.647,0.246,2.6300813008130084,0.159162,0.3659730977620088,0.3141954447128113,0.4508871330662793,5
oxidized,1.095,0.338,3.2396449704142007,0.37011,0.8972831299621381,0.3014542230586971,1.1803060350738324,5
oxidized,1.692,0.584,2.897260273972603,0.9881279999999999,0.9356581591332256,0.2668567655476137,1.6496419948636982,5
oxidized,2.488,0.768,3.239583333333333,1.910784,0.4727203472340024,0.1033021001146,0.5267228768857175,5
oxidized,3.185,0.707,4.504950495049505,2.251795,0.8328480660453716,0.4289957330644775,1.0343715421869404,5
reduced,0.0,0.0,0.0,0.0,1.104154667242737,0.8485104024743506,1.1965539940750027,5
reduced,0.647,0.246,2.6300813008130084,0.159162,1.862448680826068,1.6748693723983457,2.2860970414140587,5
reduced,1.095,0.338,3.2396449704142007,0.37011,1.6708304874186437,1.6565664588256312,1.7924005792067157,5
reduced,1.692,0.584,2.897260273972603,0.9881279999999999,1.9677996702741165,1.9099329938342977,2.1990262352587417,5
reduced,2.488,0.768,3.239583333333333,1.910784,1.8178220937899336,1.5459601381350494,2.9141241419312167,5
reduced,3.185,0.707,4.504950495049505,2.251795,2.0613229460092883,1.097533497495695,2.579779243478263,5
