sample_id,dry_biomass_g,p_uva_mw_cm2,p_uvb_mw_cm2,uva_pct_mdv,uvb_pct_mdv
1A,,3.185,0.707,140.4878479114287,92.05729166666666
1B,,3.185,0.707,140.4878479114287,92.05729166666666
1C,,3.185,0.707,140.4878479114287,92.05729166666666
1D,0.06,3.185,0.707,140.4878479114287,92.05729166666666
1E,,3.185,0.707,140.4878479114287,92.05729166666666
1F,0.094,3.185,0.707,140.4878479114287,92.05729166666666
1G,0.081,3.185,0.707,140.4878479114287,92.05729166666666
1H,,3.185,0.707,140.4878479114287,92.05729166666666
1I,0.074,3.185,0.707,140.4878479114287,92.05729166666666
1J,0.08,3.185,0.707,140.4878479114287,92.05729166666666
2A,,2.488,0.768,109.74372546424948,100.0
2B,0.08,2.488,0.768,109.74372546424948,100.0
2C,,2.488,0.768,109.74372546424948,100.0
2D,,2.488,0.768,109.74372546424948,100.0
2E,0.073,2.488,0.768,109.74372546424948,100.0
2F,,2.488,0.768,109.74372546424948,100.0
2G,0.081,2.488,0.768,109.74372546424948,100.0
2H,,2.488,0.768,109.74372546424948,100.0
2I,0.087,2.488,0.768,109.74372546424948,100.0
2J,0.065,2.488,0.768,109.74372546424948,100.0
3A,0.043,1.692,0.584,74.63279078999602,76.04166666666667
3B,,1.692,0.584,74.63279078999602,76.04166666666667
3C,0.074,1.692,0.584,74.63279078999602,76.04166666666667
3D,0.069,1.692,0.584,74.63279078999602,76.04166666666667
3E,0.08,1.692,0.584,74.63279078999602,76.04166666666667
3F,,1.692,0.584,74.63279078999602,76.04166666666667
3G,,1.692,0.584,74.63279078999602,76.04166666666667
3H,0.052,1.692,0.584,74.63279078999602,76.04166666666667
3I,,1.692,0.584,74.63279078999602,76.04166666666667
3J,,1.692,0.584,74.63279078999602,76.04166666666667
4A,0.07,1.095,0.338,48.299589784305944,44.01041666666667
4B,0.071,1.095,0.338,48.299589784305944,44.01041666666667
4C,,1.095,0.338,48.299589784305944,44.01041666666667
4D,,1.095,0.338,48.299589784305944,44.01041666666667
4E,,1.095,0.338,48.299589784305944,44.01041666666667
4F,0.08,1.095,0.338,48.299589784305944,44.01041666666667
4G,0.062,1.095,0.338,48.299589784305944,44.01041666666667
4H,0.07,1.095,0.338,48.299589784305944,44.01041666666667
4I,,1.095,0.338,48.299589784305944,44.01041666666667
4J,,1.095,0.338,48.299589784305944,44.01041666666667
5A,,0.647,0.246,28.53866172643465,32.03125
5B,0.068,0.647,0.246,28.53866172643465,32.03125
5C,,0.647,0.246,28.53866172643465,32.03125
5D,0.072,0.647,0.246,28.53866172643465,32.03125
5E,0.079,0.647,0.246,28.53866172643465,32.03125
5F,0.068,0.647,0.246,28.53866172643465,32.03125
5G,,0.647,0.246,28.53866172643465,32.03125
5H,,0.647,0.246,28.53866172643465,32.03125
5I,0.058,0.647,0.246,28.53866172643465,32.03125
5J,,0.647,0.246,28.53866172643465,32.03125
6A,,0.0,0.0,0.0,0.0
6B,,0.0,0.0,0.0,0.0
6C,0.074,0.0,0.0,0.0,0.0
6D,0.071,0.0,0.0,0.0,0.0
6E,,0.0,0.0,0.0,0.0
6F,0.077,0.0,0.0,0.0,0.0
6G,,0.0,0.0,0.0,0.0
6H,0.046,0.0,0.0,0.0,0.0
6I,,0.0,0.0,0.0,0.0
6J,0.071,0.0,0.0,0.0,0.0
