dataset,variant,measurement,term,sum_sq,df,F,PR(>F)
chromatogram,raw,conc_mg_ml,C(p_uva_mw_cm2),0.016288376374434692,5.0,1.65634418821284,0.2016328843460338
chromatogram,raw,conc_mg_ml,C(p_uvb_mw_cm2),0.01633305564239081,5.0,1.6608875659020297,0.2010216275256678
chromatogram,raw,conc_mg_ml,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),0.13616634811723,25.0,2.7693164026849537,0.022993343347517077
chromatogram,raw,conc_mg_ml,Residual,0.1652100602265279,84.0,,
chromatogram,raw,amount_mg_per_gDW,C(p_uva_mw_cm2),1.8851013103930054,5.0,0.9866306401757095,0.32341999670268795
chromatogram,raw,amount_mg_per_gDW,C(p_uvb_mw_cm2),1.5655165415509547,5.0,0.819365293037787,0.36795479180668866
chromatogram,raw,amount_mg_per_gDW,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),26.7209810456612,25.0,2.7970633185446574,0.02190235310888724
chromatogram,raw,amount_mg_per_gDW,Residual,32.098842996567,84.0,,
chromatogram,delta,delta_conc_mg_ml,C(p_uva_mw_cm2),0.010603209630733417,5.0,1.7334822610354317,0.19154779727949636
chromatogram,delta,delta_conc_mg_ml,C(p_uvb_mw_cm2),0.004176277843517525,5.0,0.6827652956996365,0.4109769954090804
chromatogram,delta,delta_conc_mg_ml,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),0.11366917706683337,25.0,3.716676533503974,0.0043488550967551234
chromatogram,delta,delta_conc_mg_ml,Residual,0.10276074108189587,84.0,,
chromatogram,delta,delta_amount_mg_per_gDW,C(p_uva_mw_cm2),1.2159362504748148,5.0,1.1488603369105417,0.2868577176382579
chromatogram,delta,delta_amount_mg_per_gDW,C(p_uvb_mw_cm2),1.2161977989192243,5.0,1.149107457295221,0.2868062408613929
chromatogram,delta,delta_amount_mg_per_gDW,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),20.216217280469113,25.0,3.8202019533223086,0.003626088783945435
chromatogram,delta,delta_amount_mg_per_gDW,Residual,17.780863653897327,84.0,,
chromatogram,zscore,z_conc_mg_ml,C(p_uva_mw_cm2),0.6519895746146632,5.0,0.056421756111170014,0.8128219960639822
chromatogram,zscore,z_conc_mg_ml,C(p_uvb_mw_cm2),26.164725261248226,5.0,2.264238271414709,0.13614225769315552
chromatogram,zscore,z_conc_mg_ml,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),224.95511607651355,25.0,3.8934250452487333,0.003189030351030523
chromatogram,zscore,z_conc_mg_ml,Residual,194.1347736845407,84.0,,
chromatogram,zscore,z_amount_mg_per_gDW,C(p_uva_mw_cm2),16.796045904069953,5.0,1.3864755403408981,0.24232665568462217
chromatogram,zscore,z_amount_mg_per_gDW,C(p_uvb_mw_cm2),16.859421322744566,5.0,1.3917070375845393,0.2414473362721324
chromatogram,zscore,z_amount_mg_per_gDW,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),252.14542692901432,25.0,4.162806758716698,0.0019902135541216156
chromatogram,zscore,z_amount_mg_per_gDW,Residual,203.51860741733395,84.0,,
