dataset,variant,measurement,term,component,n_components,x_weight,x_loading,y_loading,r_squared,cv_r_squared
dad,raw,predicted_total_mg_per_gDW,p_uva_mw_cm2,1,2,0.5766878751118101,0.5892977533708733,0.2365561285972749,0.3010965060650842,0.019462698565146486
dad,raw,predicted_total_mg_per_gDW,p_uva_mw_cm2,2,2,0.07999067290915488,0.26845891047878734,-1.3526494885299984,0.3010965060650842,0.019462698565146486
dad,raw,predicted_total_mg_per_gDW,p_uvb_mw_cm2,1,2,0.6771456006809803,0.581996825063736,0.2365561285972749,0.3010965060650842,0.019462698565146486
dad,raw,predicted_total_mg_per_gDW,p_uvb_mw_cm2,2,2,-0.6035755803300858,-0.7011469185387712,-1.3526494885299984,0.3010965060650842,0.019462698565146486
dad,raw,predicted_total_mg_per_gDW,p_uva_mw_cm2:p_uvb_mw_cm2,1,2,0.45706118865795103,0.582115803530395,0.2365561285972749,0.3010965060650842,0.019462698565146486
dad,raw,predicted_total_mg_per_gDW,p_uva_mw_cm2:p_uvb_mw_cm2,2,2,0.7932830586094332,0.7000409586738269,-1.3526494885299984,0.3010965060650842,0.019462698565146486
dad,delta,predicted_total_mg_per_gDW_delta,p_uva_mw_cm2,1,2,0.5766878751118102,0.5892977533708732,0.2365561285972749,0.3010965060650842,0.019462698565147263
dad,delta,predicted_total_mg_per_gDW_delta,p_uva_mw_cm2,2,2,0.07999067290915512,0.2684589104787877,-1.3526494885299978,0.3010965060650842,0.019462698565147263
dad,delta,predicted_total_mg_per_gDW_delta,p_uvb_mw_cm2,1,2,0.6771456006809803,0.5819968250637358,0.2365561285972749,0.3010965060650842,0.019462698565147263
dad,delta,predicted_total_mg_per_gDW_delta,p_uvb_mw_cm2,2,2,-0.6035755803300856,-0.7011469185387706,-1.3526494885299978,0.3010965060650842,0.019462698565147263
dad,delta,predicted_total_mg_per_gDW_delta,p_uva_mw_cm2:p_uvb_mw_cm2,1,2,0.45706118865795103,0.5821158035303949,0.2365561285972749,0.3010965060650842,0.019462698565147263
dad,delta,predicted_total_mg_per_gDW_delta,p_uva_mw_cm2:p_uvb_mw_cm2,2,2,0.7932830586094333,0.7000409586738269,-1.3526494885299978,0.3010965060650842,0.019462698565147263
