variant,measurement,scenario,removed,n_removed,F,p_value
delta,delta_conc_mg_ml,baseline,,0,3.0873548525241916,0.01315583866623183
delta,delta_conc_mg_ml,drop_single,2B,1,3.2220344119239916,0.010431736489586419
delta,delta_conc_mg_ml,drop_single,1J,1,3.2130821623912085,0.010597047982043332
delta,delta_conc_mg_ml,drop_flagged_set,2B;1J,2,3.323067071564826,0.008782488316236566
delta,delta_amount_mg_per_gDW,baseline,,0,3.3342860496214564,0.008519909125175775
delta,delta_amount_mg_per_gDW,drop_single,2B,1,3.591570853426858,0.00545195072007201
delta,delta_amount_mg_per_gDW,drop_flagged_set,2B,1,3.591570853426858,0.00545195072007201
zscore,z_conc_mg_ml,baseline,,0,2.549853255415961,0.03373825264378704
zscore,z_conc_mg_ml,drop_single,2B,1,2.5974576534677616,0.031145490766104726
zscore,z_conc_mg_ml,drop_single,1J,1,2.6945548369187136,0.026293984842158395
zscore,z_conc_mg_ml,drop_flagged_set,2B;1J,2,2.7011180725425996,0.026082460742640597
zscore,z_amount_mg_per_gDW,baseline,,0,2.4569918261241215,0.0396526268768667
zscore,z_amount_mg_per_gDW,drop_single,2B,1,2.623871319573324,0.029744583782083233
zscore,z_amount_mg_per_gDW,drop_single,2J,1,2.407736870761099,0.04329977614543874
zscore,z_amount_mg_per_gDW,drop_flagged_set,2B;2J,2,3.2539641710768743,0.0099134855303363
