dataset,variant,metric,term,vif
chromatogram,raw,conc_mg_ml,p_uva_mw_cm2,37.845421054490664
chromatogram,raw,conc_mg_ml,p_uvb_mw_cm2,10.354007100679121
chromatogram,raw,conc_mg_ml,p_uva_mw_cm2:p_uvb_mw_cm2,25.13205532913815
chromatogram,raw,amount_mg_per_gDW,p_uva_mw_cm2,37.845421054490664
chromatogram,raw,amount_mg_per_gDW,p_uvb_mw_cm2,10.354007100679121
chromatogram,raw,amount_mg_per_gDW,p_uva_mw_cm2:p_uvb_mw_cm2,25.13205532913815
chromatogram,delta,delta_conc_mg_ml,p_uva_mw_cm2,37.845421054490664
chromatogram,delta,delta_conc_mg_ml,p_uvb_mw_cm2,10.354007100679121
chromatogram,delta,delta_conc_mg_ml,p_uva_mw_cm2:p_uvb_mw_cm2,25.13205532913815
chromatogram,delta,delta_amount_mg_per_gDW,p_uva_mw_cm2,37.845421054490664
chromatogram,delta,delta_amount_mg_per_gDW,p_uvb_mw_cm2,10.354007100679121
chromatogram,delta,delta_amount_mg_per_gDW,p_uva_mw_cm2:p_uvb_mw_cm2,25.13205532913815
chromatogram,zscore,z_conc_mg_ml,p_uva_mw_cm2,37.845421054490664
chromatogram,zscore,z_conc_mg_ml,p_uvb_mw_cm2,10.354007100679121
chromatogram,zscore,z_conc_mg_ml,p_uva_mw_cm2:p_uvb_mw_cm2,25.13205532913815
chromatogram,zscore,z_amount_mg_per_gDW,p_uva_mw_cm2,37.845421054490664
chromatogram,zscore,z_amount_mg_per_gDW,p_uvb_mw_cm2,10.354007100679121
chromatogram,zscore,z_amount_mg_per_gDW,p_uva_mw_cm2:p_uvb_mw_cm2,25.13205532913815
dad,raw,predicted_total_mg_per_gDW,p_uva_mw_cm2,37.845421054490664
dad,raw,predicted_total_mg_per_gDW,p_uvb_mw_cm2,10.354007100679121
dad,raw,predicted_total_mg_per_gDW,p_uva_mw_cm2:p_uvb_mw_cm2,25.13205532913815
dad,delta,predicted_total_mg_per_gDW_delta,p_uva_mw_cm2,37.845421054490664
dad,delta,predicted_total_mg_per_gDW_delta,p_uvb_mw_cm2,10.354007100679121
dad,delta,predicted_total_mg_per_gDW_delta,p_uva_mw_cm2:p_uvb_mw_cm2,25.13205532913815
