metric,assay,fraction,axis,model,slope,intercept,slope_se,slope_ci_low,slope_ci_high,p_value,r_squared
chrom_total,chromatogram,total,UVA,OLS,0.14669781328116158,0.49651244618844986,0.07134536543690688,-0.05138867736468675,0.34478430392700987,0.10892544627833901,0.5138440665703626
chrom_total,chromatogram,total,UVA,WLS_var,0.10465315759132138,0.6020366127031245,0.06629945203138521,-0.07942363147851433,0.2887299466611571,0.1895943295676769,0.3838226140887586
chrom_total,chromatogram,total,UVB,OLS,0.6794577666425008,0.4198741309076848,0.2247093231633242,0.05556466625337897,1.3033508670316225,0.039020417472539294,0.6956525723675939
chrom_oxidized,chromatogram,oxidized,UVA,OLS,0.055462063435329466,0.27273223771541877,0.07883862176621163,-0.16342904206800946,0.2743531689386684,0.5205429328776642,0.11010178137076365
chrom_oxidized,chromatogram,oxidized,UVA,WLS_var,0.03804595131086193,0.24343028008371398,0.04434261575249224,-0.08506888714681195,0.16116078976853582,0.43926233392742475,0.15543456158987656
chrom_oxidized,chromatogram,oxidized,UVB,OLS,0.2748120562480161,0.2358596955557586,0.3029782211856979,-0.5663903429445508,1.1160144554405829,0.41568868693659083,0.1705914488420197
chrom_reduced,chromatogram,reduced,UVA,OLS,0.2234650048341282,0.9910147926782431,0.09905067757021659,-0.05154376407222502,0.4984737737404814,0.08705841766947141,0.5599482558865546
chrom_reduced,chromatogram,reduced,UVA,WLS_var,0.31262225272631117,0.8546208572883002,0.10382421222912774,0.024360026881732,0.6008844785708903,0.039508619893624364,0.6938750263259044
chrom_reduced,chromatogram,reduced,UVB,OLS,1.0700068261937017,0.858859418910652,0.25895642800978413,0.3510285191864304,1.788985133200973,0.014470385740653704,0.8101871403901277
dad_total,dad,total,UVA,OLS,0.24537170123551288,1.008659059357163,0.14552642518365647,-0.15867442964258377,0.6494178321136095,0.16705574375744187,0.4154545495085056
dad_total,dad,total,UVA,WLS_var,0.17345738483759127,1.28323261982576,0.14613526936638419,-0.2322791684914679,0.5791939381666504,0.30091659797698644,0.2604760299046084
dad_total,dad,total,UVB,OLS,1.1399084311975183,0.8789627426066258,0.49924434470113294,-0.24621608594562483,2.5260329483406614,0.08448158089175423,0.5658455411952641
dad_oxidized,dad,oxidized,UVA,OLS,0.18706737014388822,0.2393186186405679,0.13654250852287822,-0.19203540929588572,0.5661701495836622,0.242542233508765,0.31937866148332983
dad_oxidized,dad,oxidized,UVA,WLS_var,0.1093062338215614,0.3078875607389098,0.07992059852270278,-0.11258892075127516,0.33120138839439794,0.24321527584539587,0.3186343789513626
dad_oxidized,dad,oxidized,UVB,OLS,0.8079019476994027,0.16737490066237937,0.5204619534563025,-0.6371320954160331,2.2529359908148385,0.19554792899052337,0.3759330603838189
dad_reduced,dad,reduced,UVA,OLS,0.2240770139246961,1.4479846970361963,0.11791761391808783,-0.10331476805478268,0.5514687959041749,0.13019612090887364,0.4744504878773318
dad_reduced,dad,reduced,UVA,WLS_var,0.4165534196422466,1.2465368063283497,0.14602271186283428,0.011129376042971872,0.8219774632415213,0.04627113969063109,0.6704477199750541
dad_reduced,dad,reduced,UVB,OLS,1.0672099522466043,1.3179902740402683,0.36674709594123084,0.04895677287506639,2.085463131618142,0.043681029745172954,0.679171430806575
