metric,step,delta,ci_low,ci_high,prob_positive,prob_negative
chrom_total,D1->D2,0.3964137363453232,-0.14455328382031604,0.7344786177344199,0.929,0.071
chrom_total,D2->D3,0.07673007356161987,-0.2210166890199955,0.3421463780960357,0.684,0.316
chrom_total,D3->D4,0.23863962379980852,-0.1603586684663609,0.5295437608132703,0.884,0.116
chrom_total,D4->D5,-0.1784206732737207,-0.4960011660903801,0.2990430900704892,0.234,0.766
chrom_total,D5->D6,0.02420394254061886,-0.4396759077010282,0.3168987513292204,0.467,0.533
chrom_oxidized,D1->D2,0.17863262065773305,-0.43498539590491114,0.3929192266000879,0.743,0.257
chrom_oxidized,D2->D3,0.2757687868530969,-0.18300452526125083,0.6867486094442465,0.876,0.124
chrom_oxidized,D3->D4,0.0666914672939376,-0.7008851504305487,0.7382476441084196,0.539,0.461
chrom_oxidized,D4->D5,-0.3775883368936819,-0.8970865241708282,0.2263000405236921,0.158,0.842
chrom_oxidized,D5->D6,0.15970656181394652,-0.20505071755246068,0.4539764008059824,0.822,0.178
chrom_reduced,D1->D2,0.6005593107756989,0.2321837264050545,1.2854435776618833,1.0,0.0
chrom_reduced,D2->D3,-0.15885945502572918,-0.802401925775412,0.16322303471283717,0.196,0.804
chrom_reduced,D3->D4,0.3363895211295065,-0.01043927763329977,1.0638574327251025,0.97,0.03
chrom_reduced,D4->D5,0.27175118679703947,-0.8712959354420695,1.50445160961035,0.642,0.358
chrom_reduced,D5->D6,-0.3791379444836922,-1.84786130312223,1.0031311294190486,0.312,0.688
dad_total,D1->D2,0.885146082822582,-0.19098934848832208,1.578976264887063,0.949,0.051
dad_total,D2->D3,0.08694834164640475,-0.3391014648445409,0.509590515230695,0.638,0.362
dad_total,D3->D4,0.3516485414169068,-0.17108792594843084,0.739631742353529,0.895,0.105
dad_total,D4->D5,-0.404391444203166,-0.9813412895979563,0.4472739666085865,0.204,0.796
dad_total,D5->D6,0.14532989728977452,-0.9007326016035513,0.9693097104882955,0.587,0.413
dad_oxidized,D1->D2,0.4912231896737068,-0.736431459768287,0.9648312980295086,0.821,0.179
dad_oxidized,D2->D3,0.4159959041845228,-0.17937979749770683,0.9422797411487426,0.894,0.106
dad_oxidized,D3->D4,0.15770451048328982,-0.8936455833954617,1.1422027169287425,0.595,0.405
dad_oxidized,D4->D5,-0.5831371984367391,-1.4180421874924012,0.3353766545432369,0.14,0.86
dad_oxidized,D5->D6,0.3978233390208232,-0.11742143283320894,0.83769026743556,0.925,0.075
dad_reduced,D1->D2,0.891398676948794,0.347508314117411,1.677293735276761,1.0,0.0
dad_reduced,D2->D3,-0.23453918972916044,-0.9131945013018816,0.17885319152313706,0.165,0.835
dad_reduced,D3->D4,0.3189871246387219,0.002881898027420763,1.159487485083341,0.976,0.024
dad_reduced,D4->D5,0.06704915816301416,-1.248893176756944,1.8178553871567285,0.49,0.51
dad_reduced,D5->D6,-0.17975689562431763,-2.154991262366151,1.7422823436553356,0.448,0.552
