metric,axis,slope,slope_se,slope_ci_low,slope_ci_high,intercept,intercept_se,r_squared,p_value,n_doses
chrom_total_mg_per_gDW,UVA,0.0797145212299033,0.06116947328254047,-0.09011916345293372,0.24954820591274032,0.6480289726570876,0.111679348046174,0.2980319173967728,0.26246674482840304,6
chrom_total_mg_per_gDW,UVB,0.464207745775133,0.21804378926455653,-0.14117886564722526,1.0695943571974913,0.5626894957054536,0.10935807166866734,0.5312039389388994,0.10032456300488168,6
chrom_oxidized_mg_per_gDW,UVA,0.030941182066919603,0.037433824411459864,-0.072991776489112,0.1348741406229512,0.2738076565040437,0.06525469789387948,0.14588245308833603,0.4549411586257328,6
chrom_oxidized_mg_per_gDW,UVB,0.10966382976866988,0.1698571503988037,-0.36193522403893497,0.5812628835762748,0.27208587633684334,0.08000836357461917,0.09437314937829899,0.5536926195925307,6
chrom_reduced_mg_per_gDW,UVA,0.32821692598682695,0.11128979112635792,0.019226930155565092,0.6372069218180888,0.8289559298511893,0.12879245608493856,0.6849857323843154,0.042002360220706025,6
chrom_reduced_mg_per_gDW,UVB,1.2840360112153693,0.290345309529016,0.47790819775639304,2.0901638246743452,0.7643293104942664,0.10080404784764807,0.8302064087011647,0.011489089213427617,6
dad_total_mg_per_gDW,UVA,0.14826780752331134,0.13473406461930662,-0.22581392669236647,0.5223495417389892,1.3468676903409948,0.20230870057280764,0.2323908643835888,0.33291022260803826,6
dad_total_mg_per_gDW,UVB,0.7616087683683554,0.4672382203908437,-0.5356525015971327,2.0588700383338434,1.229333904382724,0.21034733053569435,0.3991263036938075,0.17843024694141896,6
dad_oxidized_mg_per_gDW,UVA,0.10732744599268675,0.07357374845219841,-0.09694602776847365,0.3116009197538471,0.31792541016264403,0.11878331636619203,0.34726067761516766,0.21838590295793514,6
dad_oxidized_mg_per_gDW,UVB,0.39209939406686495,0.33446348957143246,-0.5365201244211137,1.3207189125548435,0.3010898810838592,0.15274275852931637,0.25572287971808416,0.30612256826434314,6
dad_reduced_mg_per_gDW,UVA,0.4547479906625517,0.14014472396444677,0.06564385779216686,0.8438521235329366,1.217609654818414,0.15556546825900852,0.7246889889205365,0.031529036823255696,6
dad_reduced_mg_per_gDW,UVB,1.6202809791280515,0.39612423838040706,0.5204637764265643,2.7200981818295387,1.1668420115744977,0.13589414489047508,0.8070507826741944,0.01497101376171095,6
chrom_total_mg_ml,UVA,0.0067283063101873705,0.0028532578640829112,-0.0011936075204127539,0.014650220140787495,0.042784466971871576,0.004930893675289817,0.5816205915961072,0.07782291233731842,6
chrom_total_mg_ml,UVB,0.03242302713493471,0.010277784985849392,0.0038873213186977375,0.060958732951171685,0.03881464585539535,0.004878036102768761,0.7133016675713999,0.03435944039848127,6
dad_total_mg_ml,UVA,0.01094364682276801,0.00711665082652694,-0.008815343529944583,0.0307026371754806,0.09184002345081226,0.010031634225659714,0.3715318787356403,0.1989294603320666,6
dad_total_mg_ml,UVB,0.045765206674226844,0.027213741254333762,-0.029792252025487534,0.12132266537394122,0.08781866357214448,0.011404859513032448,0.4141852700175406,0.16792066889349244,6
