metric,step,from_uva,from_uvb,to_uva,to_uvb,diff_mean,diff_ci_low,diff_ci_high
chrom_total_mg_per_gDW,1,0.0,0.0,0.647,0.246,0.3801522657693767,-0.05132082970475732,0.6817487373388181
chrom_total_mg_per_gDW,2,0.647,0.246,1.095,0.338,0.06113441537326736,-0.1623153068049641,0.28657425627498184
chrom_total_mg_per_gDW,3,1.095,0.338,1.692,0.584,0.22593787979511826,-0.05814509491692027,0.45214809716934184
chrom_total_mg_per_gDW,4,1.692,0.584,2.488,0.768,-0.15006160910532662,-0.44630449032170005,0.19493267388835867
chrom_total_mg_per_gDW,5,2.488,0.768,3.185,0.707,-0.035836331727214454,-0.3444760973536879,0.24468543262899106
chrom_oxidized_mg_per_gDW,1,0.0,0.0,0.647,0.246,0.02976010135998297,-0.36153073931523466,0.3352759164245103
chrom_oxidized_mg_per_gDW,2,0.647,0.246,1.095,0.338,0.26566675373898657,-0.14191376001032824,0.5759805786731056
chrom_oxidized_mg_per_gDW,3,1.095,0.338,1.692,0.584,0.04909225423643315,-0.5025559486422371,0.6525465521899838
chrom_oxidized_mg_per_gDW,4,1.692,0.584,2.488,0.768,-0.34329633458456865,-0.8011424582625404,0.16889043435276382
chrom_oxidized_mg_per_gDW,5,2.488,0.768,3.185,0.707,0.15059571253676618,-0.15361409727276537,0.3827981049713346
chrom_reduced_mg_per_gDW,1,0.0,0.0,0.647,0.246,0.6689958141165526,0.3209206198449348,1.1508551837241523
chrom_reduced_mg_per_gDW,2,0.647,0.246,1.095,0.338,-0.21657115700823315,-0.7021516215576851,0.08628857177784582
chrom_reduced_mg_per_gDW,3,1.095,0.338,1.692,0.584,0.3550795681870762,0.05730620416291835,1.03488115701184
chrom_reduced_mg_per_gDW,4,1.692,0.584,2.488,0.768,0.34808645473857114,-0.8113956292704223,1.2065327198041944
chrom_reduced_mg_per_gDW,5,2.488,0.768,3.185,0.707,-0.38664132672213114,-1.5406636520406518,0.7918859589412914
dad_total_mg_per_gDW,1,0.0,0.0,0.647,0.246,0.7935710577937983,0.030170836613903185,1.5159399973124155
dad_total_mg_per_gDW,2,0.647,0.246,1.095,0.338,0.07849147364724685,-0.27296366849614473,0.42288744587291566
dad_total_mg_per_gDW,3,1.095,0.338,1.692,0.584,0.31506914849982603,-0.04010628841626425,0.6372860625821594
dad_total_mg_per_gDW,4,1.692,0.584,2.488,0.768,-0.40439058675515116,-0.8436206856730732,0.3589777943366285
dad_total_mg_per_gDW,5,2.488,0.768,3.185,0.707,0.145329762082528,-0.7593851809064717,0.8388109407581312
dad_oxidized_mg_per_gDW,1,0.0,0.0,0.647,0.246,0.393249845261547,-0.46800133792391935,0.9194125267976623
dad_oxidized_mg_per_gDW,2,0.647,0.246,1.095,0.338,0.43195957099245097,-0.06666757276067792,0.8706594418641095
dad_oxidized_mg_per_gDW,3,1.095,0.338,1.692,0.584,0.10326963270802236,-0.6633074133687211,0.9274708600427063
dad_oxidized_mg_per_gDW,4,1.692,0.584,2.488,0.768,-0.49976524933725575,-1.2927858154389604,0.13651460264503443
dad_oxidized_mg_per_gDW,5,2.488,0.768,3.185,0.707,0.33819939934776977,-0.07448337074371049,0.7374782067820488
dad_reduced_mg_per_gDW,1,0.0,0.0,0.647,0.246,0.9351985010531676,0.5063324414133223,1.6214388038277094
dad_reduced_mg_per_gDW,2,0.647,0.246,1.095,0.338,-0.2719705080843515,-0.8786743483354791,0.11720785704003547
dad_reduced_mg_per_gDW,3,1.095,0.338,1.692,0.584,0.3126189856609476,0.06917495857629755,1.0350753715867016
dad_reduced_mg_per_gDW,4,1.692,0.584,2.488,0.768,0.12658228432911844,-0.9896041118329668,1.46739595784791
dad_reduced_mg_per_gDW,5,2.488,0.768,3.185,0.707,0.10243289557980972,-1.7011838354432358,1.6061793086861398
