form,p_uva_mw_cm2,p_uvb_mw_cm2,delta_conc_mg_ml_median,delta_conc_mg_ml_mean,delta_conc_mg_ml_std,delta_conc_mg_ml_count,delta_amount_mg_per_gDW_median,delta_amount_mg_per_gDW_mean,delta_amount_mg_per_gDW_std,delta_amount_mg_per_gDW_count
oxidized,0.0,0.0,0.0,0.01789158968464592,0.03009768864334742,5,0.0,0.2497098100764698,0.4237414518845024,5
oxidized,0.647,0.246,0.016603357044398,0.02077886574415912,0.009328839192744501,5,0.2441670153587955,0.2999972979163633,0.12482454410519961,5
oxidized,1.095,0.338,0.0514802263795257,0.038189699217250725,0.028999173555157586,5,0.7250736109792361,0.5451366651754393,0.42506017712440824,5
oxidized,1.692,0.584,0.0295759184463528,0.03855182688872658,0.037309163384897086,5,0.6878120568919264,0.5942289194118725,0.5176250686876581,5
oxidized,2.488,0.768,0.016393587966409,0.02181887875187328,0.017499057338741075,5,0.2049198495801129,0.2832414582503755,0.2394916439733564,5
oxidized,3.185,0.707,0.0221456768944247,0.03202028022881472,0.021762703778054306,5,0.3690946149070785,0.40152829736407003,0.2406841520277932,5
reduced,0.0,0.0,0.0,0.006625324413721739,0.023622919423276482,5,0.0,-0.0662144190997851,0.3127141955161119,5
reduced,0.647,0.246,0.053524889661444995,0.05860800634385348,0.03202637493116232,5,0.4363123729596865,0.6687632434661664,0.45501685586610296,5
reduced,1.095,0.338,0.0392543274543598,0.04050865640916126,0.014398931775127495,5,0.35666724316670084,0.38621023800853443,0.2135733746967283,5
reduced,1.692,0.584,0.0689058414350758,0.05857510591225211,0.027593140044407383,5,0.7385085823027111,0.8468734172534834,0.545256716138299,5
reduced,2.488,0.768,0.09824891386952908,0.10077402199493264,0.08141123522502809,5,0.8263032706170754,1.0893762609341817,1.0905240153664908,5
reduced,3.185,0.707,0.0844924209062149,0.07158722661058572,0.06146972633287717,5,0.5605739576673581,0.7027349342120507,0.8328790173422232,5
total,0.0,0.0,0.0,0.01559272893350926,0.02848471461808172,5,0.0,0.19930342602615753,0.3919386837931472,5
total,0.647,0.246,0.0396220704918903,0.03898321417786273,0.013709439642265288,5,0.5638329987099502,0.5429183750322674,0.18859906376395538,5
total,1.095,0.338,0.0522477748469949,0.044007537875542305,0.014085965141280729,5,0.6532188131163402,0.6040527904055347,0.21578795175906557,5
total,1.692,0.584,0.0377112700041103,0.0505792494399297,0.021552298492639173,5,0.8181032966022019,0.796957443807565,0.26118108812240576,5
total,2.488,0.768,0.0475536951581468,0.0544484401634872,0.02273612991087403,5,0.6232098894957743,0.6799290610953264,0.30318162188717,5
total,3.185,0.707,0.0503874483343639,0.05087632483652042,0.01932117201142941,5,0.6699889401790978,0.6215880882524074,0.23734215249396196,5
