form,measurement,dose_metric,pearson_r,pearson_p,spearman_r,spearman_p,n
total,mg_mL,UVA_mW_cm2,0.48022719913792833,,0.41604709484183505,,30
total,mg_mL,UVB_mW_cm2,0.5358732826570124,,0.4137920970378142,,30
total,mg_mL,UVA_div_UVB,0.14707529346761392,,0.14904826270501986,,25
total,mg_mL,UVA_times_UVB,0.42832723493146074,,0.41604709484183505,,30
total,mg_per_gDW,UVA_mW_cm2,0.4037274568016043,,0.36418214534935694,,30
total,mg_per_gDW,UVB_mW_cm2,0.49448663961788314,,0.3799671299775025,,30
total,mg_per_gDW,UVA_div_UVB,-0.027409416028169337,,0.01568929081105472,,25
total,mg_per_gDW,UVA_times_UVB,0.33569819620294106,,0.36418214534935694,,30
oxidized,mg_mL,UVA_mW_cm2,0.12473138229164261,,0.19740015839395064,,30
oxidized,mg_mL,UVB_mW_cm2,0.1343145110744833,,0.15453612399983566,,30
oxidized,mg_mL,UVA_div_UVB,0.06812938984906275,,0.10982503567738305,,25
oxidized,mg_mL,UVA_times_UVB,0.07139919987915445,,0.19740015839395064,,30
oxidized,mg_per_gDW,UVA_mW_cm2,0.07929247765893907,,0.18160814572243458,,30
oxidized,mg_per_gDW,UVB_mW_cm2,0.10849493581221697,,0.13423210770788643,,30
oxidized,mg_per_gDW,UVA_div_UVB,-0.010734275757280413,,0.09805806756909201,,25
oxidized,mg_per_gDW,UVA_times_UVB,0.019490731722488313,,0.18160814572243458,,30
reduced,mg_mL,UVA_mW_cm2,0.45575797073050306,,0.3957521146056479,,30
reduced,mg_mL,UVB_mW_cm2,0.5112772958197271,,0.42957708166595976,,30
reduced,mg_mL,UVA_div_UVB,0.08983420340794374,,-0.06667948594698257,,25
reduced,mg_mL,UVA_times_UVB,0.44754078346460086,,0.3957521146056479,,30
reduced,mg_per_gDW,UVA_mW_cm2,0.38910856969089674,,0.31457219366089967,,30
reduced,mg_per_gDW,UVB_mW_cm2,0.46991310785813845,,0.3551621541332738,,30
reduced,mg_per_gDW,UVA_div_UVB,-0.01867762622161835,,-0.18827148973265667,,25
reduced,mg_per_gDW,UVA_times_UVB,0.3694549344862139,,0.31457219366089967,,30
