sample_name,sample_id,form,area,conc_mg_ml,conc_se_mg_ml,loq_flag,batch_id,intercept_mode,calibration_qc_pass,total_conc_observed,sum_parts_conc,predicted_total_conc,total_vs_parts_abs_diff,total_vs_parts_rel_diff,total_vs_parts_allowed_abs_diff,total_vs_parts_fail,p_uva_mw_cm2,p_uvb_mw_cm2,amount_mg_per_gDW,z_conc_mg_ml,z_amount_mg_per_gDW
Youssef Pig 29_09_25 1D,1D,oxidized,3466.0,0.0221456768944247,0.0064905673404387,False,Yousseff Scyt 29_09_25.txt,free,True,0.0596860961313957,0.151955379896451,0.0770822323731352,0.0173961362417395,0.2256828286644491,0.0050121147084045,True,3.185,0.707,0.3690946149070785,0.14134265458683568,0.2817397361048099
Youssef Pig 29_09_25 1D,1D,reduced,7029.0,0.1298097030020263,0.0017730864031946,False,Yousseff Red Scyt 29_09_25.txt,free,True,0.0596860961313957,0.151955379896451,0.0770822323731352,0.0173961362417395,0.2256828286644491,0.0050121147084045,True,3.185,0.707,2.1634950500337715,3.4694732773864483,4.645970606533386
Youssef Pig 29_09_25 1D,1D,total,10495.0,0.0596860961313957,0.0038012726653747,False,Yousseff Scyt 29_09_25.txt,free,True,0.0596860961313957,0.151955379896451,0.0770822323731352,0.0173961362417395,0.2256828286644491,0.0050121147084045,True,3.185,0.707,0.9947682688565952,1.2215224855637983,1.6325908623498544
Youssef Pig 29_09_25 1F,1F,oxidized,6150.0,0.0517783192798259,0.0058693362803102,False,Yousseff Scyt 29_09_25.txt,free,True,0.0776043573092569,0.1774960311014344,0.0897688297098809,0.012164472400624,0.135508866941206,0.0050121147084045,True,3.185,0.707,0.5508331838279361,1.1258914263062543,0.710629966486126
Youssef Pig 29_09_25 1F,1F,reduced,6830.0,0.1257177118216084,0.0017458364276964,False,Yousseff Red Scyt 29_09_25.txt,free,True,0.0776043573092569,0.1774960311014344,0.0897688297098809,0.012164472400624,0.135508866941206,0.0050121147084045,True,3.185,0.707,1.3374224661873244,3.2962520464667038,2.0043489734537787
Youssef Pig 29_09_25 1F,1F,total,12980.0,0.0776043573092569,0.0037370749110592,False,Yousseff Scyt 29_09_25.txt,free,True,0.0776043573092569,0.1774960311014344,0.0897688297098809,0.012164472400624,0.135508866941206,0.0050121147084045,True,3.185,0.707,0.8255782692474143,1.8505707810481042,1.200916198415753
Youssef Pig 29_09_25 1G,1G,oxidized,6746.0,0.0583584440420089,0.005786388424212,False,Yousseff Scyt 29_09_25.txt,free,True,0.0585900898138766,0.1175967212591412,0.0600155388239434,0.0014254490100668,0.023751332371578,0.0050121147084045,False,3.185,0.707,0.7204746178025802,1.3445170104883615,1.1109718098913413
Youssef Pig 29_09_25 1G,1G,reduced,3597.0,0.0592382772171322,0.0016162737189793,False,Yousseff Red Scyt 29_09_25.txt,free,True,0.0585900898138766,0.1175967212591412,0.0600155388239434,0.0014254490100668,0.023751332371578,0.0050121147084045,False,3.185,0.707,0.7313367557670651,0.4820598878560409,0.06620315496939835
Youssef Pig 29_09_25 1G,1G,total,10343.0,0.0585900898138766,0.0038088106522644,False,Yousseff Scyt 29_09_25.txt,free,True,0.0585900898138766,0.1175967212591412,0.0600155388239434,0.0014254490100668,0.023751332371578,0.0050121147084045,False,3.185,0.707,0.723334442146625,1.1830454872082183,0.9400493043616046
Youssef Pig 29_09_26 1I,1I,oxidized,3203.0,0.0192420312359446,0.0065705809887988,False,Yousseff Scyt 29_09_25.txt,free,True,0.0293800793384175,0.0680344214196485,0.0353968657877596,0.0060167864493421,0.1699807685069886,0.0050121147084045,True,3.185,0.707,0.2600274491343869,0.04486861324473077,0.02434890193544092
