auc,concentration_mg_ml,sample_type,sample_id,p_uva_mw_cm2
7770127.0,0.473,standard,,
10367282.0,0.378,standard,,
7748252.0,0.284,standard,,
5137451.0,0.189,standard,,
3075764.5,0.095,standard,,
1527320.5,0.047,standard,,
986159.5,0.023,standard,,
3042167.0,0.11367532453221295,treatment,1D,3.185
3880172.0,0.15160435116700996,treatment,1F,3.185
2763010.5,0.10104039475998401,treatment,1G,3.185
1692987.5,0.05260997863257978,treatment,1I,3.185
4998317.0,0.20221282186415984,treatment,1J,3.185
4962412.0,0.20058772213167328,treatment,2B,2.488
2835542.0,0.10432325010734085,treatment,2E,2.488
1968644.5,0.06508651719150035,treatment,2G,2.488
2763805.5,0.10107637733308879,treatment,2I,2.488
3012137.0,0.11231613375191575,treatment,2J,2.488
2154700.5,0.07350761608657112,treatment,3A,1.692
3870907.0,0.15118500709177007,treatment,3C,1.692
4032567.0,0.15850191623405596,treatment,3D,1.692
2792897.0,0.10239309057268305,treatment,3E,1.692
2575044.5,0.09253284716726529,treatment,3H,1.692
2548557.0,0.09133399382750099,treatment,4A,1.095
2969712.0,0.11039593165887183,treatment,4B,1.095
3389427.0,0.1293926935087699,treatment,4F,1.095
3162562.0,0.11912453445541911,treatment,4G,1.095
2458022.0,0.08723628029789036,treatment,4H,1.095
2823437.0,0.10377536451308521,treatment,5B,0.647
2886492.0,0.10662930306292336,treatment,5D,0.647
2641082.0,0.09552177694261914,treatment,5E,0.647
3514732.0,0.135064135424359,treatment,5F,0.647
1875822.5,0.06088529153020343,treatment,5I,0.647
2521082.0,0.09009044515321975,treatment,6C,0.0
3366627.0,0.128360740468784,treatment,6D,0.0
831018.5,0.013596315039439723,treatment,6F,0.0
700098.5,0.007670732057204987,treatment,6H,0.0
450407.0,-0.003630579455235171,treatment,6J,0.0
