dataset,measurement,term,coef,pvalue,r_squared,adj_r_squared
dad,predicted_total_mg_ml_ratio,Intercept,3.6602254420711358,0.01110416976079801,0.291944375906974,0.21024565005008633
dad,predicted_total_mg_ml_ratio,p_uva_mw_cm2,3.8875654907070563,0.24089305723052026,0.291944375906974,0.21024565005008633
dad,predicted_total_mg_ml_ratio,p_uvb_mw_cm2,5.916480689113756,0.38838384985868113,0.291944375906974,0.21024565005008633
dad,predicted_total_mg_ml_ratio,p_uva_mw_cm2:p_uvb_mw_cm2,-4.932838322212057,0.14658096317628458,0.291944375906974,0.21024565005008633
dad,predicted_total_mg_per_gDW_ratio,Intercept,3.7931806572214386,0.00794538913794726,0.3350363629838372,0.25830978948197225
dad,predicted_total_mg_per_gDW_ratio,p_uva_mw_cm2,4.161753442696368,0.2037162177238238,0.3350363629838372,0.25830978948197225
dad,predicted_total_mg_per_gDW_ratio,p_uvb_mw_cm2,9.885818219028534,0.14891466748756355,0.3350363629838372,0.25830978948197225
dad,predicted_total_mg_per_gDW_ratio,p_uva_mw_cm2:p_uvb_mw_cm2,-6.7156182798188695,0.048783332653070444,0.3350363629838372,0.25830978948197225
dad,predicted_oxidized_mg_ml_ratio,Intercept,-0.24740193404613847,0.7329999881345786,0.19119445286342363,0.09787073588612627
dad,predicted_oxidized_mg_ml_ratio,p_uva_mw_cm2,-2.9858120700042177,0.09733840499869305,0.19119445286342363,0.09787073588612627
dad,predicted_oxidized_mg_ml_ratio,p_uvb_mw_cm2,-0.10198256028631225,0.9777073980978568,0.19119445286342363,0.09787073588612627
dad,predicted_oxidized_mg_ml_ratio,p_uva_mw_cm2:p_uvb_mw_cm2,3.2441096913236156,0.07778522179707739,0.19119445286342363,0.09787073588612627
dad,predicted_oxidized_mg_per_gDW_ratio,Intercept,-0.11343656738908942,0.8839957351331604,0.20735562355756798,0.11589665704497965
dad,predicted_oxidized_mg_per_gDW_ratio,p_uva_mw_cm2,-3.1901775879846053,0.0987013240713018,0.20735562355756798,0.11589665704497965
dad,predicted_oxidized_mg_per_gDW_ratio,p_uvb_mw_cm2,-1.3612299102344745,0.7284506040469351,0.20735562355756798,0.11589665704497965
dad,predicted_oxidized_mg_per_gDW_ratio,p_uva_mw_cm2:p_uvb_mw_cm2,3.906995359772022,0.049444092416049225,0.20735562355756798,0.11589665704497965
dad,predicted_reduced_mg_ml_ratio,Intercept,1.1936608459267597,0.014437102759608753,0.21195013074204094,0.12102129967381492
dad,predicted_reduced_mg_ml_ratio,p_uva_mw_cm2,0.4305805437508252,0.6991266580901999,0.21195013074204094,0.12102129967381492
dad,predicted_reduced_mg_ml_ratio,p_uvb_mw_cm2,1.4005859576158297,0.5468105182431038,0.21195013074204094,0.12102129967381492
dad,predicted_reduced_mg_ml_ratio,p_uva_mw_cm2:p_uvb_mw_cm2,-0.39552508250686014,0.7271160950221737,0.21195013074204094,0.12102129967381492
dad,predicted_reduced_mg_per_gDW_ratio,Intercept,1.0022144178261936,0.0076490655976266,0.20233656573754777,0.11029847716880326
dad,predicted_reduced_mg_per_gDW_ratio,p_uva_mw_cm2,0.3181285073339324,0.707545253874772,0.20233656573754777,0.11029847716880326
dad,predicted_reduced_mg_per_gDW_ratio,p_uvb_mw_cm2,1.8316059910874967,0.3039069122227396,0.20233656573754777,0.11029847716880326
dad,predicted_reduced_mg_per_gDW_ratio,p_uva_mw_cm2:p_uvb_mw_cm2,-0.5798835179621977,0.5028977044133134,0.20233656573754777,0.11029847716880326
