dataset,measurement,term,sum_sq,df,F,PR(>F),eta_squared
dad,predicted_total_mg_ml_zscore,C(p_uva_mw_cm2),1.9664854352784278,5.0,0.7006930464514034,0.41080908370206237,0.0440417300412692
dad,predicted_total_mg_ml_zscore,C(p_uvb_mw_cm2),0.5377412885528556,5.0,0.1916065966821946,0.6654969708186621,0.01204334201393966
dad,predicted_total_mg_ml_zscore,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),28.675142852973934,25.0,2.043490670474726,0.10840696319247592,0.6422131981092949
dad,predicted_total_mg_ml_zscore,Residual,13.471134239364975,24.0,,,0.30170172983549626
dad,predicted_total_mg_per_gDW_zscore,C(p_uva_mw_cm2),0.4137670111941974,5.0,0.1721879409541487,0.6818606378049814,0.009763454575704022
dad,predicted_total_mg_per_gDW_zscore,C(p_uvb_mw_cm2),0.218029259418432,5.0,0.09073224358477859,0.7658426406757567,0.0051447281028094245
dad,predicted_total_mg_per_gDW_zscore,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),30.212981535799937,25.0,2.5146089175743644,0.05754230024014814,0.7129207134469202
dad,predicted_total_mg_per_gDW_zscore,Residual,11.534382969716876,24.0,,,0.27217110387456644
dad,predicted_oxidized_mg_ml_zscore,C(p_uva_mw_cm2),0.5297313723072561,5.0,0.21877634258600648,0.6441933592358104,0.018287308797185063
dad,predicted_oxidized_mg_ml_zscore,C(p_uvb_mw_cm2),0.5337818029815221,5.0,0.2204491497013459,0.6429357200107844,0.018427137171289607
dad,predicted_oxidized_mg_ml_zscore,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),16.28122509899438,25.0,1.3448125092019179,0.27971942428137997,0.5620580666857209
dad,predicted_oxidized_mg_ml_zscore,Residual,11.622420217008727,24.0,,,0.40122748734580443
dad,predicted_oxidized_mg_per_gDW_zscore,C(p_uva_mw_cm2),1.362691584370695,5.0,0.6287965057395589,0.4355665925940989,0.04558082408751752
dad,predicted_oxidized_mg_per_gDW_zscore,C(p_uvb_mw_cm2),1.3626915843706957,5.0,0.6287965057395593,0.4355665925940989,0.04558082408751755
dad,predicted_oxidized_mg_per_gDW_zscore,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),16.768492631524193,25.0,1.5475210523283982,0.21283286705880836,0.560891196230077
dad,predicted_oxidized_mg_per_gDW_zscore,Residual,10.402283640692684,24.0,,,0.3479471555948879
dad,predicted_reduced_mg_ml_zscore,C(p_uva_mw_cm2),48.959549111772894,5.0,1.9250148165892869,0.17805444334903028,0.11453572484459085
dad,predicted_reduced_mg_ml_zscore,C(p_uvb_mw_cm2),49.48347853646491,5.0,1.9456149226702621,0.1758368447042477,0.11576140272588653
dad,predicted_reduced_mg_ml_zscore,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),206.9379027825745,25.0,1.6272965588834616,0.1909834725033146,0.48410949698313854
dad,predicted_reduced_mg_ml_zscore,Residual,122.0800139880948,24.0,,,0.2855933754463839
dad,predicted_reduced_mg_per_gDW_zscore,C(p_uva_mw_cm2),28.598368627282564,5.0,1.2127968114805934,0.2817015754974322,0.08308343511551124
dad,predicted_reduced_mg_per_gDW_zscore,C(p_uvb_mw_cm2),28.54445739859909,5.0,1.2105105493828336,0.28214462087344305,0.08292681324212059
dad,predicted_reduced_mg_per_gDW_zscore,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),173.88336191756366,25.0,1.4748057111339201,0.23484752039466536,0.5051626267857365
dad,predicted_reduced_mg_per_gDW_zscore,Residual,113.18645309050012,24.0,,,0.3288271248566317
