sequence_id,sample_name,sample_category,standard_level,standard_concentration_mg_ml,retention_time_min,area,response,primary_flags,calculated_conc_reported,percent_deviation,source_file
1,Youssef Pig 29_09_25 1D,sample,,,,10495.0,10495.469000000001,MM,,,Yousseff Scyt 29_09_25.txt;Yousseff Red Scyt 29_09_25.txt
2,Youssef Pig 29_09_25 1F,sample,,,,12980.0,12980.405999999999,MM,,,Yousseff Scyt 29_09_25.txt;Yousseff Red Scyt 29_09_25.txt
3,Youssef Pig 29_09_25 1G,sample,,,,10343.0,10342.534,MM,,,Yousseff Scyt 29_09_25.txt;Yousseff Red Scyt 29_09_25.txt
4,Youssef Pig 29_09_25 Blank2,blank,,,,,,MM-,,,Yousseff Scyt 29_09_25.txt;Yousseff Red Scyt 29_09_25.txt
5,Youssef Pig 29_09_25 Blank3,blank,,,,,,MM-,,,Yousseff Scyt 29_09_25.txt;Yousseff Red Scyt 29_09_25.txt
6,Youssef Pig 29_09_25 Chla_Carot Std1,standard,1,0.473,,,,MM-,,,Yousseff Scyt 29_09_25.txt;Yousseff Red Scyt 29_09_25.txt
7,Youssef Pig 29_09_25 Chla_Carot Std2,standard,2,0.378,,,,MM-,,,Yousseff Scyt 29_09_25.txt;Yousseff Red Scyt 29_09_25.txt
8,Youssef Pig 29_09_25 Chla_Carot Std3,standard,3,0.284,,,,MM-,,,Yousseff Scyt 29_09_25.txt;Yousseff Red Scyt 29_09_25.txt
9,Youssef Pig 29_09_25 Chla_Carot Std4,standard,4,0.189,,,,MM-,,,Yousseff Scyt 29_09_25.txt;Yousseff Red Scyt 29_09_25.txt
10,Youssef Pig 29_09_25 Chla_Carot Std5,standard,5,0.095,,,,MM-,,,Yousseff Scyt 29_09_25.txt;Yousseff Red Scyt 29_09_25.txt
11,Youssef Pig 29_09_25 Chla_Carot Std6,standard,6,0.047,,,,MM-,,,Yousseff Scyt 29_09_25.txt;Yousseff Red Scyt 29_09_25.txt
12,Youssef Pig 29_09_25 Chla_Carot Std7,standard,7,0.023,,,,MM-,,,Yousseff Scyt 29_09_25.txt;Yousseff Red Scyt 29_09_25.txt
13,Youssef Pig 29_09_25 Chla_Carot Std8,standard,8,,,,,MM-,,,Yousseff Scyt 29_09_25.txt;Yousseff Red Scyt 29_09_25.txt
14,Youssef Pig 29_09_25 Scyt Std1,standard,1,0.473,,62185.0,62184.937,db;MM,,,Yousseff Scyt 29_09_25.txt;Yousseff Red Scyt 29_09_25.txt
15,Youssef Pig 29_09_25 Scyt Std2,standard,2,0.378,,56019.0,56018.891,db;MM,,,Yousseff Scyt 29_09_25.txt;Yousseff Red Scyt 29_09_25.txt
16,Youssef Pig 29_09_25 Scyt Std3,standard,3,0.284,,43868.0,43867.382,db;MM,,,Yousseff Scyt 29_09_25.txt;Yousseff Red Scyt 29_09_25.txt
17,Youssef Pig 29_09_25 Scyt Std4,standard,4,0.189,,29980.0,29980.047,db;MM,,,Yousseff Scyt 29_09_25.txt;Yousseff Red Scyt 29_09_25.txt
18,Youssef Pig 29_09_25 Scyt Std5,standard,5,0.095,,15634.0,15634.206000000002,db;MM,,,Yousseff Scyt 29_09_25.txt;Yousseff Red Scyt 29_09_25.txt
19,Youssef Pig 29_09_25 Scyt Std6,standard,6,0.047,,7905.0,7904.58,db;MM,,,Yousseff Scyt 29_09_25.txt;Yousseff Red Scyt 29_09_25.txt
20,Youssef Pig 29_09_25 Scyt Std7,standard,7,0.023,,5573.0,5572.813,db;MM,,,Yousseff Scyt 29_09_25.txt;Yousseff Red Scyt 29_09_25.txt
