sample_id,total_conc_observed,sum_parts_conc,predicted_total_conc,total_vs_parts_abs_diff,total_vs_parts_rel_diff,total_vs_parts_allowed_abs_diff,total_vs_parts_fail
1D,0.05968609613139571,0.151955379896451,0.07708223237313525,0.017396136241739538,0.22568282866444916,0.005012114708404554,True
1F,0.07760435730925694,0.17749603110143447,0.08976882970988098,0.012164472400624043,0.135508866941206,0.005012114708404554,True
1G,0.05859008981387663,0.11759672125914128,0.060015538823943455,0.0014254490100668246,0.023751332371578004,0.005012114708404554,False
1I,0.029380079338417537,0.06803442141964854,0.035396865787759656,0.006016786449342119,0.1699807685069886,0.005012114708404554,True
1J,0.0756142405748144,0.20908143509729488,0.10545798731975954,0.029843746744945138,0.2829918103259055,0.005272899365987977,True
2B,0.10103149234622723,0.27482341575995983,0.13811345996583743,0.037081967619610204,0.2684891655656334,0.006905672998291872,True
2E,0.05685234295517862,0.1215253921496833,0.06196699516140661,0.00511465220622799,0.08253832855547956,0.005012114708404554,True
2G,0.0399507718481739,0.0890475638828789,0.045834550992851886,0.005883779144677984,0.12836995273708662,0.005012114708404554,True
2I,0.055864495155835775,0.1505794038904497,0.07639875514332381,0.020534259987488035,0.2687774159273385,0.005012114708404554,True
2J,0.06503633749717963,0.18311518262802587,0.09255998457198236,0.027523647074802732,0.29736010871304813,0.005012114708404554,True
3A,0.041868782903832294,0.09473627335172796,0.04866025679877663,0.006791473894944333,0.1395692160653595,0.005012114708404554,True
3C,0.07984684391944401,0.15843796607966615,0.08030227402153124,0.0004554301020872342,0.005671447136915711,0.005012114708404554,False
3D,0.08666083056454617,0.18414497389713516,0.0930715043083913,0.00641067374384513,0.06887901717590639,0.005012114708404554,True
3E,0.04400311099584313,0.12128625862419865,0.06184821233464186,0.017845101338798734,0.288530592319214,0.005012114708404554,True
3H,0.047009917801142165,0.13315564662913348,0.0677439956897204,0.02073407788857823,0.30606517489083473,0.005012114708404554,True
4A,0.03640317245199373,0.10111762143679728,0.05183001128041222,0.015426838828418492,0.29764297647854565,0.005012114708404554,True
4B,0.06154642264402678,0.1319598447492791,0.0671500148697922,0.005603592225765425,0.0834488605345973,0.005012114708404554,True
4F,0.06470465137477253,0.13228200763085407,0.06731004018483154,0.002605388810059006,0.0387072835331056,0.005012114708404554,False
4G,0.06431528070933813,0.128991013205023,0.06567533162619278,0.0013600509168546493,0.02070870269214188,0.005012114708404554,False
4H,0.0395614011827395,0.10526774568707437,0.05389146832150975,0.014330067138770247,0.26590604385241207,0.005012114708404554,True
5B,0.04892071828892214,0.12603535522333875,0.06420719197784075,0.015286473688918611,0.2380803959499474,0.005012114708404554,True
5D,0.053881588989271645,0.12340426237497074,0.06290027089525209,0.009018681905980444,0.14338065285917875,0.005012114708404554,True
5E,0.042885472974688796,0.10999555885320225,0.05623987602030508,0.013354403045616282,0.23745434717520986,0.005012114708404554,True
5F,0.06644239823347055,0.17044186721211158,0.08626487297467487,0.019822474741204327,0.22978616970807678,0.005012114708404554,True
5I,0.029279131388119727,0.07318377135340767,0.037954659973635924,0.008675528585516196,0.2285761113797988,0.005012114708404554,True
6C,0.0403329319457299,0.09861223052580519,0.05058552908597634,0.010252597140246442,0.20267846013473317,0.005012114708404554,True
6D,0.0676681947728011,0.13391534495369756,0.06812135438209642,0.0004531596092953172,0.00665224015884241,0.005012114708404554,False
6F,0.009298647797031812,0.04122529091539359,0.022080187175062962,0.01278153937803115,0.5788691588840529,0.005012114708404554,True
6H,0.0071571091371425595,0.03573503139191845,0.01935305577619824,0.012195946639055679,0.6301819609312096,0.005012114708404554,True
6J,0.0,0.01922312728199132,0.01115123362905076,0.01115123362905076,1.0,0.005012114708404554,True
