grid (#),UVA_hours (h),UVB_hours (h),P_UVA (mW cm^-2),P_UVB (mW cm^-2),MDV_UVA_24h_power (mW cm^-2),MDV_UVB_24h_power (mW cm^-2),%MDV_UVA_dose (%),%MDV_UVB_dose (%)
1,24.0,1.065625,2.787,0.553,2.2671,0.0341,122.93238057430197,72.00520833333334
2,24.0,1.065625,3.185,0.707,2.2671,0.0341,140.4878479114287,92.05729166666666
3,24.0,1.065625,2.488,0.768,2.2671,0.0341,109.74372546424948,99.99999999999999
4,24.0,1.065625,2.14,0.707,2.2671,0.0341,94.39371884786732,92.05729166666666
5,24.0,1.065625,1.692,0.584,2.2671,0.0341,74.63279078999602,76.04166666666667
6,24.0,1.065625,1.344,0.461,2.2671,0.0341,59.28278417361387,60.02604166666667
7,24.0,1.065625,1.095,0.338,2.2671,0.0341,48.299589784305944,44.01041666666667
8,24.0,1.065625,0.846,0.246,2.2671,0.0341,37.31639539499801,32.03125
9,24.0,1.065625,0.647,0.246,2.2671,0.0341,28.53866172643465,32.03125
10,24.0,1.065625,0.547,0.154,2.2671,0.0341,24.127740284945524,20.052083333333332
